accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time,Dataset,model,sampling
0.4166666666666667,0.4166666666666667,0.3971648448541902,0.40087398373983746,0.545671212699956,-0.02334958284219225,0.05123090744018555,0.014088630676269531,Validation,LogisticRegression,Original
0.38636363636363635,0.38636363636363635,0.3507267799950726,0.36487259575867176,0.49702167540569947,-0.06952425917217045,0.04976010322570801,0.014020919799804688,Validation,LogisticRegression,Original
0.4318181818181818,0.4318181818181818,0.40659699501843954,0.41643670572242003,0.5089325955072111,0.022750744266640335,0.06433343887329102,0.01412653923034668,Validation,LogisticRegression,Original
0.4580152671755725,0.4580152671755725,0.41250614251149204,0.4270436263646064,0.5915794416815288,0.0357731962192929,0.05169987678527832,0.01417684555053711,Validation,LogisticRegression,Original
0.3969465648854962,0.3969465648854962,0.36046592813256373,0.3748164303889495,0.5028251878030355,-0.053891919425109375,0.05967903137207031,0.015022516250610352,Validation,LogisticRegression,Original
0.45038167938931295,0.45038167938931295,0.4379543866888182,0.442465672440944,0.5802704830907031,0.06913326130144683,0.05245661735534668,0.01411294937133789,Validation,LogisticRegression,Original
0.4351145038167939,0.4351145038167939,0.39547270665366757,0.40682344161907114,0.5738243879640882,-0.0038439235068442818,0.05519294738769531,0.014009714126586914,Validation,LogisticRegression,Original
0.48854961832061067,0.48854961832061067,0.43416030534351147,0.4417214139426018,0.6104117697653949,0.06236982871192855,0.0481722354888916,0.013985395431518555,Validation,LogisticRegression,Original
0.44274809160305345,0.44274809160305345,0.4140615533745305,0.424253253517002,0.5758131754882782,0.027066014027185614,0.05688595771789551,0.014042139053344727,Validation,LogisticRegression,Original
0.44274809160305345,0.44274809160305345,0.4339595518984832,0.4261070757517191,0.6049371466266131,0.013260404130643465,0.047081947326660156,0.014080524444580078,Validation,LogisticRegression,Original
0.68077900084674,0.68077900084674,0.6781978347567439,0.6705173852337882,0.8621018793814293,0.44806453976939864,0.05123090744018555,0.014088630676269531,Train,LogisticRegression,Original
0.6875529212531752,0.6875529212531752,0.6837672036288305,0.6745016359973673,0.8624678799412108,0.465038667971142,0.04976010322570801,0.014020919799804688,Train,LogisticRegression,Original
0.6841659610499576,0.6841659610499576,0.6804658243398478,0.6728080178238754,0.8645108062490364,0.45550843984039824,0.06433343887329102,0.01412653923034668,Train,LogisticRegression,Original
0.6776649746192893,0.6776649746192893,0.6743926066848295,0.6643233842792898,0.8602929505711702,0.44580286708429145,0.05169987678527832,0.01417684555053711,Train,LogisticRegression,Original
0.6895093062605753,0.6895093062605753,0.6853221529568392,0.6794703013739719,0.8678390051675376,0.4671526977198553,0.05967903137207031,0.015022516250610352,Train,LogisticRegression,Original
0.6776649746192893,0.6776649746192893,0.6724201112372604,0.6670040587531268,0.8619350730866836,0.4445907547026843,0.05245661735534668,0.01411294937133789,Train,LogisticRegression,Original
0.6810490693739425,0.6810490693739425,0.6772053355097545,0.671682812465195,0.8634742700410105,0.44948694959950214,0.05519294738769531,0.014009714126586914,Train,LogisticRegression,Original
0.6802030456852792,0.6802030456852792,0.6780189982563639,0.6670037710469802,0.8614393132547256,0.4473296973309663,0.0481722354888916,0.013985395431518555,Train,LogisticRegression,Original
0.6844331641285956,0.6844331641285956,0.6798702538212241,0.672865718272255,0.863848499444566,0.45801761219289744,0.05688595771789551,0.014042139053344727,Train,LogisticRegression,Original
0.6844331641285956,0.6844331641285956,0.687758806779336,0.6733667569643549,0.8618434521603566,0.45255944387920577,0.047081947326660156,0.014080524444580078,Train,LogisticRegression,Original
0.4666666666666667,0.4666666666666667,0.4536019536019536,0.45201752412781043,0.66375,0.20368260427526966,0.03289175033569336,0.013685941696166992,Validation,LogisticRegression,Under
0.36666666666666664,0.36666666666666664,0.3577777777777778,0.3582010582010582,0.5458333333333334,0.05052911526399114,0.028756380081176758,0.013724088668823242,Validation,LogisticRegression,Under
0.3333333333333333,0.3333333333333333,0.3436147186147186,0.3333757745522451,0.52,0.0,0.03187441825866699,0.014876127243041992,Validation,LogisticRegression,Under
0.4,0.4,0.39444444444444443,0.39338624338624334,0.6195833333333333,0.10105823052798228,0.028346538543701172,0.013829231262207031,Validation,LogisticRegression,Under
0.3559322033898305,0.3559322033898305,0.3553523639607493,0.35549760973489786,0.607399910031489,0.03405172413793103,0.02262401580810547,0.01376199722290039,Validation,LogisticRegression,Under
0.3050847457627119,0.3050847457627119,0.28749772188809913,0.28418079096045196,0.5558760683760684,-0.0392290083272522,0.030108928680419922,0.013682126998901367,Validation,LogisticRegression,Under
0.4406779661016949,0.4406779661016949,0.4102154293753409,0.4216460092213434,0.6026259559154296,0.16377201367254532,0.025972366333007812,0.013685226440429688,Validation,LogisticRegression,Under
0.4067796610169492,0.4067796610169492,0.3819239537348369,0.38610468382023283,0.5815339631129105,0.1158349801930859,0.025671958923339844,0.013846874237060547,Validation,LogisticRegression,Under
0.3559322033898305,0.3559322033898305,0.337860125627259,0.3445914747451996,0.5978182636077373,0.03473824561647543,0.02283167839050293,0.013675212860107422,Validation,LogisticRegression,Under
0.3728813559322034,0.3728813559322034,0.3755716976055959,0.374065673776298,0.6312134502923976,0.05867129017357541,0.046109914779663086,0.014080286026000977,Validation,LogisticRegression,Under
0.7752808988764045,0.7752808988764045,0.7768180719467364,0.772612318134337,0.9364190127509152,0.6659160592157406,0.03289175033569336,0.013685941696166992,Train,LogisticRegression,Under
0.7846441947565543,0.7846441947565543,0.786536699691062,0.7817536880529126,0.9383547952699575,0.6803278520635213,0.028756380081176758,0.013724088668823242,Train,LogisticRegression,Under
0.8052434456928839,0.8052434456928839,0.8056037783774597,0.8041184521587659,0.9445093212136514,0.709044757994672,0.03187441825866699,0.014876127243041992,Train,LogisticRegression,Under
0.7808988764044944,0.7808988764044944,0.782020258426792,0.7782324540744229,0.9391280562218576,0.6741771517539272,0.028346538543701172,0.013829231262207031,Train,LogisticRegression,Under
0.788785046728972,0.788785046728972,0.7907799092747444,0.7868099192603925,0.9409356957270386,0.6858754593766582,0.02262401580810547,0.01376199722290039,Train,LogisticRegression,Under
0.7831775700934579,0.7831775700934579,0.7841567485177408,0.7816528365088866,0.9373136110259809,0.6766048618397397,0.030108928680419922,0.013682126998901367,Train,LogisticRegression,Under
0.7925233644859813,0.7925233644859813,0.7964381650052881,0.7910500764294691,0.9448301091407206,0.6918177984524326,0.025972366333007812,0.013685226440429688,Train,LogisticRegression,Under
0.7869158878504673,0.7869158878504673,0.7890011806707599,0.7837282472292751,0.9387996604286893,0.6840411061055282,0.025671958923339844,0.013846874237060547,Train,LogisticRegression,Under
0.7869158878504673,0.7869158878504673,0.788879825191459,0.7855985909752065,0.938784707698073,0.6823796613539558,0.02283167839050293,0.013675212860107422,Train,LogisticRegression,Under
0.788785046728972,0.788785046728972,0.7899170007642902,0.7870823665811367,0.9407937949728465,0.6852303750863298,0.046109914779663086,0.014080286026000977,Train,LogisticRegression,Under
0.6225490196078431,0.6225490196078431,0.6129801600231708,0.6105786745131008,0.7870530565167244,0.43885076854128563,0.07773780822753906,0.014328718185424805,Validation,LogisticRegression,Over
0.5735294117647058,0.5735294117647058,0.5549289891395154,0.5600441944556046,0.7378171856978085,0.36293309315564887,0.07477903366088867,0.0150604248046875,Validation,LogisticRegression,Over
0.5833333333333334,0.5833333333333334,0.577527420811003,0.5796936742498152,0.7600201845444059,0.3754197131018534,0.07500505447387695,0.014296770095825195,Validation,LogisticRegression,Over
0.49019607843137253,0.49019607843137253,0.4697958500669343,0.4767430597364372,0.7221741637831603,0.23684434772967178,0.07081937789916992,0.014498233795166016,Validation,LogisticRegression,Over
0.5714285714285714,0.5714285714285714,0.5615976753990589,0.5645656265625825,0.7484025948687933,0.35824882435229877,0.0841376781463623,0.014440059661865234,Validation,LogisticRegression,Over
0.5566502463054187,0.5566502463054187,0.5252423308512405,0.5322306089903184,0.7474150218406876,0.3404692714049324,0.06954288482666016,0.014539241790771484,Validation,LogisticRegression,Over
0.5714285714285714,0.5714285714285714,0.5573660300732934,0.5540502478505543,0.7325053653302117,0.3632793268311983,0.07627081871032715,0.014493465423583984,Validation,LogisticRegression,Over
0.6305418719211823,0.6305418719211823,0.6198387214721154,0.6228904044284909,0.7899298442428381,0.4472296939976607,0.07877206802368164,0.01448369026184082,Validation,LogisticRegression,Over
0.5714285714285714,0.5714285714285714,0.5624706125336719,0.5651595214451581,0.7485937686296188,0.3583953979467141,0.08835840225219727,0.017168045043945312,Validation,LogisticRegression,Over
