iteration,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,27,base,0.5075,0.5202,0.521,0.5361,0.5038,0.5167,0.521,0.5361
0,27,undersampling,0.5904,0.5958,0.5916,0.605,0.5933,0.6025,0.5916,0.605
0,27,oversampling,0.6024,0.5828,0.6021,0.5882,0.6088,0.5844,0.6021,0.5882
1,53,base,0.5347,0.5275,0.5476,0.5361,0.5358,0.5326,0.5476,0.5361
1,53,undersampling,0.6019,0.6416,0.6,0.6387,0.6086,0.6468,0.6,0.6387
1,53,oversampling,0.6115,0.6074,0.6084,0.605,0.6201,0.6155,0.6084,0.605
2,37,base,0.5349,0.4832,0.5495,0.5057,0.5371,0.4945,0.5495,0.5057
2,37,undersampling,0.6334,0.5788,0.6337,0.5798,0.6393,0.579,0.6337,0.5798
2,37,oversampling,0.6112,0.5451,0.6126,0.5462,0.6169,0.5468,0.6126,0.5462
3,55,base,0.5558,0.5005,0.5705,0.5209,0.5535,0.4989,0.5705,0.5209
3,55,undersampling,0.6231,0.5473,0.6295,0.5546,0.6268,0.5547,0.6295,0.5546
3,55,oversampling,0.6515,0.4972,0.6547,0.5126,0.6559,0.5071,0.6547,0.5126
4,93,base,0.5352,0.5455,0.5514,0.5589,0.5311,0.5476,0.5514,0.5589
4,93,undersampling,0.673,0.5729,0.6758,0.5798,0.6772,0.579,0.6758,0.5798
4,93,oversampling,0.6546,0.5905,0.6547,0.5966,0.6645,0.5964,0.6547,0.5966
5,2,base,0.5048,0.494,0.52,0.5057,0.5043,0.5328,0.52,0.5057
5,2,undersampling,0.6064,0.5682,0.6084,0.5798,0.6072,0.598,0.6084,0.5798
5,2,oversampling,0.6205,0.6138,0.6232,0.6218,0.6236,0.6431,0.6232,0.6218
6,29,base,0.5283,0.5392,0.5429,0.5551,0.5342,0.5321,0.5429,0.5551
6,29,undersampling,0.6287,0.5877,0.6295,0.5882,0.6373,0.5876,0.6295,0.5882
6,29,oversampling,0.6094,0.6236,0.6126,0.6218,0.617,0.6257,0.6126,0.6218
7,39,base,0.5268,0.4884,0.539,0.5057,0.53,0.4929,0.539,0.5057
7,39,undersampling,0.59,0.5313,0.5895,0.5294,0.5938,0.5342,0.5895,0.5294
7,39,oversampling,0.6145,0.5395,0.6147,0.5378,0.6179,0.5426,0.6147,0.5378
8,22,base,0.5376,0.5342,0.5495,0.5361,0.537,0.5327,0.5495,0.5361
8,22,undersampling,0.5813,0.6392,0.5853,0.6387,0.5847,0.6452,0.5853,0.6387
8,22,oversampling,0.584,0.5993,0.5895,0.5966,0.5857,0.609,0.5895,0.5966
9,61,base,0.5433,0.4938,0.5562,0.4943,0.5366,0.5169,0.5562,0.4943
9,61,undersampling,0.6016,0.6247,0.6042,0.6218,0.6047,0.649,0.6042,0.6218
9,61,oversampling,0.5739,0.6404,0.5768,0.6387,0.5775,0.6706,0.5768,0.6387
10,84,base,0.5194,0.5029,0.5295,0.5209,0.5213,0.4924,0.5295,0.5209
10,84,undersampling,0.6155,0.6486,0.6168,0.6471,0.6204,0.6536,0.6168,0.6471
10,84,oversampling,0.6207,0.6487,0.6211,0.6471,0.6247,0.6546,0.6211,0.6471
11,8,base,0.5247,0.518,0.5381,0.5399,0.5258,0.5112,0.5381,0.5399
11,8,undersampling,0.5545,0.6805,0.5516,0.6807,0.5637,0.681,0.5516,0.6807
11,8,oversampling,0.5778,0.6663,0.5747,0.6639,0.5922,0.6697,0.5747,0.6639
12,66,base,0.5416,0.4773,0.5552,0.4867,0.5404,0.4831,0.5552,0.4867
12,66,undersampling,0.6621,0.5274,0.6653,0.5294,0.671,0.5274,0.6653,0.5294
12,66,oversampling,0.64,0.5447,0.6421,0.5462,0.6434,0.5442,0.6421,0.5462
13,85,base,0.5247,0.5939,0.5381,0.6008,0.5238,0.5893,0.5381,0.6008
13,85,undersampling,0.599,0.5483,0.5979,0.5462,0.6091,0.5556,0.5979,0.5462
13,85,oversampling,0.6402,0.5476,0.6379,0.5462,0.6504,0.5601,0.6379,0.5462
14,38,base,0.557,0.5233,0.5714,0.5437,0.5574,0.5128,0.5714,0.5437
14,38,undersampling,0.6431,0.5935,0.6442,0.5966,0.6464,0.5982,0.6442,0.5966
14,38,oversampling,0.6514,0.5511,0.6547,0.5546,0.6513,0.554,0.6547,0.5546
15,92,base,0.5312,0.518,0.5429,0.5513,0.5311,0.5285,0.5429,0.5513
15,92,undersampling,0.591,0.5785,0.5916,0.5714,0.5977,0.6053,0.5916,0.5714
15,92,oversampling,0.5634,0.5861,0.5621,0.5798,0.5692,0.6062,0.5621,0.5798
16,67,base,0.5274,0.5597,0.54,0.5627,0.5251,0.5713,0.54,0.5627
16,67,undersampling,0.6045,0.6161,0.6042,0.6134,0.61,0.6236,0.6042,0.6134
16,67,oversampling,0.5878,0.6315,0.5874,0.6303,0.5912,0.6453,0.5874,0.6303
17,86,base,0.5337,0.4728,0.5495,0.4867,0.5314,0.4692,0.5495,0.4867
17,86,undersampling,0.6087,0.6694,0.6105,0.6723,0.6135,0.6718,0.6105,0.6723
17,86,oversampling,0.622,0.6364,0.6232,0.6387,0.6283,0.6368,0.6232,0.6387
18,30,base,0.5375,0.4973,0.5505,0.5095,0.5362,0.5007,0.5505,0.5095
18,30,undersampling,0.6218,0.673,0.6232,0.6807,0.6258,0.6757,0.6232,0.6807
18,30,oversampling,0.6032,0.6753,0.6021,0.6807,0.61,0.6765,0.6021,0.6807
19,35,base,0.523,0.485,0.5343,0.5095,0.5288,0.4962,0.5343,0.5095
19,35,undersampling,0.5857,0.5694,0.5853,0.563,0.5899,0.6085,0.5853,0.563
19,35,oversampling,0.5881,0.5438,0.5874,0.5378,0.5935,0.5764,0.5874,0.5378
20,63,base,0.5167,0.4989,0.5276,0.5171,0.5166,0.4903,0.5276,0.5171
20,63,undersampling,0.577,0.6298,0.5768,0.6218,0.5935,0.6439,0.5768,0.6218
20,63,oversampling,0.6012,0.6473,0.6021,0.6387,0.6127,0.6622,0.6021,0.6387
21,19,base,0.535,0.52,0.5476,0.5133,0.5379,0.5336,0.5476,0.5133
21,19,undersampling,0.6031,0.5794,0.6021,0.5714,0.6115,0.5985,0.6021,0.5714
21,19,oversampling,0.6193,0.6127,0.6189,0.605,0.6259,0.6335,0.6189,0.605
22,26,base,0.5156,0.5521,0.5305,0.5665,0.5111,0.5742,0.5305,0.5665
22,26,undersampling,0.6026,0.5505,0.6021,0.5546,0.6087,0.5579,0.6021,0.5546
22,26,oversampling,0.6028,0.5264,0.6021,0.5294,0.6118,0.5358,0.6021,0.5294
23,80,base,0.54,0.4803,0.5524,0.4981,0.5418,0.4767,0.5524,0.4981
23,80,undersampling,0.5627,0.6773,0.56,0.6723,0.5703,0.6949,0.56,0.6723
23,80,oversampling,0.587,0.6365,0.5853,0.6303,0.5949,0.656,0.5853,0.6303
24,71,base,0.5208,0.4786,0.5381,0.4905,0.5161,0.4729,0.5381,0.4905
24,71,undersampling,0.6357,0.6557,0.6337,0.6555,0.6441,0.6708,0.6337,0.6555
24,71,oversampling,0.6085,0.6176,0.6063,0.6218,0.6165,0.6239,0.6063,0.6218
25,15,base,0.5444,0.5188,0.56,0.5323,0.541,0.5176,0.56,0.5323
25,15,undersampling,0.5753,0.6009,0.5747,0.5966,0.58,0.61,0.5747,0.5966
25,15,oversampling,0.6198,0.5882,0.6189,0.5798,0.6266,0.6079,0.6189,0.5798
26,33,base,0.5245,0.4675,0.54,0.4867,0.5258,0.464,0.54,0.4867
26,33,undersampling,0.6152,0.6005,0.6147,0.5966,0.6173,0.6196,0.6147,0.5966
26,33,oversampling,0.6224,0.5698,0.6211,0.5714,0.6278,0.5731,0.6211,0.5714
27,4,base,0.5295,0.554,0.5419,0.5627,0.5339,0.5662,0.5419,0.5627
27,4,undersampling,0.6112,0.5251,0.6105,0.521,0.6134,0.534,0.6105,0.521
27,4,oversampling,0.6371,0.5088,0.6358,0.5126,0.6406,0.5066,0.6358,0.5126
28,1,base,0.4939,0.5478,0.5057,0.5475,0.4922,0.5772,0.5057,0.5475
28,1,undersampling,0.5961,0.5783,0.5958,0.5714,0.6032,0.592,0.5958,0.5714
28,1,oversampling,0.6086,0.5335,0.6084,0.5294,0.6144,0.5394,0.6084,0.5294
29,9,base,0.5144,0.5019,0.5305,0.5133,0.5077,0.5277,0.5305,0.5133
29,9,undersampling,0.5836,0.6102,0.5853,0.5966,0.5888,0.6487,0.5853,0.5966
29,9,oversampling,0.5681,0.5957,0.5684,0.5798,0.5714,0.6331,0.5684,0.5798
