iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,84,base,0.3441,0.3803,0.5038,0.5323,0.2613,0.5061,0.5038,0.5323
0,AdaBoost,84,undersampling,0.3664,0.4219,0.3742,0.4286,0.3779,0.4327,0.3742,0.4286
0,RandomForest,84,base,0.3431,0.3655,0.501,0.5285,0.2609,0.2793,0.501,0.5285
0,RandomForest,84,undersampling,0.3493,0.4219,0.3681,0.4286,0.3563,0.4327,0.3681,0.4286
0,SVM,84,base,0.3446,0.3655,0.5048,0.5285,0.2616,0.2793,0.5048,0.5285
0,SVM,84,undersampling,0.3743,0.4334,0.3824,0.4381,0.386,0.4414,0.3824,0.4381
0,GradientBoosting,84,base,0.3431,0.3655,0.501,0.5285,0.2609,0.2793,0.501,0.5285
0,GradientBoosting,84,undersampling,0.3648,0.4219,0.3742,0.4286,0.3828,0.4298,0.3742,0.4286
0,LogisticRegression,84,base,0.3431,0.3655,0.501,0.5285,0.2609,0.2793,0.501,0.5285
0,LogisticRegression,84,undersampling,0.3699,0.4219,0.3783,0.4286,0.3858,0.4298,0.3783,0.4286
0,XGBoost,84,base,0.3446,0.3655,0.501,0.5285,0.274,0.2793,0.501,0.5285
0,XGBoost,84,undersampling,0.3639,0.4231,0.3701,0.4381,0.378,0.4592,0.3701,0.4381
0,Lgbm,84,base,0.3435,0.3655,0.5019,0.5285,0.2611,0.2793,0.5019,0.5285
0,Lgbm,84,undersampling,0.3693,0.4219,0.3783,0.4286,0.3846,0.4298,0.3783,0.4286
0,KNN,84,base,0.3416,0.3734,0.4733,0.5171,0.286,0.6351,0.4733,0.5171
0,KNN,84,undersampling,0.1754,0.1631,0.3272,0.3238,0.2758,0.109,0.3272,0.3238
1,AdaBoost,81,base,0.3634,0.3271,0.5248,0.4715,0.2779,0.3833,0.5248,0.4715
1,AdaBoost,81,undersampling,0.3336,0.3868,0.355,0.3939,0.3513,0.3993,0.355,0.3939
1,RandomForest,81,base,0.38,0.3271,0.5067,0.4715,0.3139,0.3833,0.5067,0.4715
1,RandomForest,81,undersampling,0.3363,0.3842,0.3507,0.3939,0.3406,0.399,0.3507,0.3939
1,SVM,81,base,0.3718,0.3021,0.52,0.4715,0.2968,0.2223,0.52,0.4715
1,SVM,81,undersampling,0.3276,0.3804,0.3529,0.3939,0.353,0.4114,0.3529,0.3939
1,GradientBoosting,81,base,0.3818,0.3271,0.5095,0.4715,0.3161,0.3833,0.5095,0.4715
1,GradientBoosting,81,undersampling,0.3327,0.3842,0.3529,0.3939,0.3479,0.399,0.3529,0.3939
1,LogisticRegression,81,base,0.3818,0.3021,0.5095,0.4715,0.3161,0.2223,0.5095,0.4715
1,LogisticRegression,81,undersampling,0.3294,0.3842,0.3486,0.3939,0.3435,0.399,0.3486,0.3939
1,XGBoost,81,base,0.3818,0.3021,0.5095,0.4715,0.3161,0.2223,0.5095,0.4715
1,XGBoost,81,undersampling,0.3292,0.3842,0.3486,0.3939,0.3427,0.399,0.3486,0.3939
1,Lgbm,81,base,0.3818,0.3271,0.5095,0.4715,0.3161,0.3833,0.5095,0.4715
1,Lgbm,81,undersampling,0.3313,0.3842,0.3507,0.3939,0.3444,0.399,0.3507,0.3939
1,KNN,81,base,0.4008,0.3543,0.4762,0.4715,0.387,0.4598,0.4762,0.4715
1,KNN,81,undersampling,0.1947,0.1831,0.3247,0.3409,0.1526,0.2795,0.3247,0.3409
2,AdaBoost,92,base,0.3846,0.4003,0.5019,0.4791,0.3655,0.3647,0.5019,0.4791
2,AdaBoost,92,undersampling,0.3517,0.3057,0.3768,0.3333,0.3639,0.3346,0.3768,0.3333
2,RandomForest,92,base,0.3694,0.3452,0.4962,0.4943,0.3259,0.3444,0.4962,0.4943
2,RandomForest,92,undersampling,0.3641,0.3189,0.3855,0.3333,0.3972,0.3374,0.3855,0.3333
2,SVM,92,base,0.3539,0.3354,0.5086,0.5019,0.2848,0.2519,0.5086,0.5019
2,SVM,92,undersampling,0.3643,0.3189,0.3833,0.3333,0.3953,0.3374,0.3833,0.3333
2,GradientBoosting,92,base,0.3597,0.3452,0.5105,0.4943,0.3195,0.3444,0.5105,0.4943
2,GradientBoosting,92,undersampling,0.3621,0.3189,0.3833,0.3333,0.3977,0.3374,0.3833,0.3333
2,LogisticRegression,92,base,0.3564,0.3452,0.5067,0.4943,0.3002,0.3444,0.5067,0.4943
2,LogisticRegression,92,undersampling,0.3699,0.3189,0.3898,0.3333,0.4023,0.3374,0.3898,0.3333
2,XGBoost,92,base,0.3553,0.3452,0.5076,0.4943,0.3015,0.3444,0.5076,0.4943
2,XGBoost,92,undersampling,0.3594,0.3291,0.3812,0.3407,0.3952,0.3499,0.3812,0.3407
2,Lgbm,92,base,0.3583,0.3452,0.5029,0.4943,0.3136,0.3444,0.5029,0.4943
2,Lgbm,92,undersampling,0.3641,0.3189,0.3855,0.3333,0.3972,0.3374,0.3855,0.3333
2,KNN,92,base,0.2809,0.3265,0.321,0.3764,0.3202,0.3477,0.321,0.3764
2,KNN,92,undersampling,0.1901,0.1648,0.342,0.3259,0.2448,0.1103,0.342,0.3259
3,AdaBoost,10,base,0.363,0.3187,0.5229,0.4867,0.3011,0.2369,0.5229,0.4867
3,AdaBoost,10,undersampling,0.3029,0.3781,0.329,0.3939,0.3073,0.3863,0.329,0.3939
3,RandomForest,10,base,0.3663,0.3253,0.5105,0.4715,0.3582,0.3722,0.5105,0.4715
3,RandomForest,10,undersampling,0.2768,0.3778,0.3247,0.3939,0.2829,0.4085,0.3247,0.3939
3,SVM,10,base,0.3593,0.3187,0.5219,0.4867,0.2739,0.2369,0.5219,0.4867
3,SVM,10,undersampling,0.3143,0.412,0.3399,0.4242,0.3173,0.4139,0.3399,0.4242
3,GradientBoosting,10,base,0.3641,0.3296,0.5105,0.4829,0.3497,0.3742,0.5105,0.4829
3,GradientBoosting,10,undersampling,0.2705,0.3766,0.3268,0.3939,0.2809,0.4067,0.3268,0.3939
3,LogisticRegression,10,base,0.3641,0.3296,0.5105,0.4829,0.3497,0.3742,0.5105,0.4829
3,LogisticRegression,10,undersampling,0.2734,0.3766,0.3204,0.3939,0.2816,0.4067,0.3204,0.3939
3,XGBoost,10,base,0.3641,0.3296,0.5105,0.4829,0.3497,0.3742,0.5105,0.4829
3,XGBoost,10,undersampling,0.2708,0.3766,0.3268,0.3939,0.2821,0.4067,0.3268,0.3939
3,Lgbm,10,base,0.3641,0.3296,0.5105,0.4829,0.3497,0.3742,0.5105,0.4829
3,Lgbm,10,undersampling,0.2863,0.3766,0.329,0.3939,0.3051,0.4067,0.329,0.3939
3,KNN,10,base,0.3767,0.3367,0.4276,0.3688,0.3682,0.3117,0.4276,0.3688
3,KNN,10,undersampling,0.2031,0.1529,0.3031,0.2955,0.1908,0.1032,0.3031,0.2955
4,AdaBoost,95,base,0.3583,0.3691,0.4943,0.5209,0.3425,0.2858,0.4943,0.5209
4,AdaBoost,95,undersampling,0.2529,0.2908,0.3156,0.3262,0.2593,0.3532,0.3156,0.3262
4,RandomForest,95,base,0.3666,0.3691,0.4943,0.5209,0.3881,0.2858,0.4943,0.5209
4,RandomForest,95,undersampling,0.2758,0.3277,0.3266,0.3617,0.3166,0.3935,0.3266,0.3617
4,SVM,95,base,0.3562,0.3709,0.4924,0.5247,0.3431,0.2868,0.4924,0.5247
4,SVM,95,undersampling,0.2968,0.3646,0.3288,0.3759,0.327,0.3625,0.3288,0.3759
4,GradientBoosting,95,base,0.3723,0.3691,0.4971,0.5209,0.4034,0.2858,0.4971,0.5209
4,GradientBoosting,95,undersampling,0.2767,0.3233,0.32,0.3546,0.3031,0.3846,0.32,0.3546
4,LogisticRegression,95,base,0.3652,0.3691,0.4914,0.5209,0.3727,0.2858,0.4914,0.5209
4,LogisticRegression,95,undersampling,0.295,0.3646,0.3266,0.3759,0.3217,0.3625,0.3266,0.3759
4,XGBoost,95,base,0.3658,0.3691,0.4952,0.5209,0.3891,0.2858,0.4952,0.5209
4,XGBoost,95,undersampling,0.2834,0.3133,0.3244,0.3475,0.3135,0.3721,0.3244,0.3475
4,Lgbm,95,base,0.3644,0.3691,0.4924,0.5209,0.3737,0.2858,0.4924,0.5209
4,Lgbm,95,undersampling,0.2793,0.3133,0.3222,0.3475,0.3088,0.3721,0.3222,0.3475
4,KNN,95,base,0.3495,0.3325,0.3952,0.3612,0.3534,0.3238,0.3952,0.3612
4,KNN,95,undersampling,0.1741,0.2619,0.3311,0.3546,0.1906,0.2415,0.3311,0.3546
5,AdaBoost,25,base,0.3597,0.3346,0.5152,0.4943,0.37,0.2529,0.5152,0.4943
5,AdaBoost,25,undersampling,0.3545,0.3139,0.413,0.3846,0.4389,0.4304,0.413,0.3846
5,RandomForest,25,base,0.3643,0.3453,0.5152,0.5019,0.4007,0.3423,0.5152,0.5019
