iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,51,base,0.5374,0.5368,0.5971,0.616,0.5658,0.727,0.5971,0.616
0,AdaBoost,51,undersampling,0.5229,0.5879,0.5321,0.5833,0.5452,0.6012,0.5321,0.5833
0,RandomForest,51,base,0.3994,0.4176,0.4133,0.4259,0.395,0.4133,0.4133,0.4259
0,RandomForest,51,undersampling,0.4476,0.54,0.452,0.5417,0.4485,0.5391,0.452,0.5417
0,SVM,51,base,0.4184,0.4562,0.519,0.5551,0.5275,0.613,0.519,0.5551
0,SVM,51,undersampling,0.4319,0.4989,0.4359,0.5,0.4394,0.5022,0.4359,0.5
0,GradientBoosting,51,base,0.5149,0.5704,0.5276,0.5856,0.5126,0.5685,0.5276,0.5856
0,GradientBoosting,51,undersampling,0.531,0.6658,0.5323,0.6667,0.5345,0.6666,0.5323,0.6667
0,LogisticRegression,51,base,0.45,0.4983,0.4905,0.5475,0.4642,0.5069,0.4905,0.5475
0,LogisticRegression,51,undersampling,0.4104,0.4539,0.4157,0.4583,0.4142,0.452,0.4157,0.4583
0,XGBoost,51,base,0.4495,0.4636,0.4571,0.4715,0.4451,0.4594,0.4571,0.4715
0,XGBoost,51,undersampling,0.5194,0.5947,0.5203,0.5938,0.5223,0.5958,0.5203,0.5938
0,Lgbm,51,base,0.4551,0.4737,0.46,0.4791,0.4534,0.4708,0.46,0.4791
0,Lgbm,51,undersampling,0.4969,0.5945,0.4982,0.5938,0.4989,0.5954,0.4982,0.5938
0,KNN,51,base,0.4346,0.4477,0.4733,0.4791,0.4527,0.4383,0.4733,0.4791
0,KNN,51,undersampling,0.4116,0.4016,0.4218,0.4062,0.4304,0.4267,0.4218,0.4062
1,AdaBoost,67,base,0.4934,0.5417,0.5581,0.5932,0.5135,0.5618,0.5581,0.5932
1,AdaBoost,67,undersampling,0.4959,0.5696,0.5093,0.5812,0.5148,0.621,0.5093,0.5812
1,RandomForest,67,base,0.4091,0.4322,0.4219,0.4335,0.4021,0.4324,0.4219,0.4335
1,RandomForest,67,undersampling,0.4452,0.4403,0.4465,0.4444,0.4484,0.4454,0.4465,0.4444
1,SVM,67,base,0.4327,0.4989,0.5114,0.5513,0.5003,0.5855,0.5114,0.5513
1,SVM,67,undersampling,0.4129,0.4778,0.4128,0.4786,0.4164,0.4813,0.4128,0.4786
1,GradientBoosting,67,base,0.5153,0.5727,0.5248,0.5779,0.5116,0.5696,0.5248,0.5779
1,GradientBoosting,67,undersampling,0.5193,0.5833,0.524,0.5983,0.5215,0.5823,0.524,0.5983
1,LogisticRegression,67,base,0.4542,0.5008,0.4905,0.5285,0.4575,0.5202,0.4905,0.5285
1,LogisticRegression,67,undersampling,0.4351,0.4865,0.4379,0.4872,0.4387,0.4871,0.4379,0.4872
1,XGBoost,67,base,0.4534,0.5028,0.4543,0.5019,0.4533,0.5061,0.4543,0.5019
1,XGBoost,67,undersampling,0.4906,0.5332,0.4926,0.5385,0.4938,0.5336,0.4926,0.5385
1,Lgbm,67,base,0.4536,0.5139,0.4543,0.5095,0.4542,0.5208,0.4543,0.5095
1,Lgbm,67,undersampling,0.51,0.5501,0.5115,0.5556,0.513,0.5493,0.5115,0.5556
1,KNN,67,base,0.4326,0.5054,0.4733,0.5247,0.4356,0.5671,0.4733,0.5247
1,KNN,67,undersampling,0.3764,0.4357,0.3793,0.4359,0.3983,0.4511,0.3793,0.4359
2,AdaBoost,9,base,0.5767,0.5695,0.6105,0.6122,0.6058,0.6053,0.6105,0.6122
2,AdaBoost,9,undersampling,0.5299,0.4807,0.5333,0.4884,0.5382,0.4889,0.5333,0.4884
