iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,44,base,0.5601,0.5965,0.5848,0.6084,0.5847,0.6017,0.5848,0.6084
0,AdaBoost,44,undersampling,0.5777,0.6158,0.5827,0.617,0.5884,0.6152,0.5827,0.617
0,RandomForest,44,base,0.4278,0.395,0.439,0.3992,0.4209,0.396,0.439,0.3992
0,RandomForest,44,undersampling,0.4566,0.4752,0.4613,0.4752,0.4602,0.4755,0.4613,0.4752
0,SVM,44,base,0.4303,0.4154,0.5152,0.5057,0.43,0.3913,0.5152,0.5057
0,SVM,44,undersampling,0.4837,0.488,0.4922,0.4894,0.4932,0.4951,0.4922,0.4894
0,GradientBoosting,44,base,0.5284,0.5266,0.541,0.5285,0.5239,0.5258,0.541,0.5285
0,GradientBoosting,44,undersampling,0.5574,0.5649,0.5628,0.5674,0.5596,0.5641,0.5628,0.5674
0,LogisticRegression,44,base,0.4902,0.4466,0.5257,0.4943,0.501,0.4549,0.5257,0.4943
0,LogisticRegression,44,undersampling,0.4659,0.3919,0.4745,0.3972,0.4695,0.39,0.4745,0.3972
0,XGBoost,44,base,0.4731,0.4555,0.479,0.4563,0.4695,0.4554,0.479,0.4563
0,XGBoost,44,undersampling,0.5092,0.5192,0.512,0.5177,0.5133,0.5214,0.512,0.5177
0,Lgbm,44,base,0.4778,0.4548,0.4838,0.4525,0.475,0.4583,0.4838,0.4525
0,Lgbm,44,undersampling,0.5134,0.4911,0.5142,0.4894,0.5213,0.4964,0.5142,0.4894
0,KNN,44,base,0.4854,0.4466,0.521,0.4791,0.4924,0.4493,0.521,0.4791
0,KNN,44,undersampling,0.433,0.398,0.4305,0.4043,0.456,0.4084,0.4305,0.4043
1,AdaBoost,8,base,0.5759,0.5751,0.601,0.6122,0.5993,0.624,0.601,0.6122
1,AdaBoost,8,undersampling,0.5727,0.6039,0.5807,0.6068,0.5909,0.6018,0.5807,0.6068
1,RandomForest,8,base,0.4124,0.4169,0.421,0.4335,0.4102,0.4074,0.421,0.4335
1,RandomForest,8,undersampling,0.4601,0.4773,0.4634,0.4786,0.4627,0.4794,0.4634,0.4786
1,SVM,8,base,0.4441,0.4117,0.5352,0.5095,0.4514,0.3949,0.5352,0.5095
1,SVM,8,undersampling,0.4301,0.4083,0.4423,0.4103,0.4527,0.4081,0.4423,0.4103
1,GradientBoosting,8,base,0.5219,0.4979,0.5324,0.5171,0.5194,0.4893,0.5324,0.5171
1,GradientBoosting,8,undersampling,0.5393,0.5675,0.5451,0.5726,0.5413,0.5682,0.5451,0.5726
1,LogisticRegression,8,base,0.4817,0.4842,0.5133,0.5323,0.4861,0.4922,0.5133,0.5323
1,LogisticRegression,8,undersampling,0.4339,0.4068,0.4401,0.4103,0.4404,0.4061,0.4401,0.4103
1,XGBoost,8,base,0.4526,0.4574,0.4571,0.4677,0.45,0.4502,0.4571,0.4677
1,XGBoost,8,undersampling,0.5026,0.5241,0.5052,0.5214,0.5051,0.5288,0.5052,0.5214
1,Lgbm,8,base,0.4549,0.4531,0.4581,0.4639,0.4538,0.4458,0.4581,0.4639
1,Lgbm,8,undersampling,0.4798,0.5556,0.4843,0.5556,0.4817,0.5578,0.4843,0.5556
1,KNN,8,base,0.4666,0.4413,0.5019,0.4981,0.4757,0.4385,0.5019,0.4981
1,KNN,8,undersampling,0.4422,0.4544,0.4484,0.4615,0.4646,0.4728,0.4484,0.4615
2,AdaBoost,52,base,0.5959,0.5136,0.6248,0.5627,0.6516,0.6381,0.6248,0.5627
2,AdaBoost,52,undersampling,0.6149,0.5685,0.6192,0.5758,0.6296,0.5793,0.6192,0.5758
2,RandomForest,52,base,0.4397,0.3634,0.4514,0.3954,0.4342,0.3516,0.4514,0.3954
2,RandomForest,52,undersampling,0.496,0.3855,0.4979,0.3939,0.4986,0.3869,0.4979,0.3939
2,SVM,52,base,0.444,0.3695,0.5352,0.4715,0.449,0.3857,0.5352,0.4715
2,SVM,52,undersampling,0.4661,0.403,0.4763,0.4091,0.4814,0.4104,0.4763,0.4091
2,GradientBoosting,52,base,0.5328,0.4735,0.5467,0.4943,0.5325,0.4787,0.5467,0.4943
2,GradientBoosting,52,undersampling,0.5737,0.5292,0.578,0.5303,0.5775,0.5342,0.578,0.5303
2,LogisticRegression,52,base,0.5071,0.4044,0.5419,0.4601,0.52,0.4183,0.5419,0.4601
2,LogisticRegression,52,undersampling,0.4635,0.3754,0.4676,0.3788,0.4658,0.3737,0.4676,0.3788
2,XGBoost,52,base,0.4774,0.4312,0.4848,0.4487,0.4743,0.4265,0.4848,0.4487
2,XGBoost,52,undersampling,0.556,0.5088,0.5585,0.5076,0.5569,0.5143,0.5585,0.5076
2,Lgbm,52,base,0.4837,0.4249,0.4895,0.4449,0.4804,0.4198,0.4895,0.4449
2,Lgbm,52,undersampling,0.5258,0.5024,0.526,0.5,0.5282,0.5116,0.526,0.5
2,KNN,52,base,0.4805,0.3726,0.5152,0.4449,0.4929,0.3956,0.5152,0.4449
