iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,96,base,0.3787,0.2505,0.54,0.4221,0.2916,0.1781,0.54,0.4221
0,AdaBoost,96,undersampling,0.3154,0.2988,0.3703,0.3778,0.3001,0.2518,0.3703,0.3778
0,RandomForest,96,base,0.3797,0.2587,0.5352,0.4259,0.3272,0.5857,0.5352,0.4259
0,RandomForest,96,undersampling,0.3214,0.3064,0.3617,0.3704,0.3158,0.3105,0.3617,0.3704
0,SVM,96,base,0.3787,0.2505,0.54,0.4221,0.2916,0.1781,0.54,0.4221
0,SVM,96,undersampling,0.3156,0.2861,0.3682,0.363,0.299,0.2465,0.3682,0.363
0,GradientBoosting,96,base,0.379,0.2505,0.5371,0.4221,0.3119,0.1781,0.5371,0.4221
0,GradientBoosting,96,undersampling,0.3183,0.2999,0.3574,0.363,0.3177,0.3093,0.3574,0.363
0,LogisticRegression,96,base,0.3787,0.2505,0.54,0.4221,0.2916,0.1781,0.54,0.4221
0,LogisticRegression,96,undersampling,0.3203,0.2861,0.3617,0.363,0.3097,0.2465,0.3617,0.363
0,XGBoost,96,base,0.379,0.2587,0.5371,0.4259,0.3119,0.5857,0.5371,0.4259
0,XGBoost,96,undersampling,0.3199,0.2928,0.3617,0.3556,0.3112,0.305,0.3617,0.3556
0,Lgbm,96,base,0.3787,0.2505,0.54,0.4221,0.2916,0.1781,0.54,0.4221
0,Lgbm,96,undersampling,0.3285,0.2874,0.3595,0.3704,0.3229,0.2526,0.3595,0.3704
0,KNN,96,base,0.4288,0.395,0.5152,0.4715,0.3844,0.4111,0.5152,0.4715
0,KNN,96,undersampling,0.1745,0.174,0.3333,0.3185,0.213,0.1641,0.3333,0.3185
1,AdaBoost,61,base,0.345,0.3786,0.5105,0.5399,0.2606,0.2915,0.5105,0.5399
1,AdaBoost,61,undersampling,0.3495,0.3052,0.3741,0.373,0.4223,0.2596,0.3741,0.373
1,RandomForest,61,base,0.3772,0.3833,0.5038,0.5323,0.4073,0.3421,0.5038,0.5323
1,RandomForest,61,undersampling,0.3728,0.361,0.3847,0.373,0.3918,0.3671,0.3847,0.373
1,SVM,61,base,0.3547,0.3833,0.5086,0.5323,0.319,0.3421,0.5086,0.5323
1,SVM,61,undersampling,0.3725,0.361,0.3847,0.373,0.3916,0.3671,0.3847,0.373
1,GradientBoosting,61,base,0.3569,0.3833,0.5067,0.5323,0.3706,0.3421,0.5067,0.5323
1,GradientBoosting,61,undersampling,0.3762,0.3787,0.389,0.3889,0.3952,0.3861,0.389,0.3889
1,LogisticRegression,61,base,0.3557,0.3833,0.5076,0.5323,0.3482,0.3421,0.5076,0.5323
1,LogisticRegression,61,undersampling,0.3725,0.3609,0.3847,0.373,0.3916,0.3695,0.3847,0.373
1,XGBoost,61,base,0.3877,0.3833,0.5029,0.5323,0.3746,0.3421,0.5029,0.5323
1,XGBoost,61,undersampling,0.3704,0.3609,0.3826,0.373,0.3891,0.3695,0.3826,0.373
1,Lgbm,61,base,0.3507,0.3833,0.5076,0.5323,0.2863,0.3421,0.5076,0.5323
1,Lgbm,61,undersampling,0.3767,0.3545,0.3911,0.3651,0.4034,0.3592,0.3911,0.3651
1,KNN,61,base,0.4084,0.4346,0.4657,0.4943,0.3841,0.3944,0.4657,0.4943
1,KNN,61,undersampling,0.1705,0.1667,0.3248,0.3333,0.1479,0.1111,0.3248,0.3333
2,AdaBoost,93,base,0.374,0.3698,0.4962,0.5323,0.3098,0.2834,0.4962,0.5323
2,AdaBoost,93,undersampling,0.3437,0.2785,0.397,0.3496,0.3186,0.2361,0.397,0.3496
2,RandomForest,93,base,0.3942,0.4349,0.4971,0.4981,0.3587,0.4001,0.4971,0.4981
2,RandomForest,93,undersampling,0.3482,0.3224,0.3737,0.3252,0.3662,0.323,0.3737,0.3252
2,SVM,93,base,0.3742,0.3698,0.5019,0.5323,0.3117,0.2834,0.5019,0.5323
2,SVM,93,undersampling,0.3452,0.3021,0.3716,0.3171,0.369,0.299,0.3716,0.3171
2,GradientBoosting,93,base,0.3747,0.3698,0.4981,0.5323,0.3251,0.2834,0.4981,0.5323
2,GradientBoosting,93,undersampling,0.345,0.3345,0.3716,0.3415,0.368,0.3362,0.3716,0.3415
2,LogisticRegression,93,base,0.3738,0.3698,0.501,0.5323,0.3115,0.2834,0.501,0.5323
2,LogisticRegression,93,undersampling,0.347,0.3432,0.3737,0.3496,0.3701,0.3444,0.3737,0.3496
2,XGBoost,93,base,0.3933,0.4282,0.499,0.4943,0.3543,0.3936,0.499,0.4943
2,XGBoost,93,undersampling,0.3423,0.3345,0.3695,0.3415,0.371,0.3362,0.3695,0.3415
2,Lgbm,93,base,0.3762,0.3698,0.5048,0.5323,0.314,0.2834,0.5048,0.5323
2,Lgbm,93,undersampling,0.3552,0.28,0.3801,0.2927,0.3639,0.2801,0.3801,0.2927
2,KNN,93,base,0.3752,0.396,0.479,0.5171,0.3696,0.3602,0.479,0.5171
2,KNN,93,undersampling,0.1637,0.1856,0.3248,0.3415,0.1094,0.1982,0.3248,0.3415
3,AdaBoost,26,base,0.3539,0.3439,0.5152,0.5095,0.2812,0.2596,0.5152,0.5095
3,AdaBoost,26,undersampling,0.2781,0.3438,0.329,0.4296,0.291,0.2969,0.329,0.4296
3,RandomForest,26,base,0.363,0.3511,0.5133,0.4981,0.3856,0.348,0.5133,0.4981
3,RandomForest,26,undersampling,0.3162,0.3736,0.3377,0.4,0.375,0.4849,0.3377,0.4
3,SVM,26,base,0.3602,0.3405,0.5143,0.5019,0.4267,0.2577,0.5143,0.5019
3,SVM,26,undersampling,0.2845,0.3783,0.3071,0.4074,0.3034,0.4914,0.3071,0.4074
