iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,15,base,0.5682,0.541,0.5876,0.5475,0.588,0.5578,0.5876,0.5475
0,AdaBoost,15,undersampling,0.558,0.5404,0.5604,0.5439,0.5703,0.5594,0.5604,0.5439
0,RandomForest,15,base,0.4243,0.4139,0.4324,0.4144,0.4218,0.4141,0.4324,0.4144
0,RandomForest,15,undersampling,0.5065,0.3958,0.5062,0.3947,0.5136,0.4021,0.5062,0.3947
0,SVM,15,base,0.4202,0.5068,0.5076,0.5741,0.4799,0.6174,0.5076,0.5741
0,SVM,15,undersampling,0.4686,0.4394,0.475,0.4386,0.4833,0.4408,0.475,0.4386
0,GradientBoosting,15,base,0.5307,0.5271,0.539,0.5285,0.5301,0.5258,0.539,0.5285
0,GradientBoosting,15,undersampling,0.5796,0.5357,0.5812,0.5351,0.5813,0.5414,0.5812,0.5351
0,LogisticRegression,15,base,0.4974,0.5186,0.5333,0.5475,0.5258,0.5121,0.5333,0.5475
0,LogisticRegression,15,undersampling,0.4502,0.3903,0.4521,0.3947,0.4516,0.3928,0.4521,0.3947
0,XGBoost,15,base,0.4857,0.4509,0.4895,0.4487,0.4839,0.4533,0.4895,0.4487
0,XGBoost,15,undersampling,0.5567,0.5048,0.5583,0.5,0.5578,0.5145,0.5583,0.5
0,Lgbm,15,base,0.4834,0.4512,0.4886,0.4487,0.4823,0.4541,0.4886,0.4487
0,Lgbm,15,undersampling,0.5595,0.4769,0.5625,0.4737,0.5637,0.4819,0.5625,0.4737
0,KNN,15,base,0.4594,0.4699,0.4905,0.4905,0.4732,0.4662,0.4905,0.4905
0,KNN,15,undersampling,0.4192,0.3785,0.425,0.3772,0.441,0.3929,0.425,0.3772
1,AdaBoost,35,base,0.6007,0.534,0.6114,0.5513,0.6081,0.5444,0.6114,0.5513
1,AdaBoost,35,undersampling,0.5959,0.517,0.5995,0.5238,0.6058,0.5428,0.5995,0.5238
1,RandomForest,35,base,0.4068,0.3765,0.4162,0.3878,0.4044,0.3728,0.4162,0.3878
1,RandomForest,35,undersampling,0.4813,0.3852,0.4832,0.3878,0.4857,0.3894,0.4832,0.3878
1,SVM,35,base,0.4447,0.4446,0.5343,0.5399,0.5711,0.6769,0.5343,0.5399
1,SVM,35,undersampling,0.4721,0.4448,0.4764,0.449,0.4832,0.4452,0.4764,0.449
1,GradientBoosting,35,base,0.5214,0.5091,0.5305,0.5171,0.5197,0.5052,0.5305,0.5171
1,GradientBoosting,35,undersampling,0.5917,0.4943,0.5927,0.4966,0.594,0.4952,0.5927,0.4966
1,LogisticRegression,35,base,0.4843,0.4828,0.521,0.5361,0.4989,0.5213,0.521,0.5361
1,LogisticRegression,35,undersampling,0.4739,0.4355,0.4765,0.4354,0.4753,0.4421,0.4765,0.4354
1,XGBoost,35,base,0.4503,0.4187,0.4533,0.4221,0.4506,0.4164,0.4533,0.4221
1,XGBoost,35,undersampling,0.5509,0.4764,0.5526,0.4762,0.5537,0.4781,0.5526,0.4762
1,Lgbm,35,base,0.4541,0.4374,0.4562,0.4411,0.4544,0.4345,0.4562,0.4411
