iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,95,base,0.4446,0.4775,0.5162,0.5437,0.4132,0.4322,0.5162,0.5437
0,AdaBoost,95,undersampling,0.4111,0.4647,0.428,0.4752,0.4247,0.4775,0.428,0.4752
0,RandomForest,95,base,0.4176,0.4747,0.5057,0.5399,0.4065,0.4294,0.5057,0.5399
0,RandomForest,95,undersampling,0.3998,0.5092,0.4237,0.5248,0.4117,0.5206,0.4237,0.5248
0,SVM,95,base,0.4166,0.4775,0.5076,0.5437,0.4052,0.4322,0.5076,0.5437
0,SVM,95,undersampling,0.4147,0.53,0.4303,0.5461,0.4253,0.5381,0.4303,0.5461
0,GradientBoosting,95,base,0.4201,0.4747,0.5067,0.5399,0.4113,0.4294,0.5067,0.5399
0,GradientBoosting,95,undersampling,0.3841,0.5092,0.4105,0.5248,0.3914,0.5206,0.4105,0.5248
0,LogisticRegression,95,base,0.4177,0.4747,0.5076,0.5399,0.4058,0.4294,0.5076,0.5399
0,LogisticRegression,95,undersampling,0.4016,0.5092,0.4259,0.5248,0.4169,0.5206,0.4259,0.5248
0,XGBoost,95,base,0.417,0.4747,0.5048,0.5399,0.4054,0.4294,0.5048,0.5399
0,XGBoost,95,undersampling,0.3874,0.5092,0.415,0.5248,0.395,0.5206,0.415,0.5248
0,Lgbm,95,base,0.4189,0.4747,0.5067,0.5399,0.4104,0.4294,0.5067,0.5399
0,Lgbm,95,undersampling,0.3998,0.5092,0.4237,0.5248,0.4119,0.5206,0.4237,0.5248
0,KNN,95,base,0.421,0.3911,0.4562,0.4297,0.4025,0.3602,0.4562,0.4297
0,KNN,95,undersampling,0.1714,0.1667,0.3201,0.3333,0.1888,0.1111,0.3201,0.3333
1,AdaBoost,48,base,0.4106,0.3964,0.519,0.4791,0.3569,0.3859,0.519,0.4791
1,AdaBoost,48,undersampling,0.424,0.4403,0.4401,0.4444,0.4479,0.4621,0.4401,0.4444
1,RandomForest,48,base,0.4589,0.4159,0.5229,0.4791,0.4409,0.3846,0.5229,0.4791
1,RandomForest,48,undersampling,0.4173,0.4195,0.4336,0.4296,0.441,0.4463,0.4336,0.4296
1,SVM,48,base,0.4323,0.4227,0.519,0.4905,0.3886,0.3937,0.519,0.4905
1,SVM,48,undersampling,0.4143,0.4403,0.4336,0.4444,0.4362,0.4621,0.4336,0.4444
1,GradientBoosting,48,base,0.4571,0.4159,0.521,0.4791,0.4392,0.3846,0.521,0.4791
1,GradientBoosting,48,undersampling,0.4165,0.4126,0.4314,0.4222,0.4389,0.4353,0.4314,0.4222
1,LogisticRegression,48,base,0.4501,0.4159,0.5181,0.4791,0.4347,0.3846,0.5181,0.4791
1,LogisticRegression,48,undersampling,0.4125,0.4399,0.4292,0.4444,0.4348,0.4613,0.4292,0.4444
1,XGBoost,48,base,0.4571,0.4159,0.521,0.4791,0.4392,0.3846,0.521,0.4791
1,XGBoost,48,undersampling,0.4132,0.4399,0.4314,0.4444,0.4412,0.4613,0.4314,0.4444
1,Lgbm,48,base,0.4501,0.4159,0.5181,0.4791,0.4347,0.3846,0.5181,0.4791
