iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,38,base,0.4521,0.3779,0.4981,0.4487,0.4581,0.4015,0.4981,0.4487
0,AdaBoost,38,undersampling,0.4017,0.4458,0.4034,0.4472,0.4066,0.4471,0.4034,0.4472
0,RandomForest,38,base,0.3562,0.3147,0.381,0.3308,0.3442,0.3027,0.381,0.3308
0,RandomForest,38,undersampling,0.4056,0.3648,0.4098,0.3659,0.4068,0.364,0.4098,0.3659
0,SVM,38,base,0.3515,0.3525,0.5162,0.5171,0.2665,0.2674,0.5162,0.5171
0,SVM,38,undersampling,0.3878,0.4234,0.4013,0.4228,0.4193,0.4251,0.4013,0.4228
0,GradientBoosting,38,base,0.3825,0.3894,0.4057,0.4183,0.3712,0.3744,0.4057,0.4183
0,GradientBoosting,38,undersampling,0.3749,0.3824,0.378,0.3821,0.3749,0.3827,0.378,0.3821
0,LogisticRegression,38,base,0.463,0.4637,0.5133,0.5209,0.4512,0.4773,0.5133,0.5209
0,LogisticRegression,38,undersampling,0.4175,0.4267,0.4225,0.4309,0.4182,0.4266,0.4225,0.4309
0,XGBoost,38,base,0.3651,0.3535,0.381,0.3688,0.3563,0.3425,0.381,0.3688
0,XGBoost,38,undersampling,0.398,0.3505,0.3992,0.3496,0.3998,0.3517,0.3992,0.3496
0,Lgbm,38,base,0.3616,0.3375,0.3781,0.3536,0.3519,0.3253,0.3781,0.3536
0,Lgbm,38,undersampling,0.3855,0.3434,0.3865,0.3415,0.39,0.347,0.3865,0.3415
0,KNN,38,base,0.4634,0.4147,0.4943,0.4563,0.4704,0.4048,0.4943,0.4563
0,KNN,38,undersampling,0.3989,0.337,0.3994,0.3415,0.4044,0.3461,0.3994,0.3415
1,AdaBoost,36,base,0.4219,0.3294,0.501,0.4525,0.4138,0.497,0.501,0.4525
1,AdaBoost,36,undersampling,0.3852,0.3261,0.3898,0.3258,0.3895,0.3265,0.3898,0.3258
1,RandomForest,36,base,0.3749,0.3395,0.399,0.3726,0.3611,0.331,0.399,0.3726
1,RandomForest,36,undersampling,0.3488,0.4082,0.3529,0.4091,0.3501,0.4079,0.3529,0.4091
1,SVM,36,base,0.371,0.2779,0.5333,0.4487,0.2844,0.2013,0.5333,0.4487
1,SVM,36,undersampling,0.4009,0.4615,0.4068,0.4621,0.409,0.4637,0.4068,0.4621
1,GradientBoosting,36,base,0.3854,0.3607,0.4095,0.4068,0.3749,0.3689,0.4095,0.4068
