iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,15,base,0.4346,0.4773,0.4905,0.5209,0.444,0.4827,0.4905,0.5209
0,AdaBoost,15,undersampling,0.4178,0.3752,0.4208,0.3772,0.4191,0.3751,0.4208,0.3772
0,RandomForest,15,base,0.3557,0.3596,0.3781,0.3802,0.3439,0.343,0.3781,0.3802
0,RandomForest,15,undersampling,0.3851,0.3508,0.3854,0.3509,0.3885,0.3512,0.3854,0.3509
0,SVM,15,base,0.3607,0.3975,0.5038,0.5475,0.3862,0.3766,0.5038,0.5475
0,SVM,15,undersampling,0.3977,0.364,0.4062,0.3684,0.4063,0.3672,0.4062,0.3684
0,GradientBoosting,15,base,0.3846,0.3812,0.4067,0.4106,0.3731,0.3595,0.4067,0.4106
0,GradientBoosting,15,undersampling,0.3797,0.344,0.3812,0.3421,0.3809,0.3493,0.3812,0.3421
0,LogisticRegression,15,base,0.4364,0.4496,0.4857,0.5019,0.4446,0.4405,0.4857,0.5019
0,LogisticRegression,15,undersampling,0.3863,0.4278,0.3917,0.4298,0.3909,0.4305,0.3917,0.4298
0,XGBoost,15,base,0.3707,0.376,0.3876,0.3916,0.3606,0.3629,0.3876,0.3916
0,XGBoost,15,undersampling,0.3915,0.325,0.3937,0.3246,0.3937,0.3279,0.3937,0.3246
0,Lgbm,15,base,0.3651,0.3604,0.38,0.3688,0.3555,0.3529,0.38,0.3688
0,Lgbm,15,undersampling,0.3836,0.3232,0.3854,0.3246,0.3857,0.3224,0.3854,0.3246
0,KNN,15,base,0.4413,0.4415,0.4781,0.4753,0.4434,0.4229,0.4781,0.4753
0,KNN,15,undersampling,0.4083,0.4305,0.4104,0.4298,0.418,0.4493,0.4104,0.4298
1,AdaBoost,27,base,0.4312,0.483,0.499,0.5475,0.4621,0.5398,0.499,0.5475
1,AdaBoost,27,undersampling,0.3733,0.4047,0.3806,0.4074,0.371,0.4052,0.3806,0.4074
1,RandomForest,27,base,0.3341,0.3756,0.3562,0.3916,0.322,0.3649,0.3562,0.3916
1,RandomForest,27,undersampling,0.3634,0.3675,0.3704,0.3704,0.3618,0.3672,0.3704,0.3704
1,SVM,27,base,0.3426,0.3963,0.5038,0.5551,0.2785,0.3082,0.5038,0.5551
1,SVM,27,undersampling,0.4005,0.3884,0.4096,0.3889,0.4054,0.3971,0.4096,0.3889
1,GradientBoosting,27,base,0.3343,0.4152,0.3552,0.4411,0.3214,0.4013,0.3552,0.4411
1,GradientBoosting,27,undersampling,0.3368,0.3323,0.3375,0.3333,0.3396,0.3328,0.3375,0.3333
1,LogisticRegression,27,base,0.4283,0.4953,0.4752,0.5323,0.4351,0.4912,0.4752,0.5323
1,LogisticRegression,27,undersampling,0.3903,0.3581,0.3972,0.3611,0.388,0.3633,0.3972,0.3611
1,XGBoost,27,base,0.3382,0.4033,0.3533,0.4106,0.3295,0.3981,0.3533,0.4106
1,XGBoost,27,undersampling,0.3512,0.3605,0.3519,0.3611,0.3532,0.3603,0.3519,0.3611
1,Lgbm,27,base,0.3357,0.3894,0.3495,0.3954,0.3269,0.3844,0.3495,0.3954
1,Lgbm,27,undersampling,0.3661,0.3711,0.3663,0.3704,0.3705,0.3722,0.3663,0.3704
1,KNN,27,base,0.3986,0.474,0.4333,0.5019,0.3974,0.4768,0.4333,0.5019
1,KNN,27,undersampling,0.4461,0.4033,0.4488,0.4074,0.4524,0.4082,0.4488,0.4074
2,AdaBoost,12,base,0.4201,0.4549,0.5029,0.5361,0.4934,0.4418,0.5029,0.5361
2,AdaBoost,12,undersampling,0.384,0.3957,0.3873,0.3964,0.3856,0.3951,0.3873,0.3964
2,RandomForest,12,base,0.3444,0.3692,0.3657,0.3916,0.3348,0.3531,0.3657,0.3916
2,RandomForest,12,undersampling,0.3389,0.3384,0.3416,0.3423,0.3419,0.3409,0.3416,0.3423
2,SVM,12,base,0.354,0.3953,0.5114,0.5475,0.3424,0.6131,0.5114,0.5475
2,SVM,12,undersampling,0.3666,0.4225,0.3768,0.4414,0.3691,0.4325,0.3768,0.4414
2,GradientBoosting,12,base,0.3637,0.3817,0.3867,0.4221,0.3531,0.3574,0.3867,0.4221
2,GradientBoosting,12,undersampling,0.3202,0.3698,0.3252,0.3694,0.3207,0.3719,0.3252,0.3694
2,LogisticRegression,12,base,0.4468,0.4752,0.4933,0.5399,0.4542,0.4672,0.4933,0.5399
2,LogisticRegression,12,undersampling,0.418,0.4224,0.4223,0.4234,0.4211,0.4217,0.4223,0.4234
2,XGBoost,12,base,0.3471,0.3871,0.3619,0.4221,0.3379,0.369,0.3619,0.4221
2,XGBoost,12,undersampling,0.3347,0.3511,0.3376,0.3514,0.3371,0.3522,0.3376,0.3514
2,Lgbm,12,base,0.348,0.3546,0.361,0.3688,0.3399,0.3441,0.361,0.3688
2,Lgbm,12,undersampling,0.3625,0.3518,0.3665,0.3514,0.3643,0.355,0.3665,0.3514
2,KNN,12,base,0.4405,0.4104,0.4762,0.4601,0.443,0.3818,0.4762,0.4601
2,KNN,12,undersampling,0.3921,0.402,0.3977,0.4054,0.4153,0.4167,0.3977,0.4054
3,AdaBoost,94,base,0.425,0.4466,0.5057,0.5247,0.4965,0.4738,0.5057,0.5247
3,AdaBoost,94,undersampling,0.428,0.4008,0.4344,0.4,0.4387,0.4088,0.4344,0.4
3,RandomForest,94,base,0.3443,0.3579,0.3638,0.3916,0.334,0.3368,0.3638,0.3916
3,RandomForest,94,undersampling,0.4097,0.3194,0.4147,0.3222,0.4106,0.321,0.4147,0.3222
3,SVM,94,base,0.3579,0.4057,0.5105,0.5475,0.3384,0.6013,0.5105,0.5475
3,SVM,94,undersampling,0.4372,0.4205,0.4383,0.4222,0.4423,0.4228,0.4383,0.4222
3,GradientBoosting,94,base,0.3622,0.3912,0.3876,0.4259,0.3516,0.376,0.3876,0.4259
3,GradientBoosting,94,undersampling,0.3703,0.3309,0.371,0.3333,0.3737,0.3294,0.371,0.3333
3,LogisticRegression,94,base,0.4455,0.4809,0.4981,0.5437,0.4543,0.5044,0.4981,0.5437
3,LogisticRegression,94,undersampling,0.375,0.379,0.3769,0.3778,0.377,0.3817,0.3769,0.3778
3,XGBoost,94,base,0.3531,0.3686,0.3676,0.3954,0.3459,0.3569,0.3676,0.3954
3,XGBoost,94,undersampling,0.3757,0.3184,0.3789,0.3222,0.3793,0.3201,0.3789,0.3222
3,Lgbm,94,base,0.3549,0.3772,0.3714,0.3916,0.346,0.3736,0.3714,0.3916
3,Lgbm,94,undersampling,0.3909,0.3339,0.3928,0.3333,0.3951,0.336,0.3928,0.3333
3,KNN,94,base,0.4216,0.4521,0.4505,0.4867,0.4241,0.4488,0.4505,0.4867
3,KNN,94,undersampling,0.4351,0.4491,0.4363,0.4556,0.4422,0.4563,0.4363,0.4556
4,AdaBoost,18,base,0.4114,0.3951,0.4857,0.4943,0.4399,0.4593,0.4857,0.4943
4,AdaBoost,18,undersampling,0.3765,0.3185,0.3776,0.3167,0.3808,0.3238,0.3776,0.3167
4,RandomForest,18,base,0.3406,0.3712,0.3619,0.4068,0.3279,0.3666,0.3619,0.4068
4,RandomForest,18,undersampling,0.3715,0.3151,0.3733,0.3167,0.3748,0.314,0.3733,0.3167
4,SVM,18,base,0.3647,0.3228,0.5248,0.4867,0.3566,0.5991,0.5248,0.4867
4,SVM,18,undersampling,0.3429,0.3328,0.3586,0.35,0.3532,0.3454,0.3586,0.35
4,GradientBoosting,18,base,0.3552,0.3862,0.381,0.4259,0.34,0.3816,0.381,0.4259
4,GradientBoosting,18,undersampling,0.3268,0.2453,0.3292,0.25,0.3299,0.2415,0.3292,0.25
4,LogisticRegression,18,base,0.4509,0.433,0.5114,0.5209,0.4688,0.5323,0.5114,0.5209
4,LogisticRegression,18,undersampling,0.366,0.2684,0.3713,0.275,0.3671,0.267,0.3713,0.275
4,XGBoost,18,base,0.3318,0.3635,0.3514,0.3916,0.3185,0.3529,0.3514,0.3916
4,XGBoost,18,undersampling,0.3475,0.2617,0.3502,0.2583,0.3512,0.2659,0.3502,0.2583
4,Lgbm,18,base,0.3388,0.3582,0.3543,0.3802,0.3283,0.3476,0.3543,0.3802
4,Lgbm,18,undersampling,0.3533,0.25,0.3544,0.25,0.3539,0.25,0.3544,0.25
4,KNN,18,base,0.4374,0.4391,0.48,0.4943,0.4349,0.4688,0.48,0.4943
4,KNN,18,undersampling,0.3866,0.3277,0.3882,0.3333,0.3898,0.3278,0.3882,0.3333
5,AdaBoost,45,base,0.432,0.3823,0.5048,0.4829,0.4884,0.3961,0.5048,0.4829
5,AdaBoost,45,undersampling,0.3927,0.3471,0.3946,0.3448,0.3959,0.353,0.3946,0.3448
5,RandomForest,45,base,0.3412,0.3153,0.3676,0.3346,0.3289,0.3046,0.3676,0.3346
5,RandomForest,45,undersampling,0.3896,0.3319,0.3926,0.3333,0.3919,0.3323,0.3926,0.3333
5,SVM,45,base,0.358,0.3397,0.519,0.5057,0.3328,0.2557,0.519,0.5057
5,SVM,45,undersampling,0.4228,0.4211,0.424,0.4253,0.4297,0.4287,0.424,0.4253
5,GradientBoosting,45,base,0.3559,0.3691,0.3857,0.4068,0.3433,0.3658,0.3857,0.4068
5,GradientBoosting,45,undersampling,0.3887,0.332,0.3925,0.3333,0.3932,0.3366,0.3925,0.3333
5,LogisticRegression,45,base,0.4384,0.4681,0.4971,0.5323,0.4564,0.5146,0.4971,0.5323
5,LogisticRegression,45,undersampling,0.3802,0.421,0.3826,0.4253,0.3802,0.4265,0.3826,0.4253
5,XGBoost,45,base,0.3421,0.3285,0.36,0.3422,0.3325,0.3248,0.36,0.3422
5,XGBoost,45,undersampling,0.3791,0.3689,0.3827,0.3678,0.3843,0.3723,0.3827,0.3678
5,Lgbm,45,base,0.3428,0.3286,0.36,0.3422,0.3329,0.3234,0.36,0.3422
5,Lgbm,45,undersampling,0.3848,0.3466,0.3866,0.3448,0.3886,0.3554,0.3866,0.3448
5,KNN,45,base,0.4494,0.4191,0.4819,0.4677,0.4536,0.4279,0.4819,0.4677
5,KNN,45,undersampling,0.4268,0.494,0.4279,0.4943,0.4298,0.4938,0.4279,0.4943
6,AdaBoost,31,base,0.4414,0.4136,0.5095,0.4867,0.4896,0.4612,0.5095,0.4867
6,AdaBoost,31,undersampling,0.4281,0.4089,0.4323,0.4109,0.4347,0.4079,0.4323,0.4109
6,RandomForest,31,base,0.3482,0.3482,0.3724,0.3688,0.3359,0.3349,0.3724,0.3688
6,RandomForest,31,undersampling,0.3333,0.308,0.3355,0.3101,0.3346,0.3067,0.3355,0.3101
6,SVM,31,base,0.3645,0.3477,0.5219,0.4981,0.4049,0.4506,0.5219,0.4981
6,SVM,31,undersampling,0.4135,0.4117,0.4151,0.4109,0.4197,0.4127,0.4151,0.4109
6,GradientBoosting,31,base,0.3599,0.3675,0.3848,0.403,0.3486,0.3555,0.3848,0.403
6,GradientBoosting,31,undersampling,0.3419,0.2924,0.3441,0.2946,0.3473,0.2912,0.3441,0.2946
6,LogisticRegression,31,base,0.4471,0.4348,0.5,0.4867,0.4577,0.45,0.5,0.4867
6,LogisticRegression,31,undersampling,0.3853,0.3318,0.3871,0.3411,0.3881,0.3272,0.3871,0.3411
6,XGBoost,31,base,0.3509,0.3529,0.3638,0.3764,0.3438,0.341,0.3638,0.3764
6,XGBoost,31,undersampling,0.3342,0.3022,0.3355,0.3023,0.3353,0.3021,0.3355,0.3023
6,Lgbm,31,base,0.3484,0.3579,0.3638,0.3726,0.3389,0.3484,0.3638,0.3726
