iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,91,base,0.4123,0.4591,0.4857,0.5285,0.3833,0.4161,0.4857,0.5285
0,AdaBoost,91,undersampling,0.3846,0.4104,0.3945,0.4083,0.3876,0.4174,0.3945,0.4083
0,RandomForest,91,base,0.4103,0.4759,0.4505,0.5247,0.3882,0.4368,0.4505,0.5247
0,RandomForest,91,undersampling,0.3656,0.4541,0.3756,0.4583,0.3732,0.461,0.3756,0.4583
0,SVM,91,base,0.4191,0.4629,0.4981,0.5323,0.3923,0.4248,0.4981,0.5323
0,SVM,91,undersampling,0.3973,0.4385,0.4135,0.45,0.4097,0.454,0.4135,0.45
0,GradientBoosting,91,base,0.4083,0.4506,0.4619,0.5019,0.3845,0.4141,0.4619,0.5019
0,GradientBoosting,91,undersampling,0.3735,0.4399,0.3861,0.4417,0.3812,0.4457,0.3861,0.4417
0,LogisticRegression,91,base,0.4259,0.4603,0.5067,0.5323,0.4173,0.4234,0.5067,0.5323
0,LogisticRegression,91,undersampling,0.3198,0.3454,0.3629,0.4,0.3012,0.3809,0.3629,0.4
0,XGBoost,91,base,0.4155,0.4505,0.4562,0.5019,0.3966,0.4121,0.4562,0.5019
0,XGBoost,91,undersampling,0.3812,0.445,0.3924,0.45,0.3888,0.4471,0.3924,0.45
0,Lgbm,91,base,0.417,0.4544,0.4581,0.5057,0.4001,0.4163,0.4581,0.5057
0,Lgbm,91,undersampling,0.3842,0.4376,0.3967,0.4417,0.3904,0.4458,0.3967,0.4417
0,KNN,91,base,0.4225,0.4803,0.4752,0.5361,0.414,0.4624,0.4752,0.5361
0,KNN,91,undersampling,0.2371,0.2524,0.3417,0.3583,0.3462,0.4508,0.3417,0.3583
1,AdaBoost,66,base,0.4324,0.3574,0.5124,0.4791,0.4112,0.3489,0.5124,0.4791
1,AdaBoost,66,undersampling,0.3924,0.4637,0.3995,0.4683,0.3999,0.4653,0.3995,0.4683
1,RandomForest,66,base,0.4176,0.4211,0.4686,0.4639,0.3986,0.4066,0.4686,0.4639
1,RandomForest,66,undersampling,0.4013,0.4643,0.4102,0.4762,0.4048,0.4757,0.4102,0.4762
1,SVM,66,base,0.4003,0.4167,0.501,0.4905,0.3721,0.3991,0.501,0.4905
1,SVM,66,undersampling,0.4125,0.4747,0.4294,0.4841,0.4323,0.4903,0.4294,0.4841
1,GradientBoosting,66,base,0.415,0.413,0.4629,0.4601,0.3886,0.3831,0.4629,0.4601
1,GradientBoosting,66,undersampling,0.3961,0.4864,0.4037,0.5,0.4001,0.5032,0.4037,0.5
1,LogisticRegression,66,base,0.406,0.4194,0.5048,0.4943,0.4099,0.4032,0.5048,0.4943
1,LogisticRegression,66,undersampling,0.3598,0.344,0.3825,0.3889,0.3618,0.3856,0.3825,0.3889
1,XGBoost,66,base,0.4126,0.4241,0.46,0.4677,0.389,0.4099,0.46,0.4677
1,XGBoost,66,undersampling,0.392,0.4718,0.3995,0.4841,0.3944,0.4846,0.3995,0.4841
1,Lgbm,66,base,0.4159,0.4335,0.4676,0.4639,0.3927,0.4327,0.4676,0.4639
1,Lgbm,66,undersampling,0.4023,0.4542,0.4059,0.4683,0.4045,0.4646,0.4059,0.4683
1,KNN,66,base,0.407,0.3345,0.4638,0.4144,0.4093,0.3057,0.4638,0.4144
1,KNN,66,undersampling,0.2477,0.2025,0.3397,0.3492,0.2376,0.3667,0.3397,0.3492
2,AdaBoost,49,base,0.4154,0.3628,0.5038,0.5019,0.4106,0.3576,0.5038,0.5019
2,AdaBoost,49,undersampling,0.4034,0.4218,0.4161,0.4222,0.4124,0.4282,0.4161,0.4222
2,RandomForest,49,base,0.41,0.3763,0.461,0.4411,0.3876,0.3379,0.461,0.4411
2,RandomForest,49,undersampling,0.4116,0.4985,0.4183,0.4963,0.4157,0.5025,0.4183,0.4963
2,SVM,49,base,0.4059,0.3453,0.4867,0.4715,0.3741,0.3157,0.4867,0.4715
2,SVM,49,undersampling,0.4267,0.4491,0.4401,0.4741,0.4405,0.4457,0.4401,0.4741
2,GradientBoosting,49,base,0.4086,0.3969,0.4619,0.4563,0.38,0.358,0.4619,0.4563
2,GradientBoosting,49,undersampling,0.3898,0.5098,0.3965,0.5111,0.3959,0.5095,0.3965,0.5111
2,LogisticRegression,49,base,0.4139,0.3734,0.5133,0.4943,0.414,0.3602,0.5133,0.4943
2,LogisticRegression,49,undersampling,0.3695,0.4176,0.3856,0.4296,0.3716,0.415,0.3856,0.4296
2,XGBoost,49,base,0.409,0.4004,0.461,0.4563,0.3813,0.3606,0.461,0.4563
2,XGBoost,49,undersampling,0.3969,0.5092,0.403,0.5111,0.4029,0.5079,0.403,0.5111
2,Lgbm,49,base,0.4179,0.3899,0.4667,0.4411,0.3894,0.3526,0.4667,0.4411
2,Lgbm,49,undersampling,0.3942,0.4742,0.4009,0.4741,0.4016,0.478,0.4009,0.4741
2,KNN,49,base,0.3982,0.4312,0.4457,0.4601,0.3808,0.449,0.4457,0.4601
2,KNN,49,undersampling,0.2726,0.1853,0.3616,0.3111,0.3756,0.2045,0.3616,0.3111
3,AdaBoost,46,base,0.4003,0.4539,0.5029,0.5399,0.348,0.4301,0.5029,0.5399
3,AdaBoost,46,undersampling,0.4316,0.4296,0.4409,0.4333,0.446,0.4398,0.4409,0.4333
3,RandomForest,46,base,0.4233,0.4771,0.4638,0.4905,0.4069,0.4728,0.4638,0.4905
3,RandomForest,46,undersampling,0.4149,0.4343,0.4324,0.4417,0.4291,0.4547,0.4324,0.4417
3,SVM,46,base,0.4032,0.4783,0.4933,0.5285,0.3654,0.4391,0.4933,0.5285
3,SVM,46,undersampling,0.4053,0.4037,0.4346,0.4167,0.4468,0.4286,0.4346,0.4167
3,GradientBoosting,46,base,0.4293,0.4753,0.4686,0.5095,0.415,0.4457,0.4686,0.5095
3,GradientBoosting,46,undersampling,0.4299,0.426,0.443,0.4333,0.4424,0.4441,0.443,0.4333
3,LogisticRegression,46,base,0.411,0.4373,0.5,0.5285,0.3994,0.4249,0.5,0.5285
3,LogisticRegression,46,undersampling,0.3329,0.3716,0.3734,0.4,0.3219,0.3818,0.3734,0.4
3,XGBoost,46,base,0.4359,0.4622,0.4724,0.4943,0.4352,0.4347,0.4724,0.4943
3,XGBoost,46,undersampling,0.4315,0.426,0.4493,0.4333,0.4524,0.4365,0.4493,0.4333
3,Lgbm,46,base,0.4263,0.462,0.4629,0.4905,0.4197,0.4375,0.4629,0.4905
3,Lgbm,46,undersampling,0.4175,0.4128,0.4303,0.425,0.4248,0.4293,0.4303,0.425
3,KNN,46,base,0.3803,0.4332,0.3781,0.4297,0.387,0.4388,0.3781,0.4297
3,KNN,46,undersampling,0.3136,0.2431,0.3945,0.325,0.4394,0.33,0.3945,0.325
4,AdaBoost,21,base,0.4673,0.4407,0.5238,0.5285,0.4321,0.4083,0.5238,0.5285
4,AdaBoost,21,undersampling,0.3501,0.3398,0.3616,0.3838,0.362,0.3322,0.3616,0.3838
4,RandomForest,21,base,0.4215,0.4852,0.4543,0.5133,0.4072,0.4608,0.4543,0.5133
4,RandomForest,21,undersampling,0.371,0.3725,0.3778,0.3838,0.3737,0.3723,0.3778,0.3838
4,SVM,21,base,0.4021,0.4822,0.4819,0.5399,0.411,0.4499,0.4819,0.5399
4,SVM,21,undersampling,0.3838,0.3824,0.396,0.404,0.3918,0.3761,0.396,0.404
4,GradientBoosting,21,base,0.411,0.4928,0.4562,0.5209,0.3852,0.4685,0.4562,0.5209
4,GradientBoosting,21,undersampling,0.3706,0.4046,0.3758,0.4141,0.3742,0.4062,0.3758,0.4141
4,LogisticRegression,21,base,0.4315,0.485,0.5057,0.5513,0.4121,0.4578,0.5057,0.5513
4,LogisticRegression,21,undersampling,0.3792,0.3686,0.404,0.3838,0.3875,0.3621,0.404,0.3838
4,XGBoost,21,base,0.419,0.4643,0.4571,0.5057,0.3995,0.4327,0.4571,0.5057
4,XGBoost,21,undersampling,0.3832,0.3686,0.3899,0.3737,0.3854,0.3707,0.3899,0.3737
4,Lgbm,21,base,0.4067,0.4767,0.4495,0.5133,0.3819,0.4466,0.4495,0.5133
4,Lgbm,21,undersampling,0.3671,0.3699,0.3737,0.3737,0.3694,0.3753,0.3737,0.3737
4,KNN,21,base,0.4193,0.4502,0.4733,0.4981,0.4197,0.4397,0.4733,0.4981
4,KNN,21,undersampling,0.2145,0.1905,0.3152,0.2828,0.3059,0.3172,0.3152,0.2828
5,AdaBoost,44,base,0.3834,0.3869,0.5076,0.5209,0.3226,0.3828,0.5076,0.5209
5,AdaBoost,44,undersampling,0.3993,0.3719,0.4084,0.3759,0.3987,0.3731,0.4084,0.3759
5,RandomForest,44,base,0.4431,0.4384,0.4733,0.4791,0.4236,0.4077,0.4733,0.4791
5,RandomForest,44,undersampling,0.385,0.3614,0.3907,0.383,0.3865,0.3723,0.3907,0.383
5,SVM,44,base,0.4639,0.4454,0.5133,0.4905,0.4308,0.4087,0.5133,0.4905
5,SVM,44,undersampling,0.406,0.3319,0.426,0.3759,0.4163,0.3567,0.426,0.3759
5,GradientBoosting,44,base,0.4377,0.4391,0.4705,0.4791,0.4181,0.4086,0.4705,0.4791
5,GradientBoosting,44,undersampling,0.3893,0.4086,0.3929,0.4113,0.3987,0.4219,0.3929,0.4113
5,LogisticRegression,44,base,0.4156,0.4399,0.4943,0.5057,0.3945,0.4587,0.4943,0.5057
5,LogisticRegression,44,undersampling,0.3787,0.3012,0.426,0.3475,0.3865,0.3099,0.426,0.3475
5,XGBoost,44,base,0.4481,0.4423,0.4771,0.4829,0.4269,0.4111,0.4771,0.4829
5,XGBoost,44,undersampling,0.3813,0.4086,0.3884,0.4113,0.3846,0.4209,0.3884,0.4113
5,Lgbm,44,base,0.4473,0.426,0.48,0.4639,0.4258,0.3987,0.48,0.4639
5,Lgbm,44,undersampling,0.3596,0.3611,0.3663,0.383,0.368,0.3756,0.3663,0.383
5,KNN,44,base,0.4462,0.4368,0.4876,0.4943,0.4186,0.3956,0.4876,0.4943
5,KNN,44,undersampling,0.2241,0.2393,0.3378,0.3475,0.2305,0.3876,0.3378,0.3475
6,AdaBoost,60,base,0.4275,0.3387,0.5343,0.4183,0.4324,0.317,0.5343,0.4183
6,AdaBoost,60,undersampling,0.4213,0.3624,0.4244,0.3681,0.4258,0.365,0.4244,0.3681
6,RandomForest,60,base,0.4588,0.3834,0.479,0.4106,0.4487,0.3743,0.479,0.4106
6,RandomForest,60,undersampling,0.4458,0.3491,0.4489,0.3472,0.4488,0.3526,0.4489,0.3472
6,SVM,60,base,0.4698,0.3852,0.5295,0.4487,0.4392,0.357,0.5295,0.4487
6,SVM,60,undersampling,0.438,0.3644,0.4467,0.375,0.4421,0.3599,0.4467,0.375
6,GradientBoosting,60,base,0.4486,0.393,0.4762,0.4183,0.4365,0.3864,0.4762,0.4183
6,GradientBoosting,60,undersampling,0.4486,0.3674,0.4511,0.3681,0.4528,0.3689,0.4511,0.3681
6,LogisticRegression,60,base,0.4413,0.3611,0.5267,0.4411,0.4339,0.3487,0.5267,0.4411
