iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,75,base,0.397,0.43,0.4771,0.5057,0.3994,0.3963,0.4771,0.5057
0,AdaBoost,75,undersampling,0.3618,0.3847,0.3692,0.3917,0.361,0.3891,0.3692,0.3917
0,RandomForest,75,base,0.3445,0.3156,0.3686,0.3384,0.3306,0.3075,0.3686,0.3384
0,RandomForest,75,undersampling,0.3889,0.3245,0.3904,0.325,0.3905,0.3241,0.3904,0.325
0,SVM,75,base,0.3846,0.3849,0.4933,0.5019,0.4154,0.4162,0.4933,0.5019
0,SVM,75,undersampling,0.391,0.3641,0.3987,0.3667,0.4047,0.3641,0.3987,0.3667
0,GradientBoosting,75,base,0.3635,0.3508,0.3924,0.403,0.35,0.3297,0.3924,0.403
0,GradientBoosting,75,undersampling,0.343,0.3134,0.344,0.3167,0.3473,0.3142,0.344,0.3167
0,LogisticRegression,75,base,0.4131,0.4149,0.4771,0.4867,0.415,0.4316,0.4771,0.4867
0,LogisticRegression,75,undersampling,0.3266,0.3862,0.3332,0.3917,0.3281,0.3855,0.3332,0.3917
0,XGBoost,75,base,0.3526,0.3275,0.3695,0.346,0.3417,0.3143,0.3695,0.346
0,XGBoost,75,undersampling,0.3479,0.2916,0.3481,0.2917,0.351,0.2919,0.3481,0.2917
0,Lgbm,75,base,0.3469,0.342,0.3629,0.3574,0.3359,0.33,0.3629,0.3574
0,Lgbm,75,undersampling,0.3245,0.3341,0.3249,0.3333,0.3264,0.338,0.3249,0.3333
0,KNN,75,base,0.4104,0.4207,0.4448,0.4639,0.426,0.426,0.4448,0.4639
0,KNN,75,undersampling,0.3896,0.3852,0.3923,0.3833,0.3979,0.4058,0.3923,0.3833
1,AdaBoost,46,base,0.4385,0.4368,0.501,0.5019,0.4489,0.4523,0.501,0.5019
1,AdaBoost,46,undersampling,0.3857,0.373,0.3882,0.375,0.3846,0.3718,0.3882,0.375
1,RandomForest,46,base,0.3453,0.3479,0.3686,0.3764,0.3311,0.3279,0.3686,0.3764
1,RandomForest,46,undersampling,0.3559,0.3178,0.3586,0.3167,0.3599,0.3212,0.3586,0.3167
1,SVM,46,base,0.4024,0.4206,0.4829,0.4829,0.4272,0.4452,0.4829,0.4829
1,SVM,46,undersampling,0.3759,0.4623,0.3819,0.4667,0.3764,0.4615,0.3819,0.4667
1,GradientBoosting,46,base,0.348,0.3729,0.3733,0.3992,0.3332,0.356,0.3733,0.3992
1,GradientBoosting,46,undersampling,0.3383,0.3128,0.3417,0.3167,0.3387,0.3126,0.3417,0.3167
1,LogisticRegression,46,base,0.4419,0.4245,0.4914,0.4677,0.4452,0.4193,0.4914,0.4677
1,LogisticRegression,46,undersampling,0.4045,0.4017,0.4094,0.4083,0.4064,0.3994,0.4094,0.4083
1,XGBoost,46,base,0.3351,0.3497,0.3533,0.365,0.3227,0.3374,0.3533,0.365
1,XGBoost,46,undersampling,0.3441,0.2652,0.3438,0.2667,0.3486,0.2662,0.3438,0.2667
1,Lgbm,46,base,0.3379,0.3604,0.3533,0.3764,0.3271,0.3475,0.3533,0.3764
1,Lgbm,46,undersampling,0.343,0.3286,0.3439,0.325,0.3455,0.3376,0.3439,0.325
1,KNN,46,base,0.4142,0.4561,0.4552,0.4905,0.4173,0.4714,0.4552,0.4905
1,KNN,46,undersampling,0.3682,0.4206,0.3755,0.425,0.3832,0.4339,0.3755,0.425
2,AdaBoost,79,base,0.4336,0.3496,0.5067,0.4677,0.4501,0.3878,0.5067,0.4677
2,AdaBoost,79,undersampling,0.3753,0.3565,0.3764,0.3595,0.3787,0.3591,0.3764,0.3595
2,RandomForest,79,base,0.339,0.3044,0.3667,0.3422,0.3217,0.2927,0.3667,0.3422
2,RandomForest,79,undersampling,0.3706,0.2918,0.3764,0.2941,0.3737,0.2899,0.3764,0.2941
2,SVM,79,base,0.3959,0.3442,0.5067,0.4601,0.4194,0.464,0.5067,0.4601
2,SVM,79,undersampling,0.3995,0.3659,0.4035,0.366,0.4069,0.3716,0.4035,0.366
2,GradientBoosting,79,base,0.3646,0.3244,0.3952,0.3802,0.3489,0.3173,0.3952,0.3802
2,GradientBoosting,79,undersampling,0.3472,0.319,0.3514,0.3203,0.3488,0.319,0.3514,0.3203
2,LogisticRegression,79,base,0.4522,0.3798,0.5124,0.4715,0.468,0.451,0.5124,0.4715
2,LogisticRegression,79,undersampling,0.4095,0.39,0.4104,0.3987,0.4135,0.3925,0.4104,0.3987
2,XGBoost,79,base,0.3437,0.3023,0.36,0.3346,0.3329,0.2871,0.36,0.3346
2,XGBoost,79,undersampling,0.3676,0.3461,0.3718,0.3464,0.3729,0.3461,0.3718,0.3464
2,Lgbm,79,base,0.3474,0.3076,0.3648,0.3384,0.336,0.2918,0.3648,0.3384
2,Lgbm,79,undersampling,0.3549,0.2858,0.3582,0.2876,0.3569,0.2845,0.3582,0.2876
2,KNN,79,base,0.4421,0.3831,0.4743,0.4449,0.4573,0.3963,0.4743,0.4449
2,KNN,79,undersampling,0.3653,0.3834,0.3696,0.3856,0.3813,0.3927,0.3696,0.3856
3,AdaBoost,10,base,0.4321,0.3551,0.5086,0.4677,0.4656,0.3824,0.5086,0.4677
3,AdaBoost,10,undersampling,0.4031,0.3734,0.4047,0.3788,0.413,0.3716,0.4047,0.3788
3,RandomForest,10,base,0.35,0.2702,0.3733,0.3118,0.3364,0.244,0.3733,0.3118
3,RandomForest,10,undersampling,0.383,0.3398,0.3874,0.3485,0.3859,0.3347,0.3874,0.3485
3,SVM,10,base,0.3904,0.3444,0.5076,0.4753,0.4008,0.4292,0.5076,0.4753
3,SVM,10,undersampling,0.3859,0.429,0.3983,0.4318,0.3835,0.4361,0.3983,0.4318
3,GradientBoosting,10,base,0.3526,0.3126,0.3762,0.3574,0.3395,0.295,0.3762,0.3574
3,GradientBoosting,10,undersampling,0.3727,0.363,0.3765,0.3636,0.3735,0.3639,0.3765,0.3636
3,LogisticRegression,10,base,0.4147,0.4045,0.4838,0.4981,0.4231,0.4474,0.4838,0.4981
3,LogisticRegression,10,undersampling,0.4094,0.3777,0.4157,0.3864,0.4088,0.3765,0.4157,0.3864
3,XGBoost,10,base,0.3524,0.3243,0.3714,0.3536,0.3399,0.3068,0.3714,0.3536
3,XGBoost,10,undersampling,0.3744,0.364,0.3808,0.3636,0.3757,0.3652,0.3808,0.3636
3,Lgbm,10,base,0.3525,0.3152,0.3695,0.3422,0.3405,0.2984,0.3695,0.3422
3,Lgbm,10,undersampling,0.3654,0.3337,0.3657,0.3409,0.3677,0.3332,0.3657,0.3409
3,KNN,10,base,0.4325,0.3917,0.4724,0.4449,0.4575,0.4126,0.4724,0.4449
3,KNN,10,undersampling,0.3676,0.398,0.3658,0.4015,0.3865,0.4051,0.3658,0.4015
4,AdaBoost,24,base,0.3992,0.4085,0.4838,0.4905,0.3996,0.3982,0.4838,0.4905
4,AdaBoost,24,undersampling,0.3507,0.4088,0.3556,0.4141,0.3535,0.4121,0.3556,0.4141
4,RandomForest,24,base,0.3272,0.3319,0.3457,0.3498,0.319,0.3178,0.3457,0.3498
4,RandomForest,24,undersampling,0.3132,0.2753,0.3152,0.2828,0.3156,0.2717,0.3152,0.2828
4,SVM,24,base,0.3915,0.4362,0.4819,0.5437,0.4238,0.4989,0.4819,0.5437
4,SVM,24,undersampling,0.3838,0.3753,0.3879,0.3939,0.3849,0.376,0.3879,0.3939
4,GradientBoosting,24,base,0.3427,0.3924,0.3657,0.4259,0.3347,0.3746,0.3657,0.4259
