iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,48,base,0.4839,0.4591,0.5295,0.5133,0.4833,0.5091,0.5295,0.5133
0,AdaBoost,48,undersampling,0.3828,0.3967,0.3878,0.4,0.3827,0.3958,0.3878,0.4
0,RandomForest,48,base,0.3724,0.3361,0.3914,0.3574,0.3605,0.3279,0.3914,0.3574
0,RandomForest,48,undersampling,0.3505,0.327,0.3551,0.3333,0.3505,0.3342,0.3551,0.3333
0,SVM,48,base,0.4049,0.4331,0.5219,0.5133,0.3686,0.4432,0.5219,0.5133
0,SVM,48,undersampling,0.4258,0.4102,0.4336,0.4148,0.4336,0.4105,0.4336,0.4148
0,GradientBoosting,48,base,0.4028,0.3826,0.421,0.4106,0.3921,0.3823,0.421,0.4106
0,GradientBoosting,48,undersampling,0.341,0.3842,0.3463,0.3852,0.3394,0.3849,0.3463,0.3852
0,LogisticRegression,48,base,0.4945,0.4837,0.5324,0.5171,0.5113,0.4911,0.5324,0.5171
0,LogisticRegression,48,undersampling,0.4156,0.4698,0.4224,0.4815,0.4177,0.4729,0.4224,0.4815
0,XGBoost,48,base,0.3876,0.3613,0.401,0.384,0.3784,0.355,0.401,0.384
0,XGBoost,48,undersampling,0.3214,0.366,0.3268,0.3704,0.3195,0.3689,0.3268,0.3704
0,Lgbm,48,base,0.3865,0.3556,0.399,0.3764,0.3775,0.349,0.399,0.3764
0,Lgbm,48,undersampling,0.3477,0.3551,0.353,0.363,0.3478,0.3576,0.353,0.363
0,KNN,48,base,0.461,0.3893,0.4886,0.4297,0.4672,0.4275,0.4886,0.4297
0,KNN,48,undersampling,0.3799,0.4234,0.3791,0.4222,0.3954,0.431,0.3791,0.4222
1,AdaBoost,8,base,0.4777,0.4824,0.5057,0.5209,0.5146,0.4831,0.5057,0.5209
1,AdaBoost,8,undersampling,0.4259,0.4242,0.4276,0.4274,0.431,0.4261,0.4276,0.4274
1,RandomForest,8,base,0.3637,0.369,0.3762,0.3878,0.3579,0.3564,0.3762,0.3878
1,RandomForest,8,undersampling,0.3775,0.3751,0.3813,0.3846,0.3773,0.3698,0.3813,0.3846
1,SVM,8,base,0.4556,0.4355,0.539,0.5209,0.455,0.4203,0.539,0.5209
1,SVM,8,undersampling,0.4747,0.3748,0.4801,0.3846,0.4818,0.3761,0.4801,0.3846
1,GradientBoosting,8,base,0.3825,0.3832,0.3943,0.4106,0.3776,0.3679,0.3943,0.4106
1,GradientBoosting,8,undersampling,0.3841,0.3689,0.3878,0.3761,0.3831,0.3643,0.3878,0.3761
1,LogisticRegression,8,base,0.5038,0.4833,0.5324,0.5323,0.5171,0.4847,0.5324,0.5323
1,LogisticRegression,8,undersampling,0.4429,0.3848,0.4463,0.3932,0.4457,0.4036,0.4463,0.3932
1,XGBoost,8,base,0.3587,0.3864,0.3676,0.403,0.3553,0.3742,0.3676,0.403
1,XGBoost,8,undersampling,0.3743,0.4091,0.3752,0.4103,0.3759,0.4086,0.3752,0.4103
1,Lgbm,8,base,0.374,0.3964,0.3819,0.4183,0.3692,0.3834,0.3819,0.4183
