iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,16,base,0.4238,0.4839,0.4962,0.5437,0.4709,0.4933,0.4962,0.5437
0,AdaBoost,16,undersampling,0.404,0.5285,0.4138,0.5417,0.4123,0.5304,0.4138,0.5417
0,RandomForest,16,base,0.3882,0.4251,0.4095,0.4411,0.3796,0.4163,0.4095,0.4411
0,RandomForest,16,undersampling,0.3914,0.365,0.3945,0.3611,0.3929,0.3699,0.3945,0.3611
0,SVM,16,base,0.3881,0.4954,0.4952,0.5894,0.4329,0.6207,0.4952,0.5894
0,SVM,16,undersampling,0.4154,0.5682,0.431,0.5694,0.4249,0.5672,0.431,0.5694
0,GradientBoosting,16,base,0.4301,0.4605,0.4533,0.4943,0.4239,0.4444,0.4533,0.4943
0,GradientBoosting,16,undersampling,0.3804,0.3898,0.383,0.3889,0.3812,0.3915,0.383,0.3889
0,LogisticRegression,16,base,0.3641,0.4417,0.4886,0.5741,0.3689,0.588,0.4886,0.5741
0,LogisticRegression,16,undersampling,0.4384,0.5525,0.454,0.5556,0.4542,0.5552,0.454,0.5556
0,XGBoost,16,base,0.3905,0.4391,0.4038,0.4563,0.3829,0.4283,0.4038,0.4563
0,XGBoost,16,undersampling,0.3533,0.383,0.3563,0.375,0.3558,0.3937,0.3563,0.375
0,Lgbm,16,base,0.3886,0.4334,0.4029,0.4449,0.3803,0.4276,0.4029,0.4449
0,Lgbm,16,undersampling,0.3439,0.3658,0.3467,0.3611,0.3467,0.3718,0.3467,0.3611
0,KNN,16,base,0.4558,0.4615,0.4819,0.5095,0.4616,0.4505,0.4819,0.5095
0,KNN,16,undersampling,0.418,0.3158,0.4234,0.3056,0.4336,0.3506,0.4234,0.3056
1,AdaBoost,65,base,0.4526,0.484,0.5048,0.5323,0.4944,0.4971,0.5048,0.5323
1,AdaBoost,65,undersampling,0.4712,0.4055,0.4803,0.4054,0.4804,0.4064,0.4803,0.4054
1,RandomForest,65,base,0.401,0.3553,0.4229,0.3764,0.3913,0.3464,0.4229,0.3764
1,RandomForest,65,undersampling,0.4365,0.3408,0.4409,0.3423,0.4383,0.3395,0.4409,0.3423
1,SVM,65,base,0.3843,0.4136,0.5076,0.5323,0.4017,0.6326,0.5076,0.5323
1,SVM,65,undersampling,0.5083,0.4325,0.5174,0.4414,0.5183,0.4409,0.5174,0.4414
1,GradientBoosting,65,base,0.4376,0.4006,0.4667,0.4411,0.4298,0.3947,0.4667,0.4411
1,GradientBoosting,65,undersampling,0.4714,0.3783,0.4781,0.3784,0.4722,0.3796,0.4781,0.3784
1,LogisticRegression,65,base,0.3878,0.3934,0.5105,0.5171,0.4234,0.4618,0.5105,0.5171
1,LogisticRegression,65,undersampling,0.4528,0.4002,0.4698,0.4144,0.4707,0.4094,0.4698,0.4144
1,XGBoost,65,base,0.4073,0.3826,0.4257,0.3992,0.3976,0.3775,0.4257,0.3992
1,XGBoost,65,undersampling,0.414,0.3224,0.4183,0.3243,0.4157,0.3216,0.4183,0.3243
1,Lgbm,65,base,0.4055,0.3702,0.4229,0.384,0.396,0.3689,0.4229,0.384
1,Lgbm,65,undersampling,0.4291,0.34,0.4327,0.3423,0.4287,0.3382,0.4327,0.3423
1,KNN,65,base,0.4253,0.4033,0.4648,0.4525,0.4189,0.3967,0.4648,0.4525
1,KNN,65,undersampling,0.4756,0.4164,0.4822,0.4234,0.4847,0.4215,0.4822,0.4234
2,AdaBoost,68,base,0.4702,0.4198,0.5286,0.5095,0.5169,0.5237,0.5286,0.5095
2,AdaBoost,68,undersampling,0.3897,0.4453,0.4048,0.4545,0.3956,0.4412,0.4048,0.4545
2,RandomForest,68,base,0.4089,0.3565,0.4248,0.3878,0.4,0.3431,0.4248,0.3878
2,RandomForest,68,undersampling,0.3436,0.4337,0.3529,0.4394,0.3418,0.4313,0.3529,0.4394
2,SVM,68,base,0.3956,0.3716,0.5171,0.4867,0.3804,0.3684,0.5171,0.4867
2,SVM,68,undersampling,0.4058,0.4858,0.4244,0.4924,0.415,0.5022,0.4244,0.4924
2,GradientBoosting,68,base,0.427,0.4025,0.4486,0.4373,0.4227,0.3946,0.4486,0.4373
2,GradientBoosting,68,undersampling,0.3442,0.4349,0.3507,0.4545,0.343,0.4364,0.3507,0.4545
2,LogisticRegression,68,base,0.3938,0.3542,0.5219,0.4905,0.4419,0.3749,0.5219,0.4905
2,LogisticRegression,68,undersampling,0.3766,0.5046,0.3984,0.5227,0.3846,0.5271,0.3984,0.5227
2,XGBoost,68,base,0.4018,0.3738,0.4133,0.3954,0.395,0.3636,0.4133,0.3954
2,XGBoost,68,undersampling,0.3677,0.4031,0.3745,0.4091,0.3657,0.4002,0.3745,0.4091
2,Lgbm,68,base,0.4027,0.3799,0.4133,0.4068,0.3955,0.3694,0.4133,0.4068
2,Lgbm,68,undersampling,0.3637,0.4052,0.3702,0.4091,0.3632,0.4028,0.3702,0.4091
2,KNN,68,base,0.4675,0.4141,0.4933,0.4525,0.4711,0.4164,0.4933,0.4525
2,KNN,68,undersampling,0.3778,0.4758,0.3789,0.4773,0.3917,0.4772,0.3789,0.4773
3,AdaBoost,4,base,0.4476,0.4867,0.5133,0.5285,0.4772,0.5072,0.5133,0.5285
3,AdaBoost,4,undersampling,0.4288,0.3853,0.4381,0.3981,0.4299,0.3827,0.4381,0.3981
3,RandomForest,4,base,0.3784,0.3809,0.3943,0.3954,0.3737,0.3716,0.3943,0.3954
3,RandomForest,4,undersampling,0.3845,0.3953,0.3867,0.3981,0.3863,0.3952,0.3867,0.3981
3,SVM,4,base,0.4002,0.456,0.5038,0.5475,0.401,0.4566,0.5038,0.5475
3,SVM,4,undersampling,0.4257,0.4002,0.4485,0.4167,0.4479,0.4058,0.4485,0.4167
3,GradientBoosting,4,base,0.4274,0.4469,0.4467,0.4677,0.4247,0.4402,0.4467,0.4677
3,GradientBoosting,4,undersampling,0.4066,0.3483,0.4074,0.3519,0.4115,0.3457,0.4074,0.3519
3,LogisticRegression,4,base,0.3705,0.4548,0.501,0.5627,0.3818,0.5152,0.501,0.5627
3,LogisticRegression,4,undersampling,0.386,0.4183,0.4177,0.4352,0.3961,0.4343,0.4177,0.4352
3,XGBoost,4,base,0.3948,0.4086,0.4038,0.4221,0.3932,0.3999,0.4038,0.4221
3,XGBoost,4,undersampling,0.382,0.4121,0.3827,0.4167,0.3846,0.4106,0.3827,0.4167
3,Lgbm,4,base,0.3731,0.4084,0.3819,0.4183,0.3677,0.401,0.3819,0.4183
3,Lgbm,4,undersampling,0.369,0.3704,0.3703,0.3704,0.371,0.3716,0.3703,0.3704
3,KNN,4,base,0.4423,0.4482,0.4733,0.4791,0.4475,0.4625,0.4733,0.4791
3,KNN,4,undersampling,0.4257,0.3569,0.4299,0.3611,0.4386,0.3666,0.4299,0.3611
4,AdaBoost,90,base,0.4307,0.4765,0.4952,0.5285,0.4579,0.5026,0.4952,0.5285
4,AdaBoost,90,undersampling,0.4273,0.4271,0.4349,0.4314,0.4293,0.4286,0.4349,0.4314
4,RandomForest,90,base,0.3763,0.3992,0.3933,0.403,0.369,0.3958,0.3933,0.403
4,RandomForest,90,undersampling,0.3967,0.3554,0.3985,0.3725,0.401,0.354,0.3985,0.3725
4,SVM,90,base,0.3932,0.4609,0.5086,0.5475,0.4146,0.4576,0.5086,0.5475
4,SVM,90,undersampling,0.4266,0.4455,0.441,0.4608,0.4407,0.453,0.441,0.4608
4,GradientBoosting,90,base,0.4247,0.458,0.4476,0.4753,0.4215,0.4487,0.4476,0.4753
4,GradientBoosting,90,undersampling,0.3715,0.2926,0.3739,0.2941,0.3724,0.2933,0.3739,0.2941
4,LogisticRegression,90,base,0.3898,0.4479,0.5076,0.5551,0.412,0.4683,0.5076,0.5551
4,LogisticRegression,90,undersampling,0.4354,0.4731,0.4511,0.4902,0.4509,0.5119,0.4511,0.4902
4,XGBoost,90,base,0.387,0.4146,0.3971,0.4259,0.3815,0.4062,0.3971,0.4259
4,XGBoost,90,undersampling,0.3741,0.3399,0.3781,0.3431,0.3755,0.3385,0.3781,0.3431
4,Lgbm,90,base,0.3786,0.4208,0.3905,0.4259,0.372,0.4165,0.3905,0.4259
4,Lgbm,90,undersampling,0.3681,0.3293,0.3699,0.3333,0.3695,0.3282,0.3699,0.3333
4,KNN,90,base,0.4195,0.4435,0.4467,0.4715,0.4192,0.4392,0.4467,0.4715
4,KNN,90,undersampling,0.3866,0.3406,0.3922,0.3529,0.4185,0.3849,0.3922,0.3529
5,AdaBoost,82,base,0.4592,0.4286,0.52,0.4753,0.5063,0.4548,0.52,0.4753
5,AdaBoost,82,undersampling,0.4622,0.4178,0.4667,0.4211,0.466,0.4197,0.4667,0.4211
5,RandomForest,82,base,0.4199,0.3423,0.4362,0.365,0.4121,0.3341,0.4362,0.365
5,RandomForest,82,undersampling,0.4288,0.3478,0.4312,0.3509,0.4361,0.3499,0.4312,0.3509
5,SVM,82,base,0.3821,0.3912,0.5219,0.5019,0.4264,0.4793,0.5219,0.5019
5,SVM,82,undersampling,0.486,0.4221,0.4958,0.4298,0.4912,0.431,0.4958,0.4298
5,GradientBoosting,82,base,0.4641,0.3843,0.4848,0.4106,0.4589,0.3806,0.4848,0.4106
5,GradientBoosting,82,undersampling,0.4603,0.3143,0.4625,0.3158,0.4671,0.3185,0.4625,0.3158
5,LogisticRegression,82,base,0.3957,0.3404,0.5276,0.4791,0.4422,0.4173,0.5276,0.4791
5,LogisticRegression,82,undersampling,0.4536,0.3727,0.4688,0.3947,0.4619,0.3856,0.4688,0.3947
5,XGBoost,82,base,0.4275,0.3421,0.44,0.3536,0.4207,0.3365,0.44,0.3536
5,XGBoost,82,undersampling,0.4291,0.3314,0.4292,0.3333,0.4353,0.3308,0.4292,0.3333
5,Lgbm,82,base,0.4191,0.336,0.4305,0.346,0.4127,0.3304,0.4305,0.346
5,Lgbm,82,undersampling,0.4231,0.3244,0.425,0.3246,0.4306,0.3269,0.425,0.3246
5,KNN,82,base,0.4629,0.385,0.4981,0.4259,0.4643,0.3894,0.4981,0.4259
5,KNN,82,undersampling,0.4173,0.4085,0.4208,0.4123,0.4328,0.4106,0.4208,0.4123
6,AdaBoost,10,base,0.4313,0.3796,0.5343,0.5019,0.436,0.5735,0.5343,0.5019
6,AdaBoost,10,undersampling,0.4133,0.4317,0.4285,0.4318,0.4286,0.4325,0.4285,0.4318
6,RandomForest,10,base,0.3955,0.3602,0.4162,0.3878,0.386,0.3525,0.4162,0.3878
6,RandomForest,10,undersampling,0.4105,0.348,0.4155,0.3485,0.4131,0.3496,0.4155,0.3485
6,SVM,10,base,0.3672,0.3643,0.5133,0.5057,0.3195,0.538,0.5133,0.5057
6,SVM,10,undersampling,0.4192,0.4498,0.4436,0.4545,0.4311,0.4557,0.4436,0.4545
6,GradientBoosting,10,base,0.42,0.403,0.4438,0.4411,0.4134,0.4122,0.4438,0.4411
6,GradientBoosting,10,undersampling,0.381,0.3751,0.3873,0.3788,0.3792,0.3779,0.3873,0.3788
6,LogisticRegression,10,base,0.3731,0.3374,0.5162,0.4867,0.434,0.4097,0.5162,0.4867
