iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,27,base,0.5731,0.5779,0.6,0.5932,0.6038,0.576,0.6,0.5932
0,AdaBoost,27,undersampling,0.5868,0.6227,0.5906,0.6296,0.5873,0.6321,0.5906,0.6296
0,RandomForest,27,base,0.4009,0.4264,0.4105,0.4373,0.3971,0.4198,0.4105,0.4373
0,RandomForest,27,undersampling,0.456,0.4899,0.4609,0.4907,0.4546,0.4894,0.4609,0.4907
0,SVM,27,base,0.4642,0.4924,0.5314,0.5817,0.5293,0.6268,0.5314,0.5817
0,SVM,27,undersampling,0.4727,0.4869,0.4816,0.4907,0.4776,0.5101,0.4816,0.4907
0,GradientBoosting,27,base,0.5182,0.5228,0.5286,0.5323,0.5146,0.5178,0.5286,0.5323
0,GradientBoosting,27,undersampling,0.5247,0.5657,0.5308,0.5648,0.5244,0.5676,0.5308,0.5648
0,LogisticRegression,27,base,0.4987,0.5241,0.5238,0.5589,0.5036,0.5375,0.5238,0.5589
0,LogisticRegression,27,undersampling,0.4611,0.4292,0.4692,0.4352,0.4596,0.4264,0.4692,0.4352
0,XGBoost,27,base,0.4622,0.489,0.4695,0.4905,0.4616,0.488,0.4695,0.4905
0,XGBoost,27,undersampling,0.5158,0.5293,0.5184,0.5278,0.5154,0.5319,0.5184,0.5278
0,Lgbm,27,base,0.4594,0.4918,0.4657,0.4943,0.4581,0.4896,0.4657,0.4943
0,Lgbm,27,undersampling,0.5076,0.5204,0.5101,0.5185,0.5083,0.5234,0.5101,0.5185
0,KNN,27,base,0.4405,0.4533,0.48,0.5019,0.4498,0.4565,0.48,0.5019
0,KNN,27,undersampling,0.4292,0.452,0.4445,0.4537,0.4461,0.4941,0.4445,0.4537
1,AdaBoost,11,base,0.567,0.608,0.6067,0.6198,0.6015,0.6264,0.6067,0.6198
1,AdaBoost,11,undersampling,0.6092,0.6293,0.6112,0.6341,0.6156,0.6276,0.6112,0.6341
1,RandomForest,11,base,0.4034,0.4446,0.4162,0.4563,0.3961,0.4462,0.4162,0.4563
1,RandomForest,11,undersampling,0.4919,0.4411,0.4966,0.4472,0.4969,0.4394,0.4966,0.4472
1,SVM,11,base,0.4316,0.4486,0.5219,0.5399,0.5138,0.6132,0.5219,0.5399
1,SVM,11,undersampling,0.5093,0.4733,0.5159,0.4797,0.5225,0.4928,0.5159,0.4797
1,GradientBoosting,11,base,0.5079,0.5079,0.5219,0.5285,0.5032,0.5154,0.5219,0.5285
1,GradientBoosting,11,undersampling,0.5927,0.5328,0.5964,0.5366,0.5958,0.5319,0.5964,0.5366
1,LogisticRegression,11,base,0.4868,0.5007,0.521,0.5323,0.4958,0.5247,0.521,0.5323
1,LogisticRegression,11,undersampling,0.4832,0.5099,0.4884,0.5122,0.488,0.5161,0.4884,0.5122
1,XGBoost,11,base,0.4558,0.5094,0.4619,0.5209,0.4524,0.5136,0.4619,0.5209
1,XGBoost,11,undersampling,0.545,0.5187,0.5455,0.5203,0.5489,0.5181,0.5455,0.5203
1,Lgbm,11,base,0.4628,0.4767,0.4676,0.4867,0.461,0.4854,0.4676,0.4867
1,Lgbm,11,undersampling,0.5478,0.5034,0.5497,0.5041,0.5521,0.5034,0.5497,0.5041
1,KNN,11,base,0.4172,0.4593,0.4667,0.5171,0.4339,0.4956,0.4667,0.5171
1,KNN,11,undersampling,0.3979,0.3668,0.4077,0.3821,0.4318,0.393,0.4077,0.3821
2,AdaBoost,39,base,0.5721,0.5662,0.6086,0.6198,0.6293,0.6597,0.6086,0.6198
2,AdaBoost,39,undersampling,0.5823,0.5616,0.5875,0.5614,0.5879,0.5675,0.5875,0.5614
2,RandomForest,39,base,0.4217,0.4284,0.4314,0.4373,0.4213,0.4234,0.4314,0.4373
2,RandomForest,39,undersampling,0.4748,0.4619,0.475,0.4649,0.4799,0.461,0.475,0.4649
2,SVM,39,base,0.3894,0.4488,0.5152,0.5551,0.5134,0.6503,0.5152,0.5551
2,SVM,39,undersampling,0.4424,0.5374,0.4479,0.5439,0.4477,0.5474,0.4479,0.5439
2,GradientBoosting,39,base,0.519,0.5007,0.5286,0.5171,0.5169,0.4972,0.5286,0.5171
2,GradientBoosting,39,undersampling,0.5416,0.5691,0.5438,0.5789,0.5438,0.5728,0.5438,0.5789
2,LogisticRegression,39,base,0.4768,0.5446,0.5114,0.5703,0.4895,0.5524,0.5114,0.5703
2,LogisticRegression,39,undersampling,0.4652,0.5061,0.4688,0.5088,0.4697,0.505,0.4688,0.5088
2,XGBoost,39,base,0.4763,0.4639,0.4819,0.4715,0.475,0.4582,0.4819,0.4715
2,XGBoost,39,undersampling,0.54,0.5533,0.5438,0.5526,0.5437,0.5605,0.5438,0.5526
2,Lgbm,39,base,0.4711,0.4584,0.4752,0.4639,0.4705,0.4555,0.4752,0.4639
2,Lgbm,39,undersampling,0.5421,0.5201,0.5458,0.5175,0.5467,0.5278,0.5458,0.5175
2,KNN,39,base,0.4411,0.4492,0.4924,0.4943,0.4676,0.4541,0.4924,0.4943
2,KNN,39,undersampling,0.4315,0.4669,0.4354,0.4737,0.4591,0.4931,0.4354,0.4737
3,AdaBoost,91,base,0.5946,0.5674,0.6219,0.5856,0.6307,0.5677,0.6219,0.5856
3,AdaBoost,91,undersampling,0.5811,0.5439,0.5823,0.5417,0.5906,0.5509,0.5823,0.5417
3,RandomForest,91,base,0.4123,0.429,0.42,0.4297,0.4088,0.4283,0.42,0.4297
3,RandomForest,91,undersampling,0.4537,0.4013,0.4558,0.4083,0.4559,0.397,0.4558,0.4083
3,SVM,91,base,0.451,0.4791,0.5229,0.5513,0.5566,0.5787,0.5229,0.5513
3,SVM,91,undersampling,0.4803,0.405,0.4809,0.4083,0.4863,0.4034,0.4809,0.4083
3,GradientBoosting,91,base,0.5115,0.5086,0.5219,0.5171,0.5096,0.5025,0.5219,0.5171
3,GradientBoosting,91,undersampling,0.5468,0.5228,0.5508,0.5333,0.5497,0.5194,0.5508,0.5333
3,LogisticRegression,91,base,0.4723,0.537,0.5057,0.5665,0.484,0.5372,0.5057,0.5665
3,LogisticRegression,91,undersampling,0.4514,0.4223,0.4578,0.4333,0.4541,0.4227,0.4578,0.4333
3,XGBoost,91,base,0.4483,0.4587,0.4533,0.4525,0.4469,0.4664,0.4533,0.4525
3,XGBoost,91,undersampling,0.527,0.5202,0.5297,0.525,0.5299,0.5176,0.5297,0.525
3,Lgbm,91,base,0.4523,0.4852,0.4552,0.4829,0.4533,0.4882,0.4552,0.4829
3,Lgbm,91,undersampling,0.5266,0.5372,0.5296,0.5417,0.531,0.5353,0.5296,0.5417
3,KNN,91,base,0.4366,0.4715,0.4743,0.5133,0.4611,0.4866,0.4743,0.5133
3,KNN,91,undersampling,0.413,0.326,0.4155,0.3417,0.4396,0.3526,0.4155,0.3417
4,AdaBoost,50,base,0.5749,0.6088,0.599,0.6312,0.5914,0.6417,0.599,0.6312
4,AdaBoost,50,undersampling,0.5498,0.5718,0.5578,0.5794,0.5682,0.5845,0.5578,0.5794
4,RandomForest,50,base,0.412,0.437,0.4295,0.4601,0.4042,0.4372,0.4295,0.4601
4,RandomForest,50,undersampling,0.4319,0.5067,0.4361,0.5079,0.4386,0.5073,0.4361,0.5079
4,SVM,50,base,0.4307,0.4399,0.5314,0.5323,0.5687,0.6422,0.5314,0.5323
