iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,52,base,0.4468,0.4344,0.5267,0.5057,0.4221,0.4111,0.5267,0.5057
0,AdaBoost,52,undersampling,0.393,0.3325,0.4071,0.3636,0.4037,0.3374,0.4071,0.3636
0,RandomForest,52,base,0.478,0.3852,0.4962,0.4373,0.4707,0.3838,0.4962,0.4373
0,RandomForest,52,undersampling,0.4524,0.4212,0.4567,0.4242,0.4572,0.4199,0.4567,0.4242
0,SVM,52,base,0.475,0.4227,0.519,0.4829,0.4973,0.4502,0.519,0.4829
0,SVM,52,undersampling,0.4253,0.3659,0.4459,0.3939,0.4559,0.3648,0.4459,0.3939
0,GradientBoosting,52,base,0.4706,0.4099,0.4981,0.4563,0.4833,0.4181,0.4981,0.4563
0,GradientBoosting,52,undersampling,0.437,0.3994,0.4436,0.4091,0.4445,0.3996,0.4436,0.4091
0,LogisticRegression,52,base,0.4267,0.3805,0.5124,0.4753,0.406,0.4447,0.5124,0.4753
0,LogisticRegression,52,undersampling,0.366,0.3746,0.3723,0.3788,0.3711,0.3745,0.3723,0.3788
0,XGBoost,52,base,0.4609,0.3746,0.4876,0.4259,0.4578,0.3633,0.4876,0.4259
0,XGBoost,52,undersampling,0.4547,0.4394,0.4589,0.4394,0.4604,0.4411,0.4589,0.4394
0,Lgbm,52,base,0.4728,0.3766,0.5076,0.4259,0.4686,0.3679,0.5076,0.4259
0,Lgbm,52,undersampling,0.4605,0.4397,0.4675,0.4394,0.4663,0.4409,0.4675,0.4394
0,KNN,52,base,0.4742,0.4479,0.4857,0.4639,0.4706,0.4427,0.4857,0.4639
0,KNN,52,undersampling,0.3215,0.2211,0.3723,0.3182,0.4517,0.3244,0.3723,0.3182
1,AdaBoost,69,base,0.4386,0.486,0.5124,0.5475,0.4118,0.4527,0.5124,0.5475
1,AdaBoost,69,undersampling,0.3628,0.4065,0.3812,0.4386,0.3645,0.4228,0.3812,0.4386
1,RandomForest,69,base,0.4602,0.4927,0.4733,0.4905,0.4577,0.5017,0.4733,0.4905
1,RandomForest,69,undersampling,0.383,0.3946,0.3938,0.4035,0.3806,0.3886,0.3938,0.4035
1,SVM,69,base,0.4526,0.4973,0.4867,0.5209,0.4617,0.5082,0.4867,0.5209
1,SVM,69,undersampling,0.3881,0.4347,0.4083,0.4737,0.3946,0.4492,0.4083,0.4737
1,GradientBoosting,69,base,0.457,0.4944,0.4848,0.5133,0.4498,0.5089,0.4848,0.5133
1,GradientBoosting,69,undersampling,0.3862,0.4204,0.4,0.4298,0.389,0.4296,0.4,0.4298
1,LogisticRegression,69,base,0.4187,0.4727,0.4981,0.5475,0.3949,0.4437,0.4981,0.5475
1,LogisticRegression,69,undersampling,0.3569,0.3565,0.3812,0.3684,0.3567,0.3589,0.3812,0.3684
1,XGBoost,69,base,0.448,0.4821,0.4619,0.4981,0.4464,0.494,0.4619,0.4981
1,XGBoost,69,undersampling,0.3823,0.4147,0.3938,0.4298,0.3795,0.4076,0.3938,0.4298
1,Lgbm,69,base,0.4475,0.5013,0.4657,0.5209,0.445,0.5017,0.4657,0.5209
1,Lgbm,69,undersampling,0.3791,0.4121,0.3958,0.4298,0.3762,0.3999,0.3958,0.4298
1,KNN,69,base,0.4208,0.4565,0.4552,0.4867,0.4155,0.455,0.4552,0.4867
1,KNN,69,undersampling,0.3207,0.2855,0.3667,0.3421,0.4328,0.3965,0.3667,0.3421
2,AdaBoost,58,base,0.4603,0.454,0.519,0.5133,0.4264,0.4122,0.519,0.5133
2,AdaBoost,58,undersampling,0.3875,0.4665,0.4032,0.4667,0.3989,0.4665,0.4032,0.4667
2,RandomForest,58,base,0.4396,0.4693,0.4676,0.4943,0.4375,0.4594,0.4676,0.4943
2,RandomForest,58,undersampling,0.4474,0.4823,0.4597,0.4815,0.4517,0.4899,0.4597,0.4815
2,SVM,58,base,0.4746,0.4649,0.5114,0.5057,0.4908,0.4816,0.5114,0.5057
2,SVM,58,undersampling,0.4144,0.4713,0.4422,0.4889,0.441,0.4902,0.4422,0.4889
2,GradientBoosting,58,base,0.462,0.4641,0.4886,0.4981,0.4661,0.4594,0.4886,0.4981
2,GradientBoosting,58,undersampling,0.4799,0.5165,0.4858,0.5185,0.4827,0.5162,0.4858,0.5185
2,LogisticRegression,58,base,0.4456,0.4315,0.5019,0.4981,0.4198,0.3916,0.5019,0.4981
2,LogisticRegression,58,undersampling,0.3805,0.3394,0.4031,0.363,0.4016,0.3482,0.4031,0.363
2,XGBoost,58,base,0.4432,0.48,0.4648,0.5095,0.4436,0.4689,0.4648,0.5095
2,XGBoost,58,undersampling,0.4684,0.4803,0.477,0.4815,0.4741,0.4882,0.477,0.4815
2,Lgbm,58,base,0.4563,0.475,0.481,0.5133,0.4568,0.4649,0.481,0.5133
2,Lgbm,58,undersampling,0.4532,0.487,0.4661,0.4889,0.458,0.4918,0.4661,0.4889
2,KNN,58,base,0.4238,0.4479,0.481,0.5057,0.4187,0.4578,0.481,0.5057
2,KNN,58,undersampling,0.2838,0.2659,0.329,0.3481,0.3916,0.38,0.329,0.3481
3,AdaBoost,54,base,0.4619,0.4013,0.5276,0.4981,0.4329,0.3762,0.5276,0.4981
3,AdaBoost,54,undersampling,0.4261,0.4553,0.4306,0.4681,0.4276,0.456,0.4306,0.4681
3,RandomForest,54,base,0.4423,0.4636,0.46,0.4677,0.4391,0.4648,0.46,0.4677
3,RandomForest,54,undersampling,0.4479,0.404,0.4592,0.4255,0.457,0.4119,0.4592,0.4255
3,SVM,54,base,0.4607,0.451,0.5086,0.4829,0.4671,0.4836,0.5086,0.4829
3,SVM,54,undersampling,0.3986,0.4209,0.4172,0.461,0.3966,0.4636,0.4172,0.461
3,GradientBoosting,54,base,0.4482,0.4689,0.4857,0.5019,0.4425,0.4849,0.4857,0.5019
3,GradientBoosting,54,undersampling,0.4533,0.4554,0.4635,0.4681,0.4637,0.4617,0.4635,0.4681
3,LogisticRegression,54,base,0.4236,0.4122,0.499,0.4829,0.3991,0.3707,0.499,0.4829
3,LogisticRegression,54,undersampling,0.3998,0.4336,0.4173,0.4468,0.4193,0.4474,0.4173,0.4468
3,XGBoost,54,base,0.4417,0.468,0.4562,0.4867,0.4356,0.4785,0.4562,0.4867
3,XGBoost,54,undersampling,0.4622,0.4062,0.4746,0.4255,0.47,0.4113,0.4746,0.4255
3,Lgbm,54,base,0.4564,0.4796,0.4733,0.5019,0.4543,0.4871,0.4733,0.5019
3,Lgbm,54,undersampling,0.4643,0.4014,0.4789,0.4184,0.471,0.4102,0.4789,0.4184
3,KNN,54,base,0.4231,0.4259,0.4886,0.4829,0.3976,0.475,0.4886,0.4829
3,KNN,54,undersampling,0.3403,0.3672,0.3841,0.4113,0.4064,0.4463,0.3841,0.4113
4,AdaBoost,18,base,0.4689,0.4011,0.5333,0.4829,0.4358,0.389,0.5333,0.4829
4,AdaBoost,18,undersampling,0.3333,0.4621,0.3502,0.4667,0.334,0.4604,0.3502,0.4667
4,RandomForest,18,base,0.4552,0.4241,0.4657,0.4563,0.4523,0.4298,0.4657,0.4563
4,RandomForest,18,undersampling,0.3866,0.4003,0.4029,0.4,0.3839,0.4006,0.4029,0.4
4,SVM,18,base,0.4766,0.4553,0.521,0.4943,0.5011,0.4795,0.521,0.4943
4,SVM,18,undersampling,0.4017,0.4187,0.4282,0.4583,0.3981,0.4385,0.4282,0.4583
4,GradientBoosting,18,base,0.4584,0.4616,0.4981,0.4981,0.4602,0.474,0.4981,0.4981
4,GradientBoosting,18,undersampling,0.3898,0.4202,0.405,0.425,0.3873,0.4206,0.405,0.425
4,LogisticRegression,18,base,0.4258,0.3844,0.5029,0.4715,0.3947,0.3613,0.5029,0.4715
4,LogisticRegression,18,undersampling,0.3445,0.3611,0.386,0.4167,0.3478,0.3533,0.386,0.4167
4,XGBoost,18,base,0.4602,0.4172,0.4733,0.4525,0.4552,0.4329,0.4733,0.4525
4,XGBoost,18,undersampling,0.3739,0.3861,0.3903,0.3833,0.3713,0.3915,0.3903,0.3833
4,Lgbm,18,base,0.4542,0.4509,0.4771,0.4753,0.453,0.4529,0.4771,0.4753
4,Lgbm,18,undersampling,0.3965,0.4092,0.4198,0.4083,0.3895,0.4107,0.4198,0.4083
4,KNN,18,base,0.4213,0.3895,0.4857,0.4715,0.4474,0.4309,0.4857,0.4715
4,KNN,18,undersampling,0.2756,0.3882,0.3353,0.4333,0.3409,0.4886,0.3353,0.4333
5,AdaBoost,25,base,0.4545,0.4263,0.5286,0.4905,0.4285,0.399,0.5286,0.4905
5,AdaBoost,25,undersampling,0.3952,0.3019,0.4132,0.3077,0.3911,0.2988,0.4132,0.3077
5,RandomForest,25,base,0.4638,0.4459,0.4829,0.4601,0.4626,0.4435,0.4829,0.4601
5,RandomForest,25,undersampling,0.471,0.3393,0.4781,0.3419,0.4728,0.3389,0.4781,0.3419
5,SVM,25,base,0.4644,0.4632,0.5124,0.4943,0.4767,0.4931,0.5124,0.4943
5,SVM,25,undersampling,0.4474,0.287,0.4906,0.3419,0.4917,0.3074,0.4906,0.3419
5,GradientBoosting,25,base,0.462,0.458,0.4886,0.4867,0.4593,0.519,0.4886,0.4867
5,GradientBoosting,25,undersampling,0.4831,0.3722,0.4948,0.3761,0.4888,0.3728,0.4948,0.3761
