iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,89,base,0.5579,0.5123,0.6076,0.5703,0.5232,0.4661,0.6076,0.5703
0,AdaBoost,89,undersampling,0.5723,0.5314,0.6009,0.5652,0.6001,0.5819,0.6009,0.5652
0,RandomForest,89,base,0.4196,0.415,0.4333,0.4335,0.4121,0.4113,0.4333,0.4335
0,RandomForest,89,undersampling,0.4368,0.419,0.443,0.4203,0.4355,0.4185,0.443,0.4203
0,SVM,89,base,0.4671,0.4547,0.5448,0.5399,0.5055,0.6002,0.5448,0.5399
0,SVM,89,undersampling,0.4304,0.5013,0.432,0.5072,0.4477,0.5117,0.432,0.5072
0,GradientBoosting,89,base,0.5357,0.513,0.5457,0.5285,0.5367,0.5114,0.5457,0.5285
0,GradientBoosting,89,undersampling,0.5416,0.5282,0.5461,0.529,0.5428,0.5278,0.5461,0.529
0,LogisticRegression,89,base,0.491,0.5078,0.5162,0.5399,0.492,0.5281,0.5162,0.5399
0,LogisticRegression,89,undersampling,0.4875,0.4796,0.4889,0.4783,0.4897,0.4814,0.4889,0.4783
0,XGBoost,89,base,0.4855,0.4608,0.4933,0.4715,0.4833,0.4556,0.4933,0.4715
0,XGBoost,89,undersampling,0.5306,0.5013,0.533,0.5,0.5314,0.5028,0.533,0.5
0,Lgbm,89,base,0.4877,0.4748,0.4943,0.4905,0.4867,0.4685,0.4943,0.4905
0,Lgbm,89,undersampling,0.4912,0.4733,0.4956,0.471,0.4904,0.4786,0.4956,0.471
0,KNN,89,base,0.4702,0.4233,0.4933,0.4487,0.4728,0.4291,0.4933,0.4487
0,KNN,89,undersampling,0.4156,0.4399,0.4167,0.442,0.4208,0.4474,0.4167,0.442
1,AdaBoost,1,base,0.5434,0.5967,0.5962,0.6426,0.5036,0.5578,0.5962,0.6426
1,AdaBoost,1,undersampling,0.5291,0.5707,0.5729,0.5789,0.529,0.603,0.5729,0.5789
1,RandomForest,1,base,0.3831,0.4458,0.3943,0.4335,0.378,0.4635,0.3943,0.4335
1,RandomForest,1,undersampling,0.4506,0.4291,0.4604,0.4386,0.448,0.4311,0.4604,0.4386
1,SVM,1,base,0.498,0.5509,0.5429,0.5779,0.5611,0.5421,0.5429,0.5779
1,SVM,1,undersampling,0.4855,0.4608,0.4875,0.4561,0.496,0.4993,0.4875,0.4561
1,GradientBoosting,1,base,0.5187,0.5999,0.5267,0.5932,0.5172,0.6087,0.5267,0.5932
1,GradientBoosting,1,undersampling,0.5326,0.601,0.5396,0.614,0.5337,0.6102,0.5396,0.614
1,LogisticRegression,1,base,0.5003,0.5036,0.5171,0.5209,0.4994,0.5142,0.5171,0.5209
1,LogisticRegression,1,undersampling,0.4173,0.3831,0.4229,0.386,0.4166,0.3835,0.4229,0.386
1,XGBoost,1,base,0.4413,0.5153,0.4448,0.5019,0.4406,0.5354,0.4448,0.5019
1,XGBoost,1,undersampling,0.5167,0.5319,0.5208,0.5351,0.5181,0.5336,0.5208,0.5351
