iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,AdaBoost,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,AdaBoost,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,RandomForest,5,base,0.5158,0.5319,0.5286,0.5361,0.517,0.5405,0.5286,0.5361
0,RandomForest,5,undersampling,0.6073,0.6279,0.6101,0.6239,0.6113,0.6353,0.6101,0.6239
0,RandomForest,5,oversampling,0.7105,0.5936,0.7143,0.5862,0.7226,0.6194,0.7143,0.5862
0,SVM,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,SVM,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,SVM,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,LogisticRegression,5,base,0.9159,0.8805,0.9162,0.8783,0.9186,0.8886,0.9162,0.8783
0,LogisticRegression,5,undersampling,0.8997,0.8909,0.8994,0.8889,0.9025,0.9167,0.8994,0.8889
0,LogisticRegression,5,oversampling,0.9315,0.9016,0.9312,0.9011,0.9328,0.9045,0.9312,0.9011
0,XGBoost,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,XGBoost,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,XGBoost,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
