iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,AdaBoost,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,AdaBoost,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,RandomForest,5,base,0.492,0.5587,0.5105,0.5665,0.4882,0.5618,0.5105,0.5665
0,RandomForest,5,undersampling,0.5616,0.5505,0.5617,0.547,0.5675,0.5584,0.5617,0.547
0,RandomForest,5,oversampling,0.7118,0.5745,0.7156,0.5678,0.7213,0.5988,0.7156,0.5678
0,SVM,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,SVM,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,SVM,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,LogisticRegression,5,base,0.9402,0.9511,0.94,0.9506,0.9416,0.9527,0.94,0.9506
0,LogisticRegression,5,undersampling,0.9496,0.9399,0.9498,0.9402,0.9521,0.9462,0.9498,0.9402
0,LogisticRegression,5,oversampling,0.9718,0.9608,0.9719,0.9609,0.9724,0.9624,0.9719,0.9609
0,XGBoost,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,XGBoost,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,XGBoost,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
