iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,AdaBoost,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,AdaBoost,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,RandomForest,5,base,0.4861,0.5287,0.5038,0.5323,0.4829,0.5367,0.5038,0.5323
0,RandomForest,5,undersampling,0.5329,0.5858,0.5324,0.5812,0.5401,0.5973,0.5324,0.5812
0,RandomForest,5,oversampling,0.6816,0.5462,0.6862,0.5402,0.6936,0.5849,0.6862,0.5402
0,SVM,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,SVM,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,SVM,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,LogisticRegression,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,LogisticRegression,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,LogisticRegression,5,oversampling,0.9994,1.0,0.9994,1.0,0.9994,1.0,0.9994,1.0
0,XGBoost,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,XGBoost,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,XGBoost,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
