iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,AdaBoost,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,AdaBoost,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,RandomForest,5,base,0.6141,0.6349,0.6324,0.6464,0.6172,0.6433,0.6324,0.6464
0,RandomForest,5,undersampling,0.6395,0.6451,0.6393,0.641,0.6473,0.6527,0.6393,0.641
0,RandomForest,5,oversampling,0.7639,0.7568,0.7662,0.7517,0.7725,0.7718,0.7662,0.7517
0,SVM,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,SVM,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,SVM,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,GradientBoosting,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,LogisticRegression,5,base,0.9611,0.9808,0.961,0.981,0.9634,0.9812,0.961,0.981
0,LogisticRegression,5,undersampling,0.9623,0.966,0.9622,0.9658,0.964,0.9671,0.9622,0.9658
0,LogisticRegression,5,oversampling,0.9787,0.9816,0.9787,0.9816,0.9791,0.9817,0.9787,0.9816
0,XGBoost,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,XGBoost,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,XGBoost,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,Lgbm,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,undersampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,KNN,5,oversampling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
