iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.4295,0.4346,0.5067,0.5019,0.4152,0.3983,0.5067,0.5019
0,AdaBoost,5,undersampling,0.3716,0.4176,0.3754,0.4188,0.3768,0.4205,0.3754,0.4188
0,AdaBoost,5,oversampling,0.4352,0.4092,0.4434,0.4322,0.4396,0.4336,0.4434,0.4322
0,RandomForest,5,base,0.343,0.3816,0.361,0.384,0.332,0.3802,0.361,0.384
0,RandomForest,5,undersampling,0.3604,0.4159,0.367,0.4188,0.3633,0.4164,0.367,0.4188
0,RandomForest,5,oversampling,0.5263,0.3692,0.5354,0.3655,0.5255,0.3744,0.5354,0.3655
0,SVM,5,base,0.4025,0.4398,0.5114,0.5361,0.4274,0.4177,0.5114,0.5361
0,SVM,5,undersampling,0.4288,0.4138,0.432,0.4188,0.4357,0.4167,0.432,0.4188
0,SVM,5,oversampling,0.4725,0.4302,0.4772,0.4345,0.474,0.4304,0.4772,0.4345
0,GradientBoosting,5,base,0.3569,0.4086,0.379,0.4221,0.3455,0.3994,0.379,0.4221
0,GradientBoosting,5,undersampling,0.3288,0.4104,0.3333,0.4103,0.3302,0.4109,0.3333,0.4103
0,GradientBoosting,5,oversampling,0.5078,0.4154,0.5185,0.4207,0.5065,0.4113,0.5185,0.4207
0,LogisticRegression,5,base,0.4797,0.4754,0.5229,0.5133,0.4932,0.4748,0.5229,0.5133
0,LogisticRegression,5,undersampling,0.4387,0.4098,0.4425,0.4103,0.4458,0.4094,0.4425,0.4103
0,LogisticRegression,5,oversampling,0.445,0.4201,0.4528,0.4322,0.4475,0.4249,0.4528,0.4322
0,XGBoost,5,base,0.3541,0.361,0.3648,0.3574,0.3475,0.3666,0.3648,0.3574
0,XGBoost,5,undersampling,0.3775,0.406,0.3836,0.4103,0.3802,0.411,0.3836,0.4103
0,XGBoost,5,oversampling,0.5157,0.3608,0.5241,0.354,0.5184,0.3724,0.5241,0.354
0,Lgbm,5,base,0.344,0.3765,0.3533,0.3688,0.3372,0.3861,0.3533,0.3688
0,Lgbm,5,undersampling,0.3537,0.4162,0.3584,0.4188,0.3595,0.4191,0.3584,0.4188
0,Lgbm,5,oversampling,0.5206,0.4016,0.5298,0.3954,0.5254,0.4136,0.5298,0.3954
0,KNN,5,base,0.4474,0.484,0.4867,0.5133,0.4569,0.4877,0.4867,0.5133
0,KNN,5,undersampling,0.4425,0.4339,0.4426,0.4274,0.4525,0.4484,0.4426,0.4274
0,KNN,5,oversampling,0.5326,0.3568,0.546,0.3563,0.5358,0.3578,0.546,0.3563
