iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.3695,0.4584,0.4971,0.5285,0.3081,0.424,0.4971,0.5285
0,AdaBoost,5,undersampling,0.3107,0.246,0.3501,0.3077,0.3061,0.205,0.3501,0.3077
0,AdaBoost,5,oversampling,0.3182,0.3449,0.3783,0.3609,0.3256,0.3472,0.3783,0.3609
0,RandomForest,5,base,0.3562,0.4054,0.5019,0.5399,0.3797,0.393,0.5019,0.5399
0,RandomForest,5,undersampling,0.3073,0.3765,0.3417,0.3761,0.3811,0.4179,0.3417,0.3761
0,RandomForest,5,oversampling,0.3647,0.3912,0.3827,0.3954,0.4152,0.4218,0.3827,0.3954
0,SVM,5,base,0.3418,0.3919,0.5076,0.5513,0.2577,0.304,0.5076,0.5513
0,SVM,5,undersampling,0.296,0.3544,0.3354,0.359,0.3611,0.3622,0.3354,0.359
0,SVM,5,oversampling,0.3444,0.3873,0.3708,0.3908,0.3793,0.4113,0.3708,0.3908
0,GradientBoosting,5,base,0.3488,0.4087,0.5,0.5475,0.3398,0.4324,0.5,0.5475
0,GradientBoosting,5,undersampling,0.336,0.3626,0.3585,0.3675,0.4094,0.3692,0.3585,0.3675
0,GradientBoosting,5,oversampling,0.3577,0.3943,0.379,0.3977,0.4142,0.4263,0.379,0.3977
0,LogisticRegression,5,base,0.3488,0.4087,0.5,0.5475,0.3398,0.4324,0.5,0.5475
0,LogisticRegression,5,undersampling,0.3351,0.3544,0.3585,0.359,0.4102,0.3622,0.3585,0.359
0,LogisticRegression,5,oversampling,0.3538,0.3927,0.3765,0.3954,0.397,0.4143,0.3765,0.3954
0,XGBoost,5,base,0.3488,0.4087,0.5,0.5475,0.3398,0.4324,0.5,0.5475
0,XGBoost,5,undersampling,0.3301,0.3471,0.3586,0.3504,0.4092,0.354,0.3586,0.3504
0,XGBoost,5,oversampling,0.3473,0.3979,0.3765,0.4023,0.4098,0.4265,0.3765,0.4023
0,Lgbm,5,base,0.3488,0.4087,0.5,0.5475,0.3398,0.4324,0.5,0.5475
0,Lgbm,5,undersampling,0.2939,0.365,0.3396,0.3675,0.3919,0.4004,0.3396,0.3675
0,Lgbm,5,oversampling,0.3458,0.394,0.3752,0.3977,0.4045,0.4228,0.3752,0.3977
0,KNN,5,base,0.3852,0.4235,0.4933,0.5399,0.3719,0.3957,0.4933,0.5399
0,KNN,5,undersampling,0.1898,0.1667,0.3312,0.3333,0.1937,0.1111,0.3312,0.3333
0,KNN,5,oversampling,0.2018,0.2235,0.3296,0.3448,0.3618,0.4629,0.3296,0.3448
