iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.4413,0.4809,0.4895,0.5361,0.4778,0.4873,0.4895,0.5361
0,AdaBoost,5,undersampling,0.383,0.4389,0.3859,0.4444,0.3835,0.4373,0.3859,0.4444
0,AdaBoost,5,oversampling,0.4834,0.4443,0.4884,0.446,0.4856,0.446,0.4884,0.446
0,RandomForest,5,base,0.3418,0.3699,0.3562,0.3726,0.335,0.3685,0.3562,0.3726
0,RandomForest,5,undersampling,0.3803,0.4072,0.3857,0.4103,0.3827,0.4052,0.3857,0.4103
0,RandomForest,5,oversampling,0.5189,0.3395,0.5273,0.3356,0.5227,0.3506,0.5273,0.3356
0,SVM,5,base,0.4018,0.4439,0.5105,0.5323,0.4111,0.4187,0.5105,0.5323
0,SVM,5,undersampling,0.4107,0.4152,0.4153,0.4188,0.4167,0.4178,0.4153,0.4188
0,SVM,5,oversampling,0.4667,0.4381,0.4697,0.4414,0.4671,0.4374,0.4697,0.4414
0,GradientBoosting,5,base,0.3693,0.4199,0.3857,0.4335,0.3624,0.4105,0.3857,0.4335
0,GradientBoosting,5,undersampling,0.3775,0.4227,0.3817,0.4188,0.3777,0.4316,0.3817,0.4188
0,GradientBoosting,5,oversampling,0.5112,0.393,0.5216,0.3908,0.5107,0.3961,0.5216,0.3908
0,LogisticRegression,5,base,0.4757,0.5296,0.5114,0.5513,0.4843,0.5238,0.5114,0.5513
0,LogisticRegression,5,undersampling,0.4257,0.4952,0.4278,0.4957,0.4273,0.4964,0.4278,0.4957
0,LogisticRegression,5,oversampling,0.4709,0.4667,0.4772,0.4713,0.4738,0.4679,0.4772,0.4713
0,XGBoost,5,base,0.347,0.4111,0.359,0.4144,0.3397,0.408,0.359,0.4144
0,XGBoost,5,undersampling,0.3836,0.431,0.3859,0.4274,0.3852,0.4361,0.3859,0.4274
0,XGBoost,5,oversampling,0.5213,0.3415,0.5285,0.3379,0.5243,0.3507,0.5285,0.3379
0,Lgbm,5,base,0.3534,0.3785,0.3629,0.3764,0.3476,0.3807,0.3629,0.3764
0,Lgbm,5,undersampling,0.3956,0.4038,0.3985,0.4017,0.3966,0.4072,0.3985,0.4017
0,Lgbm,5,oversampling,0.531,0.352,0.5379,0.3471,0.536,0.3634,0.5379,0.3471
0,KNN,5,base,0.4337,0.449,0.4743,0.4829,0.442,0.4392,0.4743,0.4829
0,KNN,5,undersampling,0.4727,0.4541,0.4718,0.453,0.4811,0.4559,0.4718,0.453
0,KNN,5,oversampling,0.5304,0.4094,0.5416,0.4092,0.5317,0.4099,0.5416,0.4092
