iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.4029,0.5162,0.4838,0.5665,0.4583,0.537,0.4838,0.5665
0,AdaBoost,5,undersampling,0.3746,0.4138,0.3794,0.4274,0.3813,0.4274,0.3794,0.4274
0,AdaBoost,5,oversampling,0.4351,0.4288,0.4478,0.4391,0.4378,0.4283,0.4478,0.4391
0,RandomForest,5,base,0.3391,0.393,0.36,0.3916,0.3266,0.3959,0.36,0.3916
0,RandomForest,5,undersampling,0.357,0.405,0.3649,0.4017,0.3608,0.4129,0.3649,0.4017
0,RandomForest,5,oversampling,0.5317,0.3566,0.5385,0.354,0.5391,0.3694,0.5385,0.354
0,SVM,5,base,0.3724,0.41,0.5114,0.5399,0.4695,0.4111,0.5114,0.5399
0,SVM,5,undersampling,0.3854,0.4309,0.386,0.4274,0.39,0.4386,0.386,0.4274
0,SVM,5,oversampling,0.4981,0.4671,0.5041,0.469,0.4997,0.4656,0.5041,0.469
0,GradientBoosting,5,base,0.3445,0.3997,0.3686,0.4106,0.3332,0.3914,0.3686,0.4106
0,GradientBoosting,5,undersampling,0.3424,0.4087,0.3481,0.4103,0.3501,0.4214,0.3481,0.4103
0,GradientBoosting,5,oversampling,0.5144,0.3674,0.5229,0.3678,0.5163,0.3673,0.5229,0.3678
0,LogisticRegression,5,base,0.4406,0.4897,0.4876,0.5513,0.4489,0.516,0.4876,0.5513
0,LogisticRegression,5,undersampling,0.3778,0.443,0.3818,0.4444,0.3829,0.4509,0.3818,0.4444
0,LogisticRegression,5,oversampling,0.4399,0.4303,0.4422,0.4368,0.4405,0.4266,0.4422,0.4368
0,XGBoost,5,base,0.326,0.3917,0.3429,0.3878,0.3151,0.3973,0.3429,0.3878
0,XGBoost,5,undersampling,0.3499,0.3597,0.3564,0.359,0.3528,0.365,0.3564,0.359
0,XGBoost,5,oversampling,0.5273,0.3124,0.5341,0.3057,0.533,0.3287,0.5341,0.3057
0,Lgbm,5,base,0.3413,0.3797,0.3562,0.3726,0.3311,0.3887,0.3562,0.3726
0,Lgbm,5,undersampling,0.3324,0.3935,0.3397,0.3932,0.3329,0.4073,0.3397,0.3932
0,Lgbm,5,oversampling,0.5345,0.3386,0.5416,0.3333,0.5413,0.3538,0.5416,0.3333
0,KNN,5,base,0.4396,0.4637,0.4762,0.4943,0.445,0.4928,0.4762,0.4943
0,KNN,5,undersampling,0.3878,0.3882,0.39,0.3846,0.3944,0.3951,0.39,0.3846
0,KNN,5,oversampling,0.556,0.3098,0.566,0.3057,0.5615,0.3225,0.566,0.3057
