iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.4138,0.4398,0.4971,0.5589,0.3855,0.427,0.4971,0.5589
0,AdaBoost,5,undersampling,0.3926,0.432,0.3921,0.4359,0.398,0.4316,0.3921,0.4359
0,AdaBoost,5,oversampling,0.405,0.3869,0.4403,0.4506,0.3952,0.4443,0.4403,0.4506
0,RandomForest,5,base,0.4422,0.4329,0.4714,0.4563,0.4367,0.4156,0.4714,0.4563
0,RandomForest,5,undersampling,0.4361,0.3844,0.4361,0.3846,0.4393,0.3845,0.4361,0.3846
0,RandomForest,5,oversampling,0.4703,0.4328,0.4891,0.4552,0.4799,0.4326,0.4891,0.4552
0,SVM,5,base,0.443,0.4674,0.5019,0.5095,0.4158,0.4317,0.5019,0.5095
0,SVM,5,undersampling,0.4216,0.407,0.4299,0.4103,0.4344,0.4072,0.4299,0.4103
0,SVM,5,oversampling,0.4491,0.4055,0.4734,0.446,0.4629,0.4055,0.4734,0.446
0,GradientBoosting,5,base,0.4327,0.4461,0.4733,0.4715,0.4045,0.4286,0.4733,0.4715
0,GradientBoosting,5,undersampling,0.425,0.4137,0.4255,0.4188,0.4274,0.4131,0.4255,0.4188
0,GradientBoosting,5,oversampling,0.4674,0.4219,0.4866,0.4506,0.4756,0.4221,0.4866,0.4506
0,LogisticRegression,5,base,0.4309,0.4518,0.4981,0.5095,0.4176,0.4135,0.4981,0.5095
0,LogisticRegression,5,undersampling,0.3687,0.3915,0.3857,0.4017,0.3755,0.4004,0.3857,0.4017
0,LogisticRegression,5,oversampling,0.3826,0.3474,0.4334,0.3839,0.4027,0.3395,0.4334,0.3839
0,XGBoost,5,base,0.4384,0.4505,0.4762,0.4753,0.4165,0.4333,0.4762,0.4753
0,XGBoost,5,undersampling,0.4304,0.3816,0.4297,0.3846,0.4335,0.3826,0.4297,0.3846
0,XGBoost,5,oversampling,0.4745,0.4191,0.4922,0.446,0.4826,0.4159,0.4922,0.446
0,Lgbm,5,base,0.4362,0.43,0.4657,0.4563,0.4275,0.4079,0.4657,0.4563
0,Lgbm,5,undersampling,0.4205,0.3841,0.4236,0.3846,0.4209,0.3843,0.4236,0.3846
0,Lgbm,5,oversampling,0.4726,0.4239,0.4897,0.4552,0.4815,0.4241,0.4897,0.4552
0,KNN,5,base,0.4557,0.4603,0.5086,0.5057,0.4206,0.423,0.5086,0.5057
0,KNN,5,undersampling,0.2027,0.1611,0.3145,0.3077,0.2139,0.1091,0.3145,0.3077
0,KNN,5,oversampling,0.3431,0.2808,0.4003,0.3379,0.4632,0.328,0.4003,0.3379
