iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.4181,0.4504,0.4829,0.5057,0.4553,0.4369,0.4829,0.5057
0,AdaBoost,5,undersampling,0.3358,0.3839,0.3418,0.3846,0.3374,0.3834,0.3418,0.3846
0,AdaBoost,5,oversampling,0.4215,0.422,0.4359,0.4322,0.4222,0.4303,0.4359,0.4322
0,RandomForest,5,base,0.3222,0.3379,0.3448,0.346,0.3093,0.332,0.3448,0.346
0,RandomForest,5,undersampling,0.3145,0.3599,0.3207,0.359,0.3163,0.3631,0.3207,0.359
0,RandomForest,5,oversampling,0.5308,0.3577,0.5367,0.3517,0.5382,0.3766,0.5367,0.3517
0,SVM,5,base,0.405,0.4301,0.4905,0.5019,0.4322,0.4266,0.4905,0.5019
0,SVM,5,undersampling,0.3439,0.4407,0.3482,0.4359,0.3557,0.4485,0.3482,0.4359
0,SVM,5,oversampling,0.5037,0.3779,0.516,0.3816,0.5039,0.3774,0.516,0.3816
0,GradientBoosting,5,base,0.3501,0.3734,0.3762,0.3916,0.3372,0.3597,0.3762,0.3916
0,GradientBoosting,5,undersampling,0.3143,0.354,0.3165,0.3504,0.3148,0.3587,0.3165,0.3504
0,GradientBoosting,5,oversampling,0.4999,0.3599,0.5085,0.354,0.5008,0.3688,0.5085,0.354
0,LogisticRegression,5,base,0.4262,0.4374,0.4857,0.4943,0.4319,0.4198,0.4857,0.4943
0,LogisticRegression,5,undersampling,0.3738,0.394,0.3776,0.3932,0.3741,0.396,0.3776,0.3932
0,LogisticRegression,5,oversampling,0.4343,0.3982,0.4384,0.4023,0.4331,0.3965,0.4384,0.4023
0,XGBoost,5,base,0.325,0.3785,0.3448,0.384,0.3116,0.374,0.3448,0.384
0,XGBoost,5,undersampling,0.2826,0.3636,0.2851,0.359,0.2868,0.3716,0.2851,0.359
0,XGBoost,5,oversampling,0.5166,0.3115,0.5235,0.3057,0.5276,0.3287,0.5235,0.3057
0,Lgbm,5,base,0.3291,0.3469,0.3467,0.3498,0.3166,0.3443,0.3467,0.3498
0,Lgbm,5,undersampling,0.3099,0.3968,0.3102,0.3932,0.3112,0.4117,0.3102,0.3932
0,Lgbm,5,oversampling,0.522,0.3133,0.5285,0.308,0.5305,0.3316,0.5285,0.308
0,KNN,5,base,0.4223,0.4127,0.4619,0.4411,0.4279,0.411,0.4619,0.4411
0,KNN,5,undersampling,0.351,0.3989,0.3586,0.4017,0.3615,0.405,0.3586,0.4017
0,KNN,5,oversampling,0.5446,0.3204,0.556,0.3172,0.5458,0.3299,0.556,0.3172
