iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.49,0.5033,0.5162,0.5209,0.4906,0.4928,0.5162,0.5209
0,AdaBoost,5,undersampling,0.4192,0.4502,0.4213,0.453,0.4205,0.4513,0.4213,0.453
0,AdaBoost,5,oversampling,0.4986,0.4811,0.5016,0.4851,0.5022,0.4815,0.5016,0.4851
0,RandomForest,5,base,0.3483,0.3546,0.3657,0.3498,0.3388,0.3616,0.3657,0.3498
0,RandomForest,5,undersampling,0.3861,0.3663,0.39,0.3675,0.3865,0.3693,0.39,0.3675
0,RandomForest,5,oversampling,0.5421,0.3576,0.5492,0.354,0.5468,0.3682,0.5492,0.354
0,SVM,5,base,0.4523,0.4611,0.5295,0.5475,0.4491,0.4365,0.5295,0.5475
0,SVM,5,undersampling,0.4352,0.407,0.4425,0.4103,0.4461,0.4083,0.4425,0.4103
0,SVM,5,oversampling,0.5138,0.4252,0.5259,0.446,0.5196,0.4227,0.5259,0.446
0,GradientBoosting,5,base,0.3699,0.4252,0.3895,0.4297,0.3608,0.4213,0.3895,0.4297
0,GradientBoosting,5,undersampling,0.3775,0.369,0.3796,0.3675,0.3772,0.3708,0.3796,0.3675
0,GradientBoosting,5,oversampling,0.558,0.3997,0.5641,0.3954,0.5603,0.406,0.5641,0.3954
0,LogisticRegression,5,base,0.4963,0.5092,0.5314,0.5361,0.5067,0.5068,0.5314,0.5361
0,LogisticRegression,5,undersampling,0.4436,0.4034,0.4487,0.4103,0.4478,0.4098,0.4487,0.4103
0,LogisticRegression,5,oversampling,0.4884,0.389,0.4947,0.4092,0.4899,0.3954,0.4947,0.4092
0,XGBoost,5,base,0.3393,0.4019,0.3486,0.3992,0.3352,0.405,0.3486,0.3992
0,XGBoost,5,undersampling,0.3643,0.3586,0.3648,0.359,0.3689,0.3601,0.3648,0.359
0,XGBoost,5,oversampling,0.5299,0.3466,0.5367,0.3379,0.5373,0.3657,0.5367,0.3379
0,Lgbm,5,base,0.332,0.4092,0.341,0.4068,0.3264,0.4119,0.341,0.4068
0,Lgbm,5,undersampling,0.3759,0.3838,0.3774,0.3846,0.3782,0.383,0.3774,0.3846
0,Lgbm,5,oversampling,0.5337,0.3329,0.541,0.3264,0.5406,0.3466,0.541,0.3264
0,KNN,5,base,0.4458,0.5054,0.4733,0.5285,0.4462,0.5097,0.4733,0.5285
0,KNN,5,undersampling,0.4653,0.4155,0.4655,0.4188,0.4848,0.4177,0.4655,0.4188
0,KNN,5,oversampling,0.5446,0.3828,0.5548,0.3793,0.5439,0.3886,0.5548,0.3793
