iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.4534,0.4888,0.5171,0.5399,0.5274,0.5175,0.5171,0.5399
0,AdaBoost,5,undersampling,0.4133,0.431,0.4235,0.4359,0.4195,0.44,0.4235,0.4359
0,AdaBoost,5,oversampling,0.4762,0.4637,0.4909,0.4851,0.4879,0.485,0.4909,0.4851
0,RandomForest,5,base,0.3773,0.4004,0.3924,0.403,0.3727,0.3988,0.3924,0.403
0,RandomForest,5,undersampling,0.3486,0.3804,0.3523,0.3846,0.3527,0.3826,0.3523,0.3846
0,RandomForest,5,oversampling,0.559,0.4197,0.5667,0.4138,0.5677,0.4327,0.5667,0.4138
0,SVM,5,base,0.4484,0.4578,0.5286,0.5285,0.4498,0.4197,0.5286,0.5285
0,SVM,5,undersampling,0.4166,0.4117,0.4299,0.4188,0.42,0.4094,0.4299,0.4188
0,SVM,5,oversampling,0.5106,0.4367,0.526,0.4437,0.5205,0.4331,0.526,0.4437
0,GradientBoosting,5,base,0.425,0.4513,0.4486,0.4715,0.4172,0.4407,0.4486,0.4715
0,GradientBoosting,5,undersampling,0.3698,0.39,0.3731,0.3932,0.3712,0.3883,0.3731,0.3932
0,GradientBoosting,5,oversampling,0.5584,0.4603,0.5648,0.4575,0.5659,0.4663,0.5648,0.4575
0,LogisticRegression,5,base,0.4037,0.4395,0.5105,0.5323,0.4376,0.423,0.5105,0.5323
0,LogisticRegression,5,undersampling,0.3973,0.4161,0.4192,0.4359,0.4083,0.4177,0.4192,0.4359
0,LogisticRegression,5,oversampling,0.4559,0.4815,0.4722,0.4943,0.4678,0.4867,0.4722,0.4943
0,XGBoost,5,base,0.3813,0.4078,0.3943,0.4068,0.3743,0.409,0.3943,0.4068
0,XGBoost,5,undersampling,0.3514,0.3864,0.3521,0.3846,0.3532,0.3892,0.3521,0.3846
0,XGBoost,5,oversampling,0.5534,0.4025,0.5592,0.3931,0.5633,0.4251,0.5592,0.3931
0,Lgbm,5,base,0.3803,0.4023,0.3914,0.3992,0.3745,0.4058,0.3914,0.3992
0,Lgbm,5,undersampling,0.3528,0.367,0.3543,0.3675,0.3559,0.368,0.3543,0.3675
0,Lgbm,5,oversampling,0.5522,0.4131,0.5592,0.4046,0.5662,0.4365,0.5592,0.4046
0,KNN,5,base,0.4414,0.4496,0.4724,0.4791,0.4362,0.4459,0.4724,0.4791
0,KNN,5,undersampling,0.3898,0.4109,0.3984,0.4103,0.4006,0.4136,0.3984,0.4103
0,KNN,5,oversampling,0.5437,0.3717,0.5554,0.3678,0.5446,0.3772,0.5554,0.3678
