iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.5125,0.5734,0.5695,0.635,0.5713,0.534,0.5695,0.635
0,AdaBoost,5,undersampling,0.5431,0.5124,0.5432,0.5214,0.5682,0.5244,0.5432,0.5214
0,AdaBoost,5,oversampling,0.5221,0.4912,0.5372,0.5057,0.5386,0.5251,0.5372,0.5057
0,RandomForest,5,base,0.3794,0.4447,0.3924,0.4449,0.3736,0.446,0.3924,0.4449
0,RandomForest,5,undersampling,0.4661,0.4539,0.4698,0.453,0.4676,0.4645,0.4698,0.453
0,RandomForest,5,oversampling,0.5811,0.4287,0.5879,0.423,0.5854,0.4366,0.5879,0.423
0,SVM,5,base,0.4571,0.4889,0.5238,0.5475,0.5243,0.5245,0.5238,0.5475
0,SVM,5,undersampling,0.4649,0.4642,0.4717,0.4701,0.4742,0.4715,0.4717,0.4701
0,SVM,5,oversampling,0.5625,0.4844,0.5704,0.4874,0.5644,0.4828,0.5704,0.4874
0,GradientBoosting,5,base,0.5076,0.5414,0.519,0.5437,0.5053,0.5394,0.519,0.5437
0,GradientBoosting,5,undersampling,0.5406,0.5818,0.5452,0.5812,0.5434,0.5995,0.5452,0.5812
0,GradientBoosting,5,oversampling,0.5935,0.5784,0.601,0.5862,0.594,0.5753,0.601,0.5862
0,LogisticRegression,5,base,0.4525,0.547,0.4943,0.5741,0.4648,0.5448,0.4943,0.5741
0,LogisticRegression,5,undersampling,0.3986,0.4424,0.4067,0.4444,0.4033,0.4536,0.4067,0.4444
0,LogisticRegression,5,oversampling,0.4737,0.4589,0.4778,0.4621,0.4737,0.4588,0.4778,0.4621
0,XGBoost,5,base,0.4473,0.4764,0.4514,0.4715,0.4456,0.4825,0.4514,0.4715
0,XGBoost,5,undersampling,0.5259,0.5537,0.5285,0.5556,0.5305,0.5754,0.5285,0.5556
0,XGBoost,5,oversampling,0.5708,0.4559,0.5779,0.4529,0.5741,0.4596,0.5779,0.4529
0,Lgbm,5,base,0.4479,0.4779,0.4524,0.4715,0.4463,0.4864,0.4524,0.4715
0,Lgbm,5,undersampling,0.5281,0.55,0.5305,0.547,0.5329,0.5664,0.5305,0.547
0,Lgbm,5,oversampling,0.5819,0.4831,0.5886,0.4805,0.5868,0.4867,0.5886,0.4805
0,KNN,5,base,0.4208,0.4725,0.4619,0.4981,0.4416,0.4785,0.4619,0.4981
0,KNN,5,undersampling,0.4336,0.4042,0.4361,0.4017,0.4449,0.4179,0.4361,0.4017
0,KNN,5,oversampling,0.5632,0.3733,0.5785,0.3701,0.569,0.378,0.5785,0.3701
