iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.5628,0.5808,0.5924,0.6084,0.6092,0.5939,0.5924,0.6084
0,AdaBoost,5,undersampling,0.6019,0.6717,0.6101,0.6752,0.613,0.671,0.6101,0.6752
0,AdaBoost,5,oversampling,0.5936,0.5258,0.6016,0.531,0.607,0.5258,0.6016,0.531
0,RandomForest,5,base,0.4083,0.4435,0.4219,0.4411,0.4017,0.4488,0.4219,0.4411
0,RandomForest,5,undersampling,0.4642,0.4848,0.4717,0.4872,0.4647,0.4866,0.4717,0.4872
0,RandomForest,5,oversampling,0.5562,0.4468,0.5673,0.4414,0.5652,0.4562,0.5673,0.4414
0,SVM,5,base,0.4439,0.444,0.5257,0.5285,0.4399,0.4186,0.5257,0.5285
0,SVM,5,undersampling,0.4766,0.3985,0.495,0.4103,0.4941,0.4061,0.495,0.4103
0,SVM,5,oversampling,0.515,0.4551,0.5341,0.4759,0.5263,0.4618,0.5341,0.4759
0,GradientBoosting,5,base,0.5074,0.5589,0.5162,0.5589,0.5079,0.5589,0.5162,0.5589
0,GradientBoosting,5,undersampling,0.5177,0.5597,0.5242,0.5556,0.5233,0.5774,0.5242,0.5556
0,GradientBoosting,5,oversampling,0.6139,0.5726,0.626,0.577,0.6262,0.5703,0.626,0.577
0,LogisticRegression,5,base,0.4764,0.5007,0.5124,0.5323,0.4859,0.5029,0.5124,0.5323
0,LogisticRegression,5,undersampling,0.4546,0.4359,0.4591,0.4359,0.4564,0.4361,0.4591,0.4359
0,LogisticRegression,5,oversampling,0.4952,0.4484,0.5078,0.4621,0.4989,0.4512,0.5078,0.4621
0,XGBoost,5,base,0.4464,0.4954,0.4514,0.4867,0.4447,0.5073,0.4514,0.4867
0,XGBoost,5,undersampling,0.4934,0.5112,0.497,0.5128,0.4949,0.5278,0.497,0.5128
0,XGBoost,5,oversampling,0.5802,0.496,0.5867,0.4897,0.5968,0.506,0.5867,0.4897
0,Lgbm,5,base,0.4443,0.4994,0.4486,0.4905,0.444,0.5121,0.4486,0.4905
0,Lgbm,5,undersampling,0.491,0.5094,0.4968,0.5043,0.4932,0.5305,0.4968,0.5043
0,Lgbm,5,oversampling,0.5818,0.529,0.5885,0.5264,0.5934,0.5327,0.5885,0.5264
0,KNN,5,base,0.4454,0.4682,0.4838,0.5019,0.4501,0.4649,0.4838,0.5019
0,KNN,5,undersampling,0.4216,0.3931,0.4257,0.3932,0.4297,0.399,0.4257,0.3932
0,KNN,5,oversampling,0.5433,0.3341,0.5554,0.3333,0.5473,0.3349,0.5554,0.3333
