iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.3414,0.3919,0.5067,0.5513,0.2574,0.304,0.5067,0.5513
0,AdaBoost,5,undersampling,0.313,0.2911,0.367,0.3675,0.4048,0.2543,0.367,0.3675
0,AdaBoost,5,oversampling,0.3034,0.2942,0.3821,0.3747,0.2575,0.25,0.3821,0.3747
0,RandomForest,5,base,0.3562,0.4087,0.5019,0.5475,0.3797,0.4324,0.5019,0.5475
0,RandomForest,5,undersampling,0.2981,0.367,0.3417,0.3675,0.3937,0.4262,0.3417,0.3675
0,RandomForest,5,oversampling,0.3482,0.3824,0.3752,0.3885,0.3995,0.4115,0.3752,0.3885
0,SVM,5,base,0.3421,0.3919,0.5,0.5513,0.2826,0.304,0.5,0.5513
0,SVM,5,undersampling,0.2997,0.3544,0.3396,0.359,0.3653,0.3622,0.3396,0.359
0,SVM,5,oversampling,0.3549,0.387,0.3765,0.3908,0.3973,0.4149,0.3765,0.3908
0,GradientBoosting,5,base,0.3488,0.4087,0.5,0.5475,0.3398,0.4324,0.5,0.5475
0,GradientBoosting,5,undersampling,0.3061,0.3555,0.3438,0.359,0.4013,0.4158,0.3438,0.359
0,GradientBoosting,5,oversampling,0.3532,0.3862,0.3777,0.3931,0.4115,0.4151,0.3777,0.3931
0,LogisticRegression,5,base,0.3423,0.3919,0.501,0.5513,0.2826,0.304,0.501,0.5513
0,LogisticRegression,5,undersampling,0.3288,0.3544,0.3543,0.359,0.4077,0.3622,0.3543,0.359
0,LogisticRegression,5,oversampling,0.3489,0.3899,0.3733,0.3931,0.387,0.4115,0.3733,0.3931
0,XGBoost,5,base,0.3494,0.4087,0.5019,0.5475,0.3515,0.4324,0.5019,0.5475
0,XGBoost,5,undersampling,0.3289,0.3656,0.3564,0.3675,0.4043,0.408,0.3564,0.3675
0,XGBoost,5,oversampling,0.3556,0.3885,0.3802,0.3954,0.4174,0.4187,0.3802,0.3954
0,Lgbm,5,base,0.3415,0.3967,0.5029,0.5475,0.2602,0.4034,0.5029,0.5475
0,Lgbm,5,undersampling,0.2843,0.3682,0.3354,0.3761,0.3149,0.3794,0.3354,0.3761
0,Lgbm,5,oversampling,0.3519,0.3853,0.3746,0.3908,0.4109,0.4145,0.3746,0.3908
0,KNN,5,base,0.3841,0.4235,0.4914,0.5399,0.3683,0.3957,0.4914,0.5399
0,KNN,5,undersampling,0.1898,0.1667,0.3312,0.3333,0.1937,0.1111,0.3312,0.3333
0,KNN,5,oversampling,0.2015,0.2145,0.329,0.3402,0.345,0.4134,0.329,0.3402
