iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.5916,0.6023,0.601,0.6008,0.5981,0.605,0.601,0.6008
0,AdaBoost,5,undersampling,0.5763,0.546,0.5786,0.5385,0.5832,0.5599,0.5786,0.5385
0,AdaBoost,5,oversampling,0.5813,0.5383,0.5816,0.5356,0.5874,0.5487,0.5816,0.5356
0,RandomForest,5,base,0.3928,0.4572,0.4048,0.4487,0.388,0.4704,0.4048,0.4487
0,RandomForest,5,undersampling,0.4628,0.4627,0.4635,0.4615,0.4667,0.4742,0.4635,0.4615
0,RandomForest,5,oversampling,0.5649,0.4376,0.5692,0.4322,0.5741,0.4487,0.5692,0.4322
0,SVM,5,base,0.4553,0.4663,0.5343,0.5437,0.4787,0.439,0.5343,0.5437
0,SVM,5,undersampling,0.4835,0.432,0.4949,0.4359,0.5043,0.4373,0.4949,0.4359
0,SVM,5,oversampling,0.505,0.45,0.5091,0.4552,0.5105,0.4489,0.5091,0.4552
0,GradientBoosting,5,base,0.5156,0.5533,0.5219,0.5551,0.5168,0.5517,0.5219,0.5551
0,GradientBoosting,5,undersampling,0.5615,0.5271,0.564,0.5299,0.5647,0.5535,0.564,0.5299
0,GradientBoosting,5,oversampling,0.6029,0.5408,0.606,0.5379,0.6077,0.5455,0.606,0.5379
0,LogisticRegression,5,base,0.4991,0.5049,0.539,0.5399,0.5222,0.5077,0.539,0.5399
0,LogisticRegression,5,undersampling,0.4815,0.4281,0.4822,0.4274,0.4845,0.4332,0.4822,0.4274
0,LogisticRegression,5,oversampling,0.4898,0.4701,0.4934,0.4713,0.4894,0.4714,0.4934,0.4713
0,XGBoost,5,base,0.4452,0.4719,0.4486,0.4601,0.4443,0.4919,0.4486,0.4601
0,XGBoost,5,undersampling,0.5423,0.5322,0.5452,0.5299,0.5431,0.5525,0.5452,0.5299
0,XGBoost,5,oversampling,0.57,0.476,0.5735,0.469,0.5878,0.4915,0.5735,0.469
0,Lgbm,5,base,0.4492,0.485,0.4533,0.4753,0.4485,0.5003,0.4533,0.4753
0,Lgbm,5,undersampling,0.5382,0.5277,0.5389,0.5299,0.5412,0.5419,0.5389,0.5299
0,Lgbm,5,oversampling,0.571,0.5004,0.576,0.4943,0.5851,0.5115,0.576,0.4943
0,KNN,5,base,0.4341,0.4576,0.4733,0.4981,0.4447,0.4644,0.4733,0.4981
0,KNN,5,undersampling,0.4042,0.4723,0.4048,0.4701,0.4172,0.4764,0.4048,0.4701
0,KNN,5,oversampling,0.5651,0.3449,0.5766,0.3425,0.568,0.3516,0.5766,0.3425
