iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.5315,0.5607,0.561,0.5741,0.5508,0.5549,0.561,0.5741
0,AdaBoost,5,undersampling,0.5598,0.5251,0.564,0.5214,0.5745,0.5354,0.564,0.5214
0,AdaBoost,5,oversampling,0.562,0.4708,0.5653,0.4736,0.5651,0.4713,0.5653,0.4736
0,RandomForest,5,base,0.3838,0.4372,0.399,0.4335,0.3774,0.4428,0.399,0.4335
0,RandomForest,5,undersampling,0.4422,0.4168,0.4446,0.4188,0.4469,0.4292,0.4446,0.4188
0,RandomForest,5,oversampling,0.5764,0.3906,0.5823,0.3839,0.5857,0.4073,0.5823,0.3839
0,SVM,5,base,0.4568,0.4971,0.5133,0.5437,0.5084,0.4955,0.5133,0.5437
0,SVM,5,undersampling,0.4066,0.4216,0.4088,0.4188,0.4158,0.4355,0.4088,0.4188
0,SVM,5,oversampling,0.5528,0.3621,0.5604,0.3632,0.5518,0.3668,0.5604,0.3632
0,GradientBoosting,5,base,0.4983,0.5394,0.5076,0.5399,0.4959,0.5391,0.5076,0.5399
0,GradientBoosting,5,undersampling,0.5411,0.5223,0.5452,0.5214,0.5449,0.542,0.5452,0.5214
0,GradientBoosting,5,oversampling,0.6108,0.5504,0.6192,0.5494,0.6168,0.5525,0.6192,0.5494
0,LogisticRegression,5,base,0.4744,0.4582,0.5124,0.4867,0.4853,0.4493,0.5124,0.4867
0,LogisticRegression,5,undersampling,0.4084,0.3758,0.4109,0.3761,0.4141,0.3874,0.4109,0.3761
0,LogisticRegression,5,oversampling,0.4891,0.3936,0.4915,0.3908,0.4886,0.3972,0.4915,0.3908
0,XGBoost,5,base,0.4325,0.48,0.4371,0.4715,0.4325,0.4921,0.4371,0.4715
0,XGBoost,5,undersampling,0.4985,0.5205,0.5012,0.5214,0.5008,0.5367,0.5012,0.5214
0,XGBoost,5,oversampling,0.5818,0.4665,0.5885,0.4621,0.5962,0.4745,0.5885,0.4621
0,Lgbm,5,base,0.4277,0.4935,0.4324,0.4867,0.427,0.5024,0.4324,0.4867
0,Lgbm,5,undersampling,0.4885,0.537,0.4907,0.5385,0.4926,0.5563,0.4907,0.5385
0,Lgbm,5,oversampling,0.586,0.4679,0.5917,0.4644,0.5975,0.4731,0.5917,0.4644
0,KNN,5,base,0.457,0.4887,0.5048,0.5323,0.5003,0.4944,0.5048,0.5323
0,KNN,5,undersampling,0.3773,0.4393,0.3902,0.4359,0.4041,0.4603,0.3902,0.4359
0,KNN,5,oversampling,0.5653,0.3324,0.5748,0.3287,0.566,0.3474,0.5748,0.3287
