iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.4531,0.4773,0.519,0.5437,0.4237,0.4398,0.519,0.5437
0,AdaBoost,5,undersampling,0.4008,0.3851,0.4045,0.3932,0.417,0.3846,0.4045,0.3932
0,AdaBoost,5,oversampling,0.4208,0.4076,0.4447,0.4874,0.4299,0.4335,0.4447,0.4874
0,RandomForest,5,base,0.4475,0.4729,0.4657,0.4791,0.4459,0.4707,0.4657,0.4791
0,RandomForest,5,undersampling,0.4329,0.452,0.4382,0.453,0.4379,0.4549,0.4382,0.453
0,RandomForest,5,oversampling,0.5034,0.5162,0.5222,0.5517,0.509,0.5264,0.5222,0.5517
0,SVM,5,base,0.4674,0.5038,0.5086,0.5361,0.4687,0.5192,0.5086,0.5361
0,SVM,5,undersampling,0.4281,0.4822,0.4403,0.4872,0.4373,0.4852,0.4403,0.4872
0,SVM,5,oversampling,0.4886,0.4728,0.5097,0.5218,0.4966,0.4995,0.5097,0.5218
0,GradientBoosting,5,base,0.4454,0.4948,0.4705,0.5057,0.4357,0.5071,0.4705,0.5057
0,GradientBoosting,5,undersampling,0.439,0.455,0.4466,0.4615,0.4491,0.4573,0.4466,0.4615
0,GradientBoosting,5,oversampling,0.5049,0.4958,0.5228,0.5425,0.5145,0.5077,0.5228,0.5425
0,LogisticRegression,5,base,0.4475,0.4832,0.5057,0.5285,0.4148,0.4453,0.5057,0.5285
0,LogisticRegression,5,undersampling,0.3475,0.3535,0.373,0.3675,0.3632,0.3686,0.373,0.3675
0,LogisticRegression,5,oversampling,0.3633,0.4046,0.3927,0.423,0.3748,0.4195,0.3927,0.423
0,XGBoost,5,base,0.4492,0.4638,0.4676,0.4677,0.4429,0.4634,0.4676,0.4677
0,XGBoost,5,undersampling,0.4372,0.4504,0.4424,0.453,0.4465,0.4536,0.4424,0.453
0,XGBoost,5,oversampling,0.5172,0.5053,0.5372,0.5402,0.5262,0.5119,0.5372,0.5402
0,Lgbm,5,base,0.4565,0.4766,0.48,0.4867,0.4501,0.4704,0.48,0.4867
0,Lgbm,5,undersampling,0.4208,0.4912,0.4298,0.4957,0.4273,0.4917,0.4298,0.4957
0,Lgbm,5,oversampling,0.5085,0.5028,0.5254,0.5425,0.5179,0.511,0.5254,0.5425
0,KNN,5,base,0.4456,0.472,0.4857,0.4905,0.4322,0.4639,0.4857,0.4905
0,KNN,5,undersampling,0.3114,0.34,0.3501,0.3675,0.3742,0.4602,0.3501,0.3675
0,KNN,5,oversampling,0.3948,0.3171,0.4184,0.3517,0.4571,0.334,0.4184,0.3517
