iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,5,base,0.5583,0.5642,0.6152,0.6122,0.5159,0.5232,0.6152,0.6122
0,AdaBoost,5,undersampling,0.5292,0.5427,0.5704,0.5726,0.5391,0.5634,0.5704,0.5726
0,AdaBoost,5,oversampling,0.5234,0.5535,0.5635,0.5724,0.5199,0.5667,0.5635,0.5724
0,RandomForest,5,base,0.3776,0.4352,0.3905,0.4297,0.3713,0.4427,0.3905,0.4297
0,RandomForest,5,undersampling,0.4551,0.4981,0.4612,0.4957,0.4555,0.5012,0.4612,0.4957
0,RandomForest,5,oversampling,0.5694,0.4441,0.5786,0.4391,0.5795,0.4505,0.5786,0.4391
0,SVM,5,base,0.4779,0.5145,0.54,0.5665,0.5063,0.6015,0.54,0.5665
0,SVM,5,undersampling,0.4907,0.439,0.5011,0.4444,0.4974,0.4361,0.5011,0.4444
0,SVM,5,oversampling,0.5506,0.4973,0.5579,0.5034,0.5522,0.4956,0.5579,0.5034
0,GradientBoosting,5,base,0.5316,0.5717,0.539,0.5703,0.5329,0.5737,0.539,0.5703
0,GradientBoosting,5,undersampling,0.5536,0.5677,0.5619,0.5641,0.5577,0.601,0.5619,0.5641
0,GradientBoosting,5,oversampling,0.6292,0.5795,0.6436,0.5816,0.6383,0.5778,0.6436,0.5816
0,LogisticRegression,5,base,0.5016,0.5212,0.5229,0.5399,0.5003,0.5168,0.5229,0.5399
0,LogisticRegression,5,undersampling,0.4428,0.5043,0.4488,0.5043,0.4457,0.5043,0.4488,0.5043
0,LogisticRegression,5,oversampling,0.5438,0.4593,0.5485,0.4621,0.5433,0.4576,0.5485,0.4621
0,XGBoost,5,base,0.4505,0.4825,0.4552,0.4715,0.4493,0.4994,0.4552,0.4715
0,XGBoost,5,undersampling,0.5315,0.5767,0.5369,0.5726,0.5347,0.5895,0.5369,0.5726
0,XGBoost,5,oversampling,0.5761,0.4972,0.5842,0.4897,0.5885,0.514,0.5842,0.4897
0,Lgbm,5,base,0.4471,0.4977,0.4533,0.4905,0.4456,0.5073,0.4533,0.4905
0,Lgbm,5,undersampling,0.5278,0.5593,0.5326,0.5556,0.5299,0.5724,0.5326,0.5556
0,Lgbm,5,oversampling,0.5793,0.5066,0.5879,0.5011,0.5892,0.5149,0.5879,0.5011
0,KNN,5,base,0.4429,0.4946,0.4638,0.5133,0.4505,0.4932,0.4638,0.5133
0,KNN,5,undersampling,0.4481,0.4259,0.4487,0.4274,0.4651,0.4337,0.4487,0.4274
0,KNN,5,oversampling,0.5617,0.3955,0.5748,0.3931,0.5673,0.3992,0.5748,0.3931
