neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,score_time,Dataset,model,sampling
-3963655.5632785144,-1820.1515873015874,-0.7504992992441437,-0.7481217739227535,1.842855453491211,0.017644882202148438,Validation,RandomForest,Original
-3698520.0527992635,-1776.8789682539682,-0.633405490791531,-0.6313162747079346,1.874943733215332,0.02045297622680664,Validation,RandomForest,Original
-3678289.298254082,-1794.169642857143,-0.606959140337523,-0.6028670204442663,2.0102083683013916,0.016296863555908203,Validation,RandomForest,Original
-3872379.7406716836,-1814.0367261904762,-0.6712182213420583,-0.6709979705711322,1.9129631519317627,0.01665210723876953,Validation,RandomForest,Original
-4003963.297947393,-1857.1351587301588,-0.7280062569364261,-0.7268425665676694,1.8589401245117188,0.03530001640319824,Validation,RandomForest,Original
-3951666.0191185093,-1806.4914087301586,-0.7054361137277241,-0.7038294779340066,2.0295798778533936,0.016863107681274414,Validation,RandomForest,Original
-3760420.110655131,-1808.9822817460317,-0.5961205490954407,-0.5958834676788474,1.8956174850463867,0.01659560203552246,Validation,RandomForest,Original
-3569739.5502084787,-1760.4403018108649,-0.5782081043075986,-0.5778042585320524,1.8785207271575928,0.01934337615966797,Validation,RandomForest,Original
-3998701.1140980744,-1805.7935613682093,-0.7670116277896366,-0.7668584236744367,2.0244648456573486,0.016684293746948242,Validation,RandomForest,Original
-3569950.3583759693,-1737.7374245472834,-0.5775482122536553,-0.5723631855622755,2.1001830101013184,0.01736760139465332,Validation,RandomForest,Original
-1257707.5357975222,-966.3134174972314,0.45210992699403896,0.4521392656545118,1.842855453491211,0.017644882202148438,Train,RandomForest,Original
-1268112.140231049,-971.8585005537097,0.44757741103112214,0.4476325288802878,1.874943733215332,0.02045297622680664,Train,RandomForest,Original
-1283956.8631798986,-972.6968704318937,0.44005482431048315,0.44010715786551435,2.0102083683013916,0.016296863555908203,Train,RandomForest,Original
-1274055.493097668,-970.141342192691,0.44356872320338014,0.4435692179522863,1.9129631519317627,0.01665210723876953,Train,RandomForest,Original
-1237661.164640079,-951.8388017718717,0.459463590233524,0.4594846398922574,1.8589401245117188,0.03530001640319824,Train,RandomForest,Original
-1245706.9317141788,-961.478339474479,0.45594968014867787,0.4560487239912736,2.0295798778533936,0.016863107681274414,Train,RandomForest,Original
-1265489.5331609554,-964.0909235880398,0.44624813519455664,0.44627506184518695,1.8956174850463867,0.01659560203552246,Train,RandomForest,Original
-1301154.2350433148,-983.1074803988582,0.43329037507252643,0.4334395491378584,1.8785207271575928,0.01934337615966797,Train,RandomForest,Original
-1250504.9649187275,-961.8583149049093,0.4552879438876103,0.45529192354461556,2.0244648456573486,0.016684293746948242,Train,RandomForest,Original
-1300114.4543611386,-987.2287992038922,0.43367836395394077,0.4337623706490288,2.1001830101013184,0.01736760139465332,Train,RandomForest,Original
