neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,score_time,Dataset,model,sampling
-5089588.186151594,-1954.3036973741318,-1.2477534717800616,-1.247619073882332,2.76391339302063,0.08677434921264648,Validation,XGBoost,Original
-4723075.178405873,-1946.7608642578125,-1.0858875495322495,-1.0847446368622395,2.5618348121643066,0.14099669456481934,Validation,XGBoost,Original
-4666250.1971834805,-1961.5486823187935,-1.0385763047580165,-1.0295773006990006,2.5942444801330566,0.08813214302062988,Validation,XGBoost,Original
-4798891.502715113,-1930.8907199435764,-1.0710765623905365,-1.0703410862190346,2.526250123977661,0.08568191528320312,Validation,XGBoost,Original
-5231273.353276006,-2094.7048136393228,-1.2576813056303164,-1.2542120387095301,2.4252758026123047,0.08524799346923828,Validation,XGBoost,Original
-5167646.896518644,-1994.6011623806423,-1.2302217843505434,-1.2258593250462808,2.514375925064087,0.0852515697479248,Validation,XGBoost,Original
-5040494.310937754,-2021.7400783962673,-1.139451526836131,-1.1390278600625257,2.4512314796447754,0.08723616600036621,Validation,XGBoost,Original
-4477868.40983908,-1852.1077588578346,-0.9796985508419767,-0.9794222229524581,2.505171775817871,0.08566093444824219,Validation,XGBoost,Original
-5398741.465753946,-2000.4604629731514,-1.3856844193189963,-1.3855626501249882,2.4698519706726074,0.1347181797027588,Validation,XGBoost,Original
-4762664.750866333,-1917.8821901133363,-1.1046044087600775,-1.0921501004981695,2.5388691425323486,0.08582139015197754,Validation,XGBoost,Original
-1096945.122121114,-715.9458390110223,0.5221422103817102,0.5221422103817114,2.76391339302063,0.08677434921264648,Train,XGBoost,Original
-1110407.4571739899,-727.1304308987403,0.5162776675329042,0.5162776675329855,2.5618348121643066,0.14099669456481934,Train,XGBoost,Original
-1122429.7725909674,-730.2688158611919,0.5104982462915244,0.5104982462915244,2.5942444801330566,0.08813214302062988,Train,XGBoost,Original
-1115665.1254894102,-729.5347962845203,0.5127441672543032,0.5127441672543518,2.526250123977661,0.08568191528320312,Train,XGBoost,Original
-1075278.1484745513,-702.7467531189438,0.5303827844951388,0.5303827844951494,2.4252758026123047,0.08524799346923828,Train,XGBoost,Original
-1093797.2235991159,-718.5719158793605,0.5222947595445143,0.5222947595446341,2.514375925064087,0.0852515697479248,Train,XGBoost,Original
-1107661.4018888515,-718.553296844719,0.51531043853292,0.5153104385329617,2.4512314796447754,0.08723616600036621,Train,XGBoost,Original
-1147307.7536310006,-743.2781748107343,0.500297252066384,0.5002972520664726,2.505171775817871,0.08566093444824219,Train,XGBoost,Original
-1090265.025024305,-713.9203840793102,0.5250874485516236,0.5250874485517105,2.4698519706726074,0.1347181797027588,Train,XGBoost,Original
-1151052.6339007856,-747.3302939211252,0.4986087504687131,0.49860875046871334,2.5388691425323486,0.08582139015197754,Train,XGBoost,Original
