accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,Dataset,model,sampling
0.4095238095238095,0.4095238095238095,0.5254847963281698,0.3417068216175359,0.5805141900926163,0.00928050099228978,0.7451958656311035,Validation,SVM,Original
0.5333333333333333,0.5333333333333333,0.4429629629629629,0.43808033385498174,0.5060222671408655,0.14564302861022194,0.745464563369751,Validation,SVM,Original
0.47619047619047616,0.47619047619047616,0.4287373485979758,0.4113181504485852,0.5910937722257756,-0.013337813631515169,0.7470192909240723,Validation,SVM,Original
0.45714285714285713,0.45714285714285713,0.5066293183940243,0.39382318229436025,0.533718424483269,0.014826676079204968,0.7377099990844727,Validation,SVM,Original
0.5142857142857142,0.5142857142857142,0.5029478458049886,0.48192894526903995,0.566746027055898,0.06289737231819904,0.7340903282165527,Validation,SVM,Original
0.5047619047619047,0.5047619047619047,0.4106575963718821,0.43400372606006404,0.5796365330122387,0.023226391348332952,0.7458107471466064,Validation,SVM,Original
0.5428571428571428,0.5428571428571428,0.5164428164428164,0.465769754738164,0.4689219120785226,0.10726290652689607,0.7344310283660889,Validation,SVM,Original
0.6,0.6,0.5215815061656847,0.5323508659824008,0.5094672340130181,0.20650025169011238,0.7517430782318115,Validation,SVM,Original
0.5333333333333333,0.5333333333333333,0.540691522086871,0.4700288882676358,0.5895272964393969,0.02886938644432503,0.7408602237701416,Validation,SVM,Original
0.4095238095238095,0.4095238095238095,0.4980229773068648,0.37440579854372963,0.5346101588778643,-0.010058129624539322,0.7399313449859619,Validation,SVM,Original
0.635978835978836,0.635978835978836,0.6739754444015096,0.5890997988629847,0.8124207361837343,0.3419212956796936,0.7451958656311035,Train,SVM,Original
0.6137566137566137,0.6137566137566137,0.6731518672897983,0.5539855217842637,0.6063373603042336,0.3154736288585702,0.745464563369751,Train,SVM,Original
0.617989417989418,0.617989417989418,0.6636240309158987,0.5667869696524044,0.8404433651377913,0.3191483304357092,0.7470192909240723,Train,SVM,Original
0.6296296296296297,0.6296296296296297,0.6704919861213189,0.58071385572262,0.8193003658902639,0.3398584747305621,0.7377099990844727,Train,SVM,Original
0.6370370370370371,0.6370370370370371,0.6928546641879975,0.590841263904433,0.8381811419564512,0.36746406940685045,0.7340903282165527,Train,SVM,Original
0.6317460317460317,0.6317460317460317,0.670044534830508,0.5908112563714224,0.6393280947751133,0.3600456940985411,0.7458107471466064,Train,SVM,Original
0.6201058201058202,0.6201058201058202,0.681313893078599,0.5677838707611105,0.6213689408076407,0.333458251213676,0.7344310283660889,Train,SVM,Original
0.6095238095238096,0.6095238095238096,0.6731046275445701,0.5520054327132009,0.6188519821488601,0.31526621660893916,0.7517430782318115,Train,SVM,Original
0.6253968253968254,0.6253968253968254,0.6828531383133338,0.5749878427631004,0.6396546733981521,0.3465597984223383,0.7408602237701416,Train,SVM,Original
0.6412698412698413,0.6412698412698413,0.6770043060251724,0.5991368687115733,0.8340306514452634,0.3546201752454908,0.7399313449859619,Train,SVM,Original
0.4583333333333333,0.4583333333333333,0.5012400793650794,0.44439526847421584,0.66828798149165,0.21335965802888376,0.16954302787780762,Validation,SVM,Undersampling
0.5,0.5,0.4986878589819766,0.4777777777777778,0.6941456501582114,0.26469792912142304,0.1721363067626953,Validation,SVM,Undersampling
0.5416666666666666,0.5416666666666666,0.5990641711229947,0.5391865079365079,0.7004913886424303,0.34228311259395267,0.16667890548706055,Validation,SVM,Undersampling
0.3125,0.3125,0.30932539682539684,0.2919337606837607,0.6543811717606619,-0.030240585539381203,0.16321110725402832,Validation,SVM,Undersampling
0.3333333333333333,0.3333333333333333,0.3204861111111111,0.3054226664140457,0.6154594142557205,0.01835298204559414,0.16605043411254883,Validation,SVM,Undersampling
0.425531914893617,0.425531914893617,0.3890343698854337,0.38878930368292064,0.6680295359174669,0.15426903755644622,0.1661815643310547,Validation,SVM,Undersampling
0.40425531914893614,0.40425531914893614,0.43555646481178395,0.38911429985155865,0.6057817998994469,0.10590281233928632,0.1671009063720703,Validation,SVM,Undersampling
0.3404255319148936,0.3404255319148936,0.3246753246753247,0.31447642886942007,0.5803401312420837,0.038519184249521936,0.16437816619873047,Validation,SVM,Undersampling
0.3829787234042553,0.3829787234042553,0.3799925345278089,0.36109422492401216,0.6357718791929319,0.10056895422425481,0.16237711906433105,Validation,SVM,Undersampling
0.46808510638297873,0.46808510638297873,0.47976323788193886,0.47175348495964786,0.6427438302438302,0.18833836902409903,0.16437625885009766,Validation,SVM,Undersampling
0.7400468384074942,0.7400468384074942,0.7641667424763241,0.7324756355528088,0.7683580280214347,0.625572752122039,0.16954302787780762,Train,SVM,Undersampling
0.7283372365339579,0.7283372365339579,0.7405670146310733,0.7205969605110001,0.7661484584235191,0.6038907401805602,0.1721363067626953,Train,SVM,Undersampling
0.7236533957845434,0.7236533957845434,0.7523063076777531,0.7120995606824861,0.7505860712596673,0.600501966612538,0.16667890548706055,Train,SVM,Undersampling
0.702576112412178,0.702576112412178,0.7119963841455521,0.6938307267219305,0.790136519953548,0.5646022167403721,0.16321110725402832,Train,SVM,Undersampling
0.7330210772833724,0.7330210772833724,0.7484282194887749,0.724782291403763,0.8313367395485104,0.610031723745467,0.16605043411254883,Train,SVM,Undersampling
0.7242990654205608,0.7242990654205608,0.7436784267261588,0.7149668447105009,0.761089056949611,0.601433293165897,0.1661815643310547,Train,SVM,Undersampling
0.7219626168224299,0.7219626168224299,0.7337885930967871,0.7159174881431571,0.7671545185842811,0.5931738125053344,0.1671009063720703,Train,SVM,Undersampling
0.7172897196261683,0.7172897196261683,0.7278475932234251,0.705594797976565,0.8483644236261156,0.5873353766197901,0.16437816619873047,Train,SVM,Undersampling
0.735981308411215,0.735981308411215,0.7522323143204314,0.7290935698212205,0.7323242696922274,0.6158684916803463,0.16237711906433105,Train,SVM,Undersampling
0.7313084112149533,0.7313084112149533,0.7457108969289143,0.7258299268639627,0.7321281275616663,0.6091905469715786,0.16437625885009766,Train,SVM,Undersampling
0.6319018404907976,0.6319018404907976,0.6160842450262318,0.6106892214924834,0.7945405070120893,0.45347434925392993,1.6953487396240234,Validation,SVM,Oversampling
0.5828220858895705,0.5828220858895705,0.5654201035214919,0.5658301689783177,0.7523697080124294,0.37027085297011864,1.606893539428711,Validation,SVM,Oversampling
