neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,Dataset,model,sampling
-2493164.275797385,-1514.7559841149746,-0.11813918914547838,-0.0846932447462343,2.968369483947754,Validation,AdaBoost,Original
-2736694.3219743934,-1605.6005778350138,-0.08748794641149416,-0.0790579494537178,2.9379775524139404,Validation,AdaBoost,Original
-2792398.7391525498,-1591.8831411772487,-0.1175618362426274,-0.10116824827036686,2.302583932876587,Validation,AdaBoost,Original
-2353896.1105869557,-1493.3068064374725,-0.29574607554243415,-0.1322588933800357,3.0267891883850098,Validation,AdaBoost,Original
-2624459.3585193707,-1578.7572717414546,-0.2520216571856073,-0.16735093802687606,2.757580280303955,Validation,AdaBoost,Original
-2553586.159315412,-1552.6383309177527,-0.17777875326673254,-0.12040095431704634,2.9251387119293213,Validation,AdaBoost,Original
-2681641.8247556984,-1566.313268788616,-0.10822707371355422,-0.10689861508285947,2.970689535140991,Validation,AdaBoost,Original
-2603974.170208121,-1551.0379804048387,-0.07464171788761109,-0.07419847805932678,2.9250223636627197,Validation,AdaBoost,Original
-2414010.1055243625,-1496.5326233133683,-0.18365459687002184,-0.1227351472687721,2.506538152694702,Validation,AdaBoost,Original
-2476530.650032628,-1515.9280201172053,-0.09854284708678662,-0.08898381898132324,2.274766206741333,Validation,AdaBoost,Original
-1936794.5215593025,-1359.2322830294752,0.15930158101556047,0.18008779240078066,2.968369483947754,Train,AdaBoost,Original
-1911260.4692285787,-1349.942305706461,0.15271104295956173,0.18336410253956648,2.9379775524139404,Train,AdaBoost,Original
-1865424.8969970744,-1331.5695860099472,0.17529159659899518,0.18775777197252597,2.302583932876587,Train,AdaBoost,Original
-1869102.0938868467,-1331.6970276938275,0.19997832987238084,0.21375517120282217,3.0267891883850098,Train,AdaBoost,Original
-1914864.6442330386,-1348.894951201247,0.17215973593851186,0.19018439818299926,2.757580280303955,Train,AdaBoost,Original
-1872176.4669286457,-1337.5499729073292,0.18891947559436717,0.20445879863928484,2.9251387119293213,Train,AdaBoost,Original
-1907388.930357386,-1347.8894421416055,0.16419632169184162,0.18406711136671705,2.970689535140991,Train,AdaBoost,Original
-1884589.6086153148,-1337.5359838636884,0.1729816861480049,0.19706618124472886,2.9250223636627197,Train,AdaBoost,Original
-1819257.4724090875,-1306.3239542166443,0.2157299951161229,0.220549536100624,2.506538152694702,Train,AdaBoost,Original
-1932883.286943546,-1357.4130986635441,0.16011876127802227,0.17497783790210641,2.274766206741333,Train,AdaBoost,Original
