neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,Dataset,model,sampling
-3404300.3564461716,-1625.000102034209,-0.5267672800850496,-0.5222270965935676,9.806700944900513,Validation,GradientBoosting,Original
-3690456.675775698,-1698.316327896829,-0.466487184715785,-0.38617810212705383,9.766730308532715,Validation,GradientBoosting,Original
-4126883.525615955,-1821.1564521580144,-0.6516436088373612,-0.5841141050918537,9.82830286026001,Validation,GradientBoosting,Original
-3021821.5536102746,-1584.8925799181582,-0.6634181098602956,-0.5317857312313168,9.915806531906128,Validation,GradientBoosting,Original
-3510270.4641082203,-1705.7312306501926,-0.6746057161738392,-0.6471438121805422,9.877808570861816,Validation,GradientBoosting,Original
-3634381.2248964305,-1704.468705368497,-0.6762688708737721,-0.6680791281052365,9.852721929550171,Validation,GradientBoosting,Original
-4101099.3003781796,-1815.6364986665155,-0.6948383019349968,-0.6772937181990015,9.847272396087646,Validation,GradientBoosting,Original
-3772835.2353749443,-1740.4322813875795,-0.5570224102208319,-0.5560314674143187,9.876124382019043,Validation,GradientBoosting,Original
-3453195.7526614806,-1678.7615741742982,-0.6931954912599456,-0.6445558900246822,9.91801404953003,Validation,GradientBoosting,Original
-3514402.7429054626,-1710.0605837863468,-0.5589235671079276,-0.555327722044846,9.98023533821106,Validation,GradientBoosting,Original
-1085583.8891883595,-862.7221580465239,0.528783952475834,0.528783952475834,9.806700944900513,Train,GradientBoosting,Original
-1037380.771803123,-822.600456502553,0.5401143452992367,0.5401143452992365,9.766730308532715,Train,GradientBoosting,Original
-1024825.1402359384,-815.0891998592836,0.5469225769797812,0.5469225769797812,9.82830286026001,Train,GradientBoosting,Original
-1080416.477642923,-855.1811308119348,0.5375551727729122,0.5375551727729123,9.915806531906128,Train,GradientBoosting,Original
-1078735.255873187,-848.9131036289215,0.5336378047586868,0.5336378047586867,9.877808570861816,Train,GradientBoosting,Original
-1074843.6930234043,-849.1098764503296,0.5343468943279179,0.5343468943279179,9.852721929550171,Train,GradientBoosting,Original
-999407.3720965949,-808.5410165142689,0.5620671041798941,0.5620671041798941,9.847272396087646,Train,GradientBoosting,Original
-1039664.0469274463,-825.8058906231485,0.5437620991159853,0.5437620991159853,9.876124382019043,Train,GradientBoosting,Original
-1074161.806217614,-858.7711088229494,0.5369358665363619,0.5369358665363619,9.91801404953003,Train,GradientBoosting,Original
-1047072.1596541867,-825.2767869285882,0.5450236088117513,0.5450236088117513,9.98023533821106,Train,GradientBoosting,Original
