neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,Dataset,model,sampling
-2680038.620689655,-1396.551724137931,-0.20194896072705903,-0.2019482696062338,0.0028090476989746094,Validation,KNN,Original
-3247239.724137931,-1585.2413793103449,-0.29036481376586365,-0.1818294269836649,0.0018672943115234375,Validation,KNN,Original
-2621137.6551724137,-1459.8620689655172,-0.04902046039748975,2.528639930954313e-05,0.0015816688537597656,Validation,KNN,Original
-2409741.4736842103,-1402.1052631578948,-0.3264871986298361,-0.2546449431294191,0.002398252487182617,Validation,KNN,Original
-3148688.8421052634,-1565.0526315789473,-0.5021099904852522,-0.46560304471931513,0.0015027523040771484,Validation,KNN,Original
-2761434.947368421,-1524.6315789473683,-0.27364389005408984,-0.25774147256871616,0.001157999038696289,Validation,KNN,Original
-3194890.1052631577,-1585.2631578947369,-0.3203343114305499,-0.30281494180871094,0.0010902881622314453,Validation,KNN,Original
-3494743.5789473685,-1647.157894736842,-0.4422559510091202,-0.4055812728410104,0.0010111331939697266,Validation,KNN,Original
-2451122.5263157897,-1383.157894736842,-0.20185182287591918,-0.18003285870755725,0.0009629726409912109,Validation,KNN,Original
-3032367.1578947366,-1571.3684210526317,-0.345101564158822,-0.344872248566777,0.0009109973907470703,Validation,KNN,Original
-1880906.1902912622,-1212.8155339805826,0.18356085643879572,0.18406183571928236,0.0028090476989746094,Train,KNN,Original
-1879255.363106796,-1205.2660194174757,0.16689936183210086,0.16692952425514584,0.0018672943115234375,Train,KNN,Original
-1870890.5009708737,-1193.6621359223302,0.17287524119701125,0.17346840653999274,0.0015816688537597656,Train,KNN,Original
-1936304.3720930233,-1211.1627906976744,0.17121410183864938,0.17403690298902397,0.002398252487182617,Train,KNN,Original
-1856093.0232558139,-1185.4883720930231,0.197568066692143,0.19805290456606173,0.0015027523040771484,Train,KNN,Original
-1826164.465116279,-1188.9767441860465,0.20885319403285962,0.21029193590867978,0.001157999038696289,Train,KNN,Original
-1867767.0697674418,-1193.860465116279,0.18155832704660868,0.1815733767933162,0.0010902881622314453,Train,KNN,Original
-1831901.0232558139,-1172.9302325581396,0.19610312586308287,0.1966718521947216,0.0010111331939697266,Train,KNN,Original
-1941789.7674418604,-1224.8372093023256,0.16290712365278315,0.16459170914242904,0.0009629726409912109,Train,KNN,Original
-1880938.046511628,-1197.3488372093022,0.18269013595665518,0.18279065094686997,0.0009109973907470703,Train,KNN,Original
