neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,Dataset,model,sampling
-1.599174005187357e+27,-23796938832177.7,-7.17200684616273e+20,-6.858708198818343e+20,0.14670443534851074,Validation,LinearRegression,Original
-6.582133964700509e+27,-48665673684568.18,-2.615561150108045e+21,-2.601556156020971e+21,0.12588000297546387,Validation,LinearRegression,Original
-2.794379330120936e+29,-290937114748229.25,-1.1183544998577625e+23,-1.1183477319204276e+23,0.1506505012512207,Validation,LinearRegression,Original
-2.58513952692772e+31,-2811526687158203.5,-1.423038332779673e+25,-1.370862008319482e+25,0.10589790344238281,Validation,LinearRegression,Original
-5.88338624079751e+26,-12824500777118.154,-2.8067216842793917e+20,-2.516604605789214e+20,0.15031003952026367,Validation,LinearRegression,Original
-7.193747658575618e+31,-4044158328425635.5,-3.3179390159696387e+25,-3.3125072026112647e+25,0.056919097900390625,Validation,LinearRegression,Original
-4.063594204664301e+32,-1.0884322816803618e+16,-1.6793387814216166e+26,-1.6783510455600146e+26,0.1505594253540039,Validation,LinearRegression,Original
-3.5154435908447606e+27,-30975197440747.613,-1.450798699474221e+21,-1.447782900631742e+21,0.1534440517425537,Validation,LinearRegression,Original
-1.5632474338382996e+31,-2375038400483946.0,-7.665025953592862e+24,-7.520299403074787e+24,0.15066170692443848,Validation,LinearRegression,Original
-8.211058823536863e+30,-1350135249210116.2,-3.642272683960696e+24,-3.582969108134439e+24,0.15241599082946777,Validation,LinearRegression,Original
-930158.9014866505,-610.6237864077669,0.5962487970822223,0.5962544880150078,0.14670443534851074,Train,LinearRegression,Original
-913834.285618932,-601.1572815533981,0.5948842602900829,0.5949046539128673,0.12588000297546387,Train,LinearRegression,Original
-899263.9696601941,-592.1582524271845,0.6024334435289401,0.6024517945805385,0.1506505012512207,Train,LinearRegression,Original
-924364.7906976744,-636.5193798449612,0.604349133158753,0.6051977627449348,0.10589790344238281,Train,LinearRegression,Original
-928929.7135113856,-599.1235465116279,0.598402204749131,0.5984038167107839,0.15031003952026367,Train,LinearRegression,Original
-947079.9379844961,-650.4186046511628,0.5896978162455472,0.5907876150625193,0.056919097900390625,Train,LinearRegression,Original
-963756.527131783,-707.6124031007752,0.5776890399488097,0.6029517645501232,0.1505594253540039,Train,LinearRegression,Original
-904767.9496502543,-587.734617248062,0.6029588294839123,0.6029697381840597,0.1534440517425537,Train,LinearRegression,Original
-911975.9689922481,-615.6124031007752,0.6068531208458341,0.6072459320907101,0.15066170692443848,Train,LinearRegression,Original
-921517.7005813953,-607.5700096899225,0.5995798436995146,0.5997379487542307,0.15241599082946777,Train,LinearRegression,Original
