neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,Dataset,model,sampling
-3496160.774925123,-1664.7171921182264,-0.5679650201737041,-0.5637416310222805,1.6688530445098877,Validation,RandomForest,Original
-3549863.710742998,-1701.4875369458127,-0.4106193614095237,-0.33100619219879235,1.6388471126556396,Validation,RandomForest,Original
-4082914.4577556653,-1857.804334975369,-0.6340464972476552,-0.5631847207182268,1.5749804973602295,Validation,RandomForest,Original
-3138102.7557667024,-1644.1030075187969,-0.727427269260273,-0.5811223713617222,1.4763188362121582,Validation,RandomForest,Original
-3738537.8268789477,-1793.353007518797,-0.7835026899028705,-0.7524244135786025,1.533949375152588,Validation,RandomForest,Original
-3536759.29927218,-1707.1684210526316,-0.6312431608800857,-0.6177607387595652,1.6277694702148438,Validation,RandomForest,Original
-4183702.850554672,-1884.7500751879702,-0.7289754077353903,-0.7205841775949762,1.4972786903381348,Validation,RandomForest,Original
-3898995.779012675,-1812.6935338345868,-0.6090879740407871,-0.6010864988688265,1.6251556873321533,Validation,RandomForest,Original
-3391773.391326316,-1690.6045112781953,-0.6630784423799092,-0.6092697196111059,1.6280946731567383,Validation,RandomForest,Original
-3309732.111589689,-1663.5556390977445,-0.4681354890206577,-0.4680587741729747,1.7183444499969482,Validation,RandomForest,Original
-1115539.0501291421,-899.399253814147,0.5157814082394606,0.5157839807794665,1.6688530445098877,Train,RandomForest,Original
-1097826.302669899,-882.0714812760056,0.5133179815223322,0.5133664747199221,1.6388471126556396,Train,RandomForest,Original
-1072981.9283607926,-868.0329764216366,0.5256323562309846,0.5256358179730645,1.5749804973602295,Train,RandomForest,Original
-1108715.1214573213,-888.6954580690627,0.5254426571640607,0.5254516017918685,1.4763188362121582,Train,RandomForest,Original
-1107091.8663703846,-882.6602270210409,0.5213785863368587,0.5213910665423817,1.533949375152588,Train,RandomForest,Original
-1122452.3635517561,-897.4376799557032,0.5137214532220703,0.5137688338946806,1.6277694702148438,Train,RandomForest,Original
-1051019.7099866043,-863.0863925802879,0.5394509606299414,0.5394755812921972,1.4972786903381348,Train,RandomForest,Original
-1082161.4052060111,-870.1792701097353,0.5251128964322636,0.5251447557548423,1.6251556873321533,Train,RandomForest,Original
-1100083.296053088,-887.4496687808315,0.5257612817026145,0.5258032517467164,1.6280946731567383,Train,RandomForest,Original
-1104677.0822316066,-887.7248263364542,0.5199929750132088,0.5200351328500092,1.7183444499969482,Train,RandomForest,Original
