neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,Dataset,model,sampling
-3717966.8982011424,-1222.574071419391,-0.6674410640248576,-0.0004033716501807838,0.037097930908203125,Validation,SVM,Original
-5212614.4210750535,-1644.0746817146057,-1.0713513039045535,0.00024806197707760713,0.035619497299194336,Validation,SVM,Original
-5035463.263078761,-1594.851218655456,-1.0152714910358522,-6.30867125606116e-06,0.03590798377990723,Validation,SVM,Original
-2719544.7529189344,-953.2077731128917,-0.497024199584595,0.0006412615878657046,0.035834312438964844,Validation,SVM,Original
-3225538.518229922,-1068.6344375146539,-0.5387718113450177,-0.0007784185465953275,0.03536510467529297,Validation,SVM,Original
-3449727.079271396,-1137.6877190307148,-0.5911016919139318,-0.0005501361686226502,0.0360562801361084,Validation,SVM,Original
-4307312.7706307415,-1376.8120569498585,-0.7800589859907927,-0.0003424082491496616,0.03529644012451172,Validation,SVM,Original
-4564243.122283548,-1465.003394295834,-0.883630846228971,-0.0007017330801522004,0.0351719856262207,Validation,SVM,Original
-3185199.3877921165,-1073.4407625894514,-0.5617896083698348,0.00041210383779344273,0.035349369049072266,Validation,SVM,Original
-3938086.6372731444,-1300.9639725139193,-0.7468618474507769,0.0004349996453109073,0.03724408149719238,Validation,SVM,Original
-3962899.6484108497,-1291.1692317164736,-0.720163616701444,0.0005539414385924424,0.037097930908203125,Train,SVM,Original
-3797903.2300986312,-1243.7857975726783,-0.6836645337354754,0.00036017176217362223,0.035619497299194336,Train,SVM,Original
-3816475.6336173317,-1249.245850930934,-0.6872721766961194,0.0004820563185750082,0.03590798377990723,Train,SVM,Original
-4073669.363171353,-1320.8289434170629,-0.7436306866977156,0.0004442016881062161,0.035834312438964844,Train,SVM,Original
-4009494.717185444,-1307.943125613605,-0.7333972797630239,0.0007887471538616797,0.03536510467529297,Train,SVM,Original
-3986398.857350019,-1300.356661256525,-0.7270222827946162,0.0006593343168044274,0.0360562801361084,Train,SVM,Original
-3897370.4125272036,-1273.9786515540366,-0.7077988000639586,0.0005950736775302001,0.03529644012451172,Train,SVM,Original
-3870758.8514926736,-1264.2612720943691,-0.6986130264409134,0.0005635077673530331,0.0351719856262207,Train,SVM,Original
-4021582.7288304716,-1307.5054559482467,-0.7336780275549495,0.0004859045756550051,0.035349369049072266,Train,SVM,Original
-3937509.04955879,-1282.3684784275786,-0.7109361958692455,0.00046789029955096595,0.03724408149719238,Train,SVM,Original
