neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,Dataset,model,sampling
-4646051.032947756,-1840.8815160290949,-1.0836700514037445,-1.0660369471879414,1.999138355255127,Validation,XGBoost,Original
-4375118.230046564,-1776.788397427263,-0.7385530788357249,-0.6215818166152558,2.00478196144104,Validation,XGBoost,Original
-5272821.395246116,-2027.424455313847,-1.110265943766687,-1.0189347629449101,1.9801950454711914,Validation,XGBoost,Original
-4091625.285179109,-1750.963987116228,-1.2523115536050642,-1.1087326345426738,2.0114381313323975,Validation,XGBoost,Original
-4711619.298560098,-1951.2279545298793,-1.2477198524952362,-1.2023361943655044,2.088406801223755,Validation,XGBoost,Original
-4474587.351247033,-1835.5353232935856,-1.0637932629411142,-1.0494503357071912,2.1275486946105957,Validation,XGBoost,Original
-5272640.445135477,-2021.75942725466,-1.1789945388357572,-1.1656182408644313,1.9613933563232422,Validation,XGBoost,Original
-4922802.393016793,-1955.0593347382128,-1.0316057205859264,-1.025136777616673,1.974506139755249,Validation,XGBoost,Original
-4807058.623590899,-1948.9915921395286,-1.3570311591554454,-1.2831992767557057,2.0314102172851562,Validation,XGBoost,Original
-4316707.429664593,-1849.5768314830043,-0.9148109754918441,-0.9144054764766858,1.988119125366211,Validation,XGBoost,Original
-930142.1400878294,-608.4231810338289,0.5962560726508652,0.5962560726509463,1.999138355255127,Train,XGBoost,Original
-913784.8576521734,-597.2358981530643,0.5949061724109466,0.5949061724110412,2.00478196144104,Train,XGBoost,Original
-899231.0682216611,-587.6595902229976,0.602447989326461,0.602447989326463,1.9801950454711914,Train,XGBoost,Original
-915153.4892210009,-588.388459434805,0.6082917967593768,0.6082917967593775,2.0114381313323975,Train,XGBoost,Original
-928925.584103895,-597.9358269743217,0.5984039899874755,0.5984039899875215,2.088406801223755,Train,XGBoost,Original
-940897.6748596062,-614.1973138853562,0.5923761498887296,0.5923761498887297,2.1275486946105957,Train,XGBoost,Original
-858097.6796294065,-560.2739049630571,0.6239879630382608,0.6239879630382696,1.9613933563232422,Train,XGBoost,Original
-904730.2338291537,-584.9039046413214,0.6029753803948532,0.6029753803948563,1.974506139755249,Train,XGBoost,Original
-910046.5138635475,-593.514735968538,0.6076848963400445,0.6076848963400537,2.0314102172851562,Train,XGBoost,Original
-920134.8850390507,-595.1360506752665,0.6001807081378764,0.6001807081378765,1.988119125366211,Train,XGBoost,Original
