Test,Value,Num DF,Den DF,F Value,Pr > F
Wilks' lambda,0.6993068564344598,48,1136.0,4.634425834281574,1.1399987324528926e-21
Pillai's trace,0.32151490947846606,48.0,1138.0,4.541346651571089,4.991189390134998e-21
Hotelling-Lawley trace,0.40021254629132114,48,1046.8776415340449,4.72820590928653,4.0512434900947493e-22
Roy's greatest root,0.3014357232356367,24,569,7.146538605044887,1.0255080984403929e-20
Wilks' lambda,0.7093069676197796,48,1136.0,4.434217255995171,2.7730163105271465e-20
Pillai's trace,0.3114224982477693,48.0,1138.0,4.372501936272335,7.334830233034259e-20
Hotelling-Lawley trace,0.3806018816064756,48,1046.8776415340449,4.496520867157869,1.556700979160724e-20
Roy's greatest root,0.27390411498677986,24,569,6.493810059478239,2.012001899961899e-18
Wilks' lambda,0.6841251190115493,48,1136.0,4.946724079293373,7.667279537266947e-24
Pillai's trace,0.33824406668367146,48.0,1138.0,4.825740603769032,5.2843513949352284e-23
Hotelling-Lawley trace,0.4290234156542865,48,1046.8776415340449,5.068584350782203,1.863675930106617e-24
Roy's greatest root,0.3299143336513249,24,569,7.82171899365016,4.559607970560418e-23
Wilks' lambda,0.7171472645904451,48,1136.0,4.280186998262591,3.1970197170924146e-19
Pillai's trace,0.3030220240452669,48.0,1138.0,4.233494632931037,6.644251509874624e-19
Hotelling-Lawley trace,0.3662894076907043,48,1046.8776415340449,4.327429906936448,2.2086497653468113e-19
Roy's greatest root,0.25674938663531693,24,569,6.087100041478972,5.4850008220672304e-17
Wilks' lambda,0.7011922690662716,48,1136.0,4.596351288307273,2.093870532680021e-21
Pillai's trace,0.3182469026963314,48.0,1138.0,4.486451467532589,1.1972787932449834e-20
Hotelling-Lawley trace,0.39841933731405915,48,1046.8776415340449,4.707020513272722,5.658982917796996e-22
Roy's greatest root,0.30857815461597515,24,569,7.315873749020411,2.6242220506001583e-21
Wilks' lambda,0.6935212560590563,48,1136.0,4.752229531857405,1.7328349719432268e-22
Pillai's trace,0.32596720359694875,48.0,1138.0,4.616480116289379,1.5045055719227844e-21
Hotelling-Lawley trace,0.4138161329268613,48,1046.8776415340449,4.888921907107428,3.1996922107380215e-23
Roy's greatest root,0.32819371765940575,24,569,7.780926056175078,6.315152375402773e-23
Wilks' lambda,0.656239166553648,48,1136.0,5.548342069421612,4.78102197342157e-28
Pillai's trace,0.3712465815285078,48.0,1138.0,5.403910502301994,4.839537273915859e-27
Hotelling-Lawley trace,0.4819509433202057,48,1046.8776415340449,5.693882711348248,9.205327243570877e-29
Roy's greatest root,0.36819748950261705,24,569,8.729348813624545,3.432018436979121e-26
Wilks' lambda,0.7165327813334215,48,1136.0,4.292167743537633,2.644349577826522e-19
Pillai's trace,0.3004571234924541,48.0,1138.0,4.191325640910932,1.2941707419589244e-18
Hotelling-Lawley trace,0.3718982868373525,48,1046.8776415340449,4.393694534998237,7.820498786881322e-20
Roy's greatest root,0.29018834109461944,24,569,6.879881920118269,8.82255496772187e-20
Wilks' lambda,0.6812637210971734,48,1136.0,5.006751131533574,2.9242646676457687e-24
Pillai's trace,0.33978191060259444,48.0,1138.0,4.852171439793834,3.458925626729338e-23
Hotelling-Lawley trace,0.4369682958071346,48,1046.8776415340449,5.162447048579602,4.212900255343193e-25
Roy's greatest root,0.3482657902832425,24,569,8.256801444631874,1.4316123235444936e-24
Wilks' lambda,0.7010326577320861,48,1136.0,4.599568571561719,1.989050462284844e-21
Pillai's trace,0.31559399165112,48.0,1138.0,4.44204515715087,2.4278924036798045e-20
Hotelling-Lawley trace,0.4027497004178228,48,1046.8776415340449,4.758180449677284,2.5243202375602043e-22
Roy's greatest root,0.3311225380369214,24,569,7.850363505958677,3.627859459116453e-23
Wilks' lambda,0.687484036563579,48,1136.0,4.87673867104505,2.356802984690785e-23
Pillai's trace,0.33607396270807294,48.0,1138.0,4.788526264968428,9.5942250000448e-23
Hotelling-Lawley trace,0.4203122527893723,48,1046.8776415340449,4.965668607344556,9.504206973196492e-24
Roy's greatest root,0.3096479403237228,24,569,7.3412365851749275,2.1401959530571147e-21
Wilks' lambda,0.6899954936362124,48,1136.0,4.824744935280693,5.424170495626335e-23
Pillai's trace,0.33262343954773876,48.0,1138.0,4.729553938996626,2.4669226062293744e-22
Hotelling-Lawley trace,0.4165035508642832,48,1046.8776415340449,4.920671699786819,1.9366953063010515e-23
Roy's greatest root,0.31114747646930824,24,569,7.3767880879598495,1.6083717788823481e-21
Wilks' lambda,0.706209306740925,48,1136.0,4.4957795737787105,1.04090190649901e-20
Pillai's trace,0.31209488997805235,48.0,1138.0,4.383688182052749,6.140624648830479e-20
Hotelling-Lawley trace,0.39009185224623594,48,1046.8776415340449,4.608637630297045,2.667921585226318e-21
Roy's greatest root,0.3051548412841408,24,569,7.234712695444837,5.041393497519363e-21
Wilks' lambda,0.7028789446192827,48,1136.0,4.562420001470699,3.598250507267237e-21
Pillai's trace,0.31649081781998445,48.0,1138.0,4.457041212034879,1.9124058523590252e-20
Hotelling-Lawley trace,0.3951623463296307,48,1046.8776415340449,4.668541649574487,1.0381364034813924e-21
Roy's greatest root,0.3047285935729115,24,569,7.224607072624443,5.468614832192402e-21
Wilks' lambda,0.6920873215000599,48,1136.0,4.781654829838492,1.0817853434298306e-22
Pillai's trace,0.3283120059185032,48.0,1138.0,4.656210071023405,7.974011980597644e-22
Hotelling-Lawley trace,0.41542929938119383,48,1046.8776415340449,4.907980238068611,2.3671775873483703e-23
Roy's greatest root,0.32463470025569613,24,569,7.696547685228795,1.2395273936021022e-22
Wilks' lambda,0.7171237715651446,48,1136.0,4.280644764961405,3.1739234713813686e-19
Pillai's trace,0.3007565320036797,48.0,1138.0,4.196241590575891,1.1974493655623114e-18
Hotelling-Lawley trace,0.3695260642213398,48,1046.8776415340449,4.365668534576427,1.2134540777799966e-19
Roy's greatest root,0.28070061731553625,24,569,6.654943802189171,5.447486113097337e-19
Wilks' lambda,0.7120237704480056,48,1136.0,4.3805550549805465,6.506729744318494e-20
Pillai's trace,0.30630367955400406,48.0,1138.0,4.287633885973477,2.81940075843081e-19
Hotelling-Lawley trace,0.37870755267106,48,1046.8776415340449,4.474140815983649,2.2126633386554804e-20
Roy's greatest root,0.28992669211160454,24,569,6.873678658812624,9.276236163349466e-20
Wilks' lambda,0.7230695101885741,48,1136.0,4.16550340340591,1.9599116127078474e-18
Pillai's trace,0.29499747695528356,48.0,1138.0,4.101987194516752,5.297714270596275e-18
Hotelling-Lawley trace,0.35800638668896095,48,1046.8776415340449,4.229572332979536,1.0199835268300994e-18
Roy's greatest root,0.2630009805363058,24,569,6.235314913548249,1.6426570291850177e-17
Wilks' lambda,0.7323018750398391,48,1136.0,3.9895023665710094,3.12465823339269e-17
Pillai's trace,0.28053842887581554,48.0,1138.0,3.8681286609092225,2.0732206429044657e-16
Hotelling-Lawley trace,0.348022898385507,48,1046.8776415340449,4.111625035152136,6.4120085501315604e-18
Roy's greatest root,0.2869088216462302,24,569,6.802129979862707,1.6544772783947752e-19
Wilks' lambda,0.6898388982242604,48,1136.0,4.827978567927919,5.1502325888050746e-23
Pillai's trace,0.33353825096389006,48.0,1138.0,4.745165040747386,1.9214131846248566e-22
Hotelling-Lawley trace,0.41572598084249895,48,1046.8776415340449,4.911485303193425,2.2395354883822767e-23
Roy's greatest root,0.30439891257674734,24,569,7.216790885673718,5.8237662404588864e-21
Wilks' lambda,0.6774249670721089,48,1136.0,5.087877979739397,7.9397121914294955e-25
Pillai's trace,0.3460107143978571,48.0,1138.0,4.959728231167308,6.15579716634778e-24
Hotelling-Lawley trace,0.44158300328201977,48,1046.8776415340449,5.216966296800516,1.7754558241120618e-25
Roy's greatest root,0.33976059014717536,24,569,8.055157324739282,7.098340144153509e-24
Wilks' lambda,0.6986865657202206,48,1136.0,4.646985836992333,9.327352865336217e-22
Pillai's trace,0.3221493856678062,48.0,1138.0,4.552029217202259,4.209247980987482e-21
Hotelling-Lawley trace,0.4014353454794578,48,1046.8776415340449,4.742652348811716,3.2254038139311716e-22
Roy's greatest root,0.3030210647034985,24,569,7.184124409012109,7.576011324322838e-21
Wilks' lambda,0.721585625262455,48,1136.0,4.194106056756285,1.2476689728741908e-18
Pillai's trace,0.29469895718117384,48.0,1138.0,4.097118886579657,5.719908218195679e-18
Hotelling-Lawley trace,0.36326914383663683,48,1046.8776415340449,4.291747793682529,3.860240306137952e-19
Roy's greatest root,0.2837293423450656,24,569,6.726749824764263,3.0451907963929685e-19
Wilks' lambda,0.6876194816880816,48,1136.0,4.873927337456673,2.4654952264491552e-23
Pillai's trace,0.3369909093709292,48.0,1138.0,4.80423880704519,7.45874628745814e-23
Hotelling-Lawley trace,0.4185019984402447,48,1046.8776415340449,4.944281833266199,1.3331165359865836e-23
Roy's greatest root,0.2986672636712145,24,569,7.08090304287171,1.7406879906729822e-20
Wilks' lambda,0.6893480096390803,48,1136.0,4.838122360755265,4.377416166709044e-23
Pillai's trace,0.33213071719864284,48.0,1138.0,4.72115281142348,2.821965687656215e-22
Hotelling-Lawley trace,0.41948806623028934,48,1046.8776415340449,4.955931471927083,1.1087284673113834e-23
Roy's greatest root,0.3230336096924617,24,569,7.658588496458779,1.679307345901784e-22
Wilks' lambda,0.6895782962610512,48,1136.0,4.833362335866501,4.724466411136846e-23
Pillai's trace,0.33323247032074005,48.0,1138.0,4.739945039230817,2.0888897268356176e-22
Hotelling-Lawley trace,0.41708235122335985,48,1046.8776415340449,4.927509784458186,1.7381613939143435e-23
Roy's greatest root,0.3105711859934942,24,569,7.363125201262425,1.7949813345142307e-21
Wilks' lambda,0.7074738865819158,48,1136.0,4.470598721746923,1.554334635116544e-20
Pillai's trace,0.31021427197704343,48.0,1138.0,4.352423649236286,1.0089255593848326e-19
Hotelling-Lawley trace,0.38847787893200547,48,1046.8776415340449,4.589569766901727,3.602179340523992e-21
Roy's greatest root,0.307052555556684,24,569,7.279704337989716,3.510163043389777e-21
Wilks' lambda,0.681871850845305,48,1136.0,4.993962036409542,3.5911318804730474e-24
Pillai's trace,0.34105073375878525,48.0,1138.0,4.874015525412407,2.436564884121949e-23
Hotelling-Lawley trace,0.4329340831193476,48,1046.8776415340449,5.114785903404437,8.964948628746507e-25
Roy's greatest root,0.3315358709102749,24,569,7.8601629394977675,3.3550367726669104e-23
Wilks' lambda,0.690726076702701,48,1136.0,4.809673222640469,6.905896353215837e-23
Pillai's trace,0.33206595647783493,48.0,1138.0,4.720048982394938,2.872260434187563e-22
Hotelling-Lawley trace,0.4147547049104227,48,1046.8776415340449,4.900010419049619,2.6851246599195376e-23
Roy's greatest root,0.3074181273269156,24,569,7.288371435375623,3.2737894613134966e-21
Wilks' lambda,0.6923686209819093,48,1136.0,4.775875169377108,1.186694700417883e-22
Pillai's trace,0.3309119580616649,48.0,1138.0,4.700393753106656,3.933793219231781e-22
Hotelling-Lawley trace,0.4106927890106475,48,1046.8776415340449,4.8520219815598,5.733615217751506e-23
Roy's greatest root,0.29777256993797,24,569,7.0596913456127055,2.0654752386841438e-20
Wilks' lambda,0.6601425161816897,48,1136.0,5.461841456260436,1.927730394957639e-27
Pillai's trace,0.3620005446641523,48.0,1138.0,5.239580240267078,6.832630839867493e-26
