Test,Value,Num DF,Den DF,F Value,Pr > F
Wilks' lambda,0.7392251679618945,40,1144.0,4.6642442432648235,6.378669717287736e-19
Pillai's trace,0.2756196036298383,40.0,1146.0,4.579326963248413,2.0340380429481808e-18
Hotelling-Lawley trace,0.3326862654371229,40,1039.718978102193,4.7499162056393525,2.9294910522301987e-19
Roy's greatest root,0.2534551805574378,20,573,7.2614909229705935,2.0993862811143504e-18
Wilks' lambda,0.7410295870135446,40,1144.0,4.623720072110909,1.113119327091821e-18
Pillai's trace,0.2757911591645592,40.0,1146.0,4.582633218744025,1.943817743798244e-18
Hotelling-Lawley trace,0.3267746268866934,40,1039.718978102193,4.665512998564745,9.207314779872063e-19
Roy's greatest root,0.22660327834702695,20,573,6.492183924642322,4.682784426013608e-16
Wilks' lambda,0.7072852587262521,40,1144.0,5.407031981332844,2.194136894411899e-23
Pillai's trace,0.311399120805685,40.0,1146.0,5.283418314539577,1.2114837050062257e-22
Hotelling-Lawley trace,0.38743966223092396,40,1039.718978102193,5.5316558617774305,6.80729106166751e-24
Roy's greatest root,0.2991254183962232,20,573,8.569943237051794,2.33328392251734e-22
Wilks' lambda,0.7506511708155547,40,1144.0,4.410108360632853,2.0753252744948994e-17
Pillai's trace,0.2644904643391072,40.0,1146.0,4.366240373568334,3.7545220203484784e-17
Hotelling-Lawley trace,0.3120053669873399,40,1039.718978102193,4.454645420821301,1.5949775118489958e-17
Roy's greatest root,0.22054339696956962,20,573,6.3185683231781695,1.5921506594732373e-15
Wilks' lambda,0.7271789845679143,40,1144.0,4.9386342539692105,1.4520317289989015e-20
Pillai's trace,0.28846097644171087,40.0,1146.0,4.828640691974008,6.582326636518548e-20
Hotelling-Lawley trace,0.35366953649695526,40,1039.718978102193,5.049504104537026,4.963558867165718e-21
Roy's greatest root,0.275641734650864,20,573,7.897135697747253,2.4755211427074867e-20
Wilks' lambda,0.7446752277782723,40,1144.0,4.542295077046431,3.4017014694117314e-18
Pillai's trace,0.26871039872796565,40.0,1146.0,4.446715857300732,1.250972886560914e-17
Hotelling-Lawley trace,0.3248921633089792,40,1039.718978102193,4.638636192446638,1.3253437383891598e-18
Roy's greatest root,0.25417181165653824,20,573,7.28202240395982,1.81807156246051e-18
Wilks' lambda,0.711953538476152,40,1144.0,5.29535655243604,1.0356416141321546e-22
Pillai's trace,0.3083933783750953,40.0,1146.0,5.223123495437375,2.798440852397384e-22
Hotelling-Lawley trace,0.37600704288313325,40,1039.718978102193,5.368427049666337,6.358698299327371e-23
Roy's greatest root,0.27026121861627117,20,573,7.742983913356169,7.246577680331561e-20
Wilks' lambda,0.7406413290017431,40,1144.0,4.632427178313599,9.876543122514803e-19
Pillai's trace,0.273405070862102,40.0,1146.0,4.536706987845912,3.649250495479113e-18
Hotelling-Lawley trace,0.3312160171577928,40,1039.718978102193,4.728924788638331,3.895451001954215e-19
Roy's greatest root,0.25759076484625837,20,573,7.379975412845302,9.155563816789266e-19
Wilks' lambda,0.7176559290060142,40,1144.0,5.160424171730246,6.73650309694748e-22
Pillai's trace,0.299058819340127,40.0,1146.0,5.037231899324529,3.682877084341341e-21
Hotelling-Lawley trace,0.3701346451854069,40,1039.718978102193,5.284584102456781,2.001735531481139e-22
Roy's greatest root,0.2897533244747925,20,573,8.301432746202805,1.4938887247473886e-21
Wilks' lambda,0.7380592299235648,40,1144.0,4.6905082211844356,4.4451883470949795e-19
Pillai's trace,0.2749975918196209,40.0,1146.0,4.5673449313864865,2.397463096437012e-18
Hotelling-Lawley trace,0.33721405849639563,40,1039.718978102193,4.814561608417742,1.2171634560004564e-19
Roy's greatest root,0.2722293228964517,20,573,7.7993701009833405,4.891167549875666e-20
Wilks' lambda,0.726551498776112,40,1144.0,4.953113939571827,1.1886485239800037e-20
Pillai's trace,0.2907136769442471,40.0,1146.0,4.8727628204283056,3.580054145985464e-20
Hotelling-Lawley trace,0.35260174390263316,40,1039.718978102193,5.0342587341236475,6.110798571519464e-21
Roy's greatest root,0.2618509458522642,20,573,7.502029598667369,3.898074134714335e-19
Wilks' lambda,0.7397631546784796,40,1144.0,4.652146468294615,7.532559803915482e-19
Pillai's trace,0.2763820397665394,40.0,1146.0,4.594025835190781,1.662452258752818e-18
Hotelling-Lawley trace,0.32995918941460384,40,1039.718978102193,4.7109804756766085,4.96957164577704e-19
Roy's greatest root,0.23841971358667635,20,573,6.830724794258277,4.320161419603569e-17
Wilks' lambda,0.7492532077373575,40,1144.0,4.440889281521929,1.3628902796343422e-17
Pillai's trace,0.26456543636284086,40.0,1146.0,4.367666698944552,3.6821805487641587e-17
Hotelling-Lawley trace,0.3162190641504689,40,1039.718978102193,4.514806330723925,7.079353014368161e-18
Roy's greatest root,0.23907496291455937,20,573,6.849497687502126,3.785911864019191e-17
Wilks' lambda,0.7414221606471693,40,1144.0,4.614923138221964,1.2560396258869017e-18
Pillai's trace,0.2728566807264032,40.0,1146.0,4.526169783118679,4.216189929565966e-18
Hotelling-Lawley trace,0.3295005341707289,40,1039.718978102193,4.704432041905768,5.431320882585292e-19
Roy's greatest root,0.2535417704589884,20,573,7.263971723650017,2.0632039545049917e-18
Wilks' lambda,0.7322096980259977,40,1144.0,4.823220550652371,7.145375863976777e-20
Pillai's trace,0.2819205853381019,40.0,1146.0,4.701194078113148,3.8112088617493315e-19
Hotelling-Lawley trace,0.3464308370863677,40,1039.718978102193,4.946153833695742,2.0306327899740927e-20
Roy's greatest root,0.27668253318799035,20,573,7.926954575835923,2.011544137810815e-20
Wilks' lambda,0.7528141539677081,40,1144.0,4.362651980826479,3.9657038995712426e-17
Pillai's trace,0.26044751326878235,40.0,1146.0,4.289506244891798,1.067986192171431e-16
Hotelling-Lawley trace,0.3107329711628081,40,1039.718978102193,4.436478835137368,2.0378440599357766e-17
Roy's greatest root,0.23612923177268083,20,573,6.765102490287306,6.854213950618317e-17
Wilks' lambda,0.7427317508832412,40,1144.0,4.585627817348618,1.877712142692081e-18
Pillai's trace,0.27170959460746213,40.0,1146.0,4.504150379597658,5.70060715166983e-18
Hotelling-Lawley trace,0.32693755630790083,40,1039.718978102193,4.667839217524075,8.921479732174742e-19
Roy's greatest root,0.24878282531888077,20,573,7.1276279453859335,5.367167226855374e-18
Wilks' lambda,0.7537686343341,40,1144.0,4.341775435299915,5.27118266928054e-17
Pillai's trace,0.2609681149132352,40.0,1146.0,4.299367111311564,9.338677124354495e-17
Hotelling-Lawley trace,0.307116276631852,40,1039.718978102193,4.384841608872965,4.086690000359364e-17
Roy's greatest root,0.21703523968072952,20,573,6.2180596168529005,3.2346013270354835e-15
Wilks' lambda,0.7627132177591562,40,1144.0,4.148046377174831,7.32245029243358e-16
Pillai's trace,0.24740897630341738,40.0,1146.0,4.044450231259466,2.9531303294226393e-15
Hotelling-Lawley trace,0.29783748713006086,40,1039.718978102193,4.252364025028724,2.42462978909097e-16
Roy's greatest root,0.2432876718690678,20,573,6.970191799048792,1.6209668084618186e-17
Wilks' lambda,0.7194777822455318,40,1144.0,5.117653202581913,1.2187949843581085e-21
Pillai's trace,0.2990187657478028,40.0,1146.0,5.036438654445716,3.72355040424904e-21
Hotelling-Lawley trace,0.3641886882779568,40,1039.718978102193,5.199690916272428,6.387515579327772e-22
Roy's greatest root,0.2684080388039903,20,573,7.689890311734321,1.049499300412018e-19
Wilks' lambda,0.7281654962620822,40,1144.0,4.915907642435659,1.9877546801329743e-20
Pillai's trace,0.2879477971821592,40.0,1146.0,4.818605633456034,7.559685246758432e-20
Hotelling-Lawley trace,0.3511855637301947,40,1039.718978102193,5.014039272576799,8.050814086970153e-21
Roy's greatest root,0.2688891413905493,20,573,7.703673900839237,9.532684012312283e-20
Wilks' lambda,0.7425880541054856,40,1144.0,4.588838505352003,1.7967871645624836e-18
Pillai's trace,0.2726448175055062,40.0,1146.0,4.522100666206008,4.457943108851859e-18
Hotelling-Lawley trace,0.3261284273893274,40,1039.718978102193,4.65628690845074,1.043391136881705e-18
Roy's greatest root,0.2410175232951596,20,573,6.905152042406322,2.5600913828649908e-17
Wilks' lambda,0.7531952878709637,40,1144.0,4.354311000651918,4.443324543643319e-17
Pillai's trace,0.2597707056887112,40.0,1146.0,4.276695457495435,1.2713117447605049e-16
Hotelling-Lawley trace,0.31046226965963486,40,1039.718978102193,4.432613904148634,2.1468636607027038e-17
Roy's greatest root,0.23818928588080693,20,573,6.8241230404851185,4.525457207272861e-17
Wilks' lambda,0.7338237962271403,40,1144.0,4.786441926860147,1.1864390071584043e-19
Pillai's trace,0.28434783896882043,40.0,1146.0,4.748378355179103,1.990355320157063e-19
Hotelling-Lawley trace,0.3379620146579901,40,1039.718978102193,4.825240525650461,1.0526802254591172e-19
Roy's greatest root,0.23055730208267322,20,573,6.605466704668587,2.1083687468318674e-16
Wilks' lambda,0.7315956494163566,40,1144.0,4.837244128737465,5.888631066162747e-20
Pillai's trace,0.28344168103018347,40.0,1146.0,4.7307476080325035,2.5373753326268743e-19
Hotelling-Lawley trace,0.34632111377265773,40,1039.718978102193,4.944587263025195,2.0744309633157058e-20
Roy's greatest root,0.2702709238096611,20,573,7.743261967146791,7.232539679207835e-20
Wilks' lambda,0.7268233767959263,40,1144.0,4.946837856748929,1.2963785523815557e-20
Pillai's trace,0.2902203766629886,40.0,1146.0,4.863090937513007,4.09153454963021e-20
Hotelling-Lawley trace,0.35240042893814943,40,1039.718978102193,5.031384466948889,6.355087796775035e-21
Roy's greatest root,0.26336021702208867,20,573,7.54527021768284,2.881257309835096e-19
Wilks' lambda,0.7527135497835543,40,1144.0,4.364854724428023,3.848358196247641e-17
Pillai's trace,0.25996603980290856,40.0,1146.0,4.2803917686237,1.2089755359054333e-16
Hotelling-Lawley trace,0.3116814632836685,40,1039.718978102193,4.450020897325827,1.6976528860687166e-17
Roy's greatest root,0.2421028968261546,20,573,6.936247994069329,2.0575392759123666e-17
Wilks' lambda,0.7200900918633225,40,1144.0,5.103314695279037,1.4866905866441616e-21
Pillai's trace,0.29680854419513675,40.0,1146.0,4.9927239607788,6.819256649343066e-21
Hotelling-Lawley trace,0.36524773087440204,40,1039.718978102193,5.2148113589053935,5.195239444137659e-22
Roy's greatest root,0.2820426000214841,20,573,8.08052049061552,6.915651087492269e-21
Wilks' lambda,0.7282642965610862,40,1144.0,4.913634090079917,2.0511804721698762e-20
Pillai's trace,0.28895852186249354,40.0,1146.0,4.8383757829014655,5.754946990235575e-20
Hotelling-Lawley trace,0.34947873487298664,40,1039.718978102193,4.989670084872422,1.1223162348065075e-20
Roy's greatest root,0.25771354781771405,20,573,7.383493144977507,8.932869861207143e-19
Wilks' lambda,0.7369208018318588,40,1144.0,4.716212627946355,3.1210669557387087e-19
Pillai's trace,0.27935887791259095,40.0,1146.0,4.651540492352097,7.544718584949887e-19
Hotelling-Lawley trace,0.334906434735171,40,1039.718978102193,4.7816145930501035,1.904620730050195e-19
Roy's greatest root,0.24458355090266673,20,573,7.0073187333614015,1.2488726597999228e-17
Wilks' lambda,0.6985750335760872,40,1144.0,5.618384576384239,1.1588946094366028e-24
Pillai's trace,0.31771016060064367,40.0,1146.0,5.410718110535789,2.0649186091663999e-23
Hotelling-Lawley trace,0.4081734366994453,40,1039.718978102193,5.827681582053862,1.178751116115836e-25
Roy's greatest root,0.33950964848354337,20,573,9.726951429053518,8.482341172782044e-26
Wilks' lambda,0.7511673890501006,40,1144.0,4.398763786340996,2.422995428460083e-17
Pillai's trace,0.262277657373549,40.0,1146.0,4.324197657719521,6.659577133886907e-17
Hotelling-Lawley trace,0.31336233169535266,40,1039.718978102193,4.474019435701662,1.2280343116534811e-17
Roy's greatest root,0.23822942818886705,20,573,6.825273117611041,4.489003394025117e-17
Wilks' lambda,0.7584289028488574,40,1144.0,4.240411897530631,2.0930645296703286e-16
Pillai's trace,0.2544051687878623,40.0,1146.0,4.175486748383065,5.023567648121903e-16
Hotelling-Lawley trace,0.30159323392769793,40,1039.718978102193,4.305986565036303,1.1803714949902103e-16
Roy's greatest root,0.22707047732845947,20,573,6.505569175460364,4.261331940609322e-16
Wilks' lambda,0.7411631625485513,40,1144.0,4.620726078089758,1.1598398402783602e-18
Pillai's trace,0.2720214024337247,40.0,1146.0,4.510132932608444,5.25214247458591e-18
Hotelling-Lawley trace,0.3314415568421899,40,1039.718978102193,4.73214492338157,3.7288502305859017e-19
Roy's greatest root,0.2640790938187964,20,573,7.565866037908517,2.4950467845924705e-19
Wilks' lambda,0.7470943300429409,40,1144.0,4.488593954731733,7.097548541660299e-18
Pillai's trace,0.2667754253087308,40.0,1146.0,4.409766654997127,2.0727098283787662e-17
Hotelling-Lawley trace,0.31995412760213077,40,1039.718978102193,4.56813356500223,3.442500919690034e-18
Roy's greatest root,0.24380861546106314,20,573,6.985116832959458,1.4596249808078002e-17
Wilks' lambda,0.7748205084816872,40,1144.0,3.891179647238637,2.325808304185601e-14
Pillai's trace,0.2365795810427731,40.0,1146.0,3.843669339432694,4.3712358797227194e-14
Hotelling-Lawley trace,0.27590829057011884,40,1039.718978102193,3.9392707087781744,1.5789852712147132e-14
Roy's greatest root,0.20366674423285458,20,573,5.835052222271283,4.8242717838239383e-14
Wilks' lambda,0.742250766721298,40,1144.0,4.596378346079265,1.620171632229409e-18
Pillai's trace,0.27059807373271766,40.0,1146.0,4.48284155041711,7.631685691741824e-18
Hotelling-Lawley trace,0.32994293007802594,40,1039.718978102193,4.710748333582606,4.985249878383287e-19
Roy's greatest root,0.2644950201590648,20,573,7.577782327557205,2.295734952593968e-19
Wilks' lambda,0.7020523627168812,40,1144.0,5.533535996340253,3.7759595723197535e-24
Pillai's trace,0.31953101396274347,40.0,1146.0,5.447624220438687,1.2358268418713989e-23
Hotelling-Lawley trace,0.393651920113179,40,1039.718978102193,5.62035115056479,2.0199759938822536e-24
Roy's greatest root,0.28625303028492266,20,573,8.201149317663035,2.9936444059917535e-21
Wilks' lambda,0.7132365585440291,40,1144.0,5.264856154453056,1.5817667264005036e-22
Pillai's trace,0.3028254713988648,40.0,1146.0,5.1119962086212,1.3072553743565063e-21
Hotelling-Lawley trace,0.3795394505094854,40,1039.718978102193,5.418860872677601,3.188896883999576e-23
Roy's greatest root,0.3059275017447461,20,573,8.764822924986975,6.08931552849828e-23
Wilks' lambda,0.7159616771742504,40,1144.0,5.200345904670366,3.8722616905130116e-22
Pillai's trace,0.30043364230980496,40.0,1146.0,5.064482368240024,2.525155439761375e-21
Hotelling-Lawley trace,0.373823085612661,40,1039.718978102193,5.337245678178668,9.741518980151395e-23
Roy's greatest root,0.2966211971752693,20,573,8.498197299071466,3.8294988752281305e-22
Wilks' lambda,0.7746677200183496,40,1144.0,3.8943836226521436,2.2281595936541502e-14
Pillai's trace,0.2355264740616858,40.0,1146.0,3.8242758435714843,5.663041783079509e-14
Hotelling-Lawley trace,0.27771660073369137,40,1039.718978102193,3.9650887921892517,1.1211262628930922e-14
Roy's greatest root,0.2171027038668412,20,573,6.219992465784999,3.1908029845654938e-15
Wilks' lambda,0.7189683015124321,40,1144.0,5.129597715591146,1.032844979327128e-21
Pillai's trace,0.29946242912706905,40.0,1146.0,5.04522731014193,3.2968966254870136e-21
Hotelling-Lawley trace,0.3652469341077422,40,1039.718978102193,5.214799983098025,5.196047095659533e-22
Roy's greatest root,0.2704662868967899,20,573,7.748859119593031,6.955679671800739e-20
Wilks' lambda,0.7274628162618004,40,1144.0,4.93209078819323,1.5894617934580878e-20
Pillai's trace,0.2871807645129315,40.0,1146.0,4.803617762358791,9.295667602198229e-20
Hotelling-Lawley trace,0.35451104468638084,40,1039.718978102193,5.061518707486981,4.213215905389661e-21
Roy's greatest root,0.28350926568065055,20,573,8.122540461750638,5.165388846867735e-21
Wilks' lambda,0.6957995217891756,40,1144.0,5.6865644212505355,4.483795976087989e-25
Pillai's trace,0.323786425412787,40.0,1146.0,5.5341880227648135,3.704881956984297e-24
Hotelling-Lawley trace,0.4090467470816957,40,1039.718978102193,5.840150239669631,9.935734401138605e-26
Roy's greatest root,0.3214890672259323,20,573,9.21066177602296,2.8573970827576237e-24
Wilks' lambda,0.7756502801513429,40,1144.0,3.8737958627606885,2.9348844580406016e-14
Pillai's trace,0.23195932643093958,40.0,1146.0,3.7587566856316657,1.3554793990608855e-13
Hotelling-Lawley trace,0.2794302004559127,40,1039.718978102193,3.9895546506756663,8.101573476126283e-15
Roy's greatest root,0.23825287893863714,20,573,6.825944981591954,4.4678435911902706e-17
Wilks' lambda,0.7686743042020889,40,1144.0,4.020818316464423,4.079846972792395e-15
Pillai's trace,0.24106928428167604,40.0,1146.0,3.9266100324192927,1.440387885884447e-14
Hotelling-Lawley trace,0.28826527191403406,40,1039.718978102193,4.1156970660884955,1.509900859145197e-15
Roy's greatest root,0.23412364641153954,20,573,6.707642469690607,1.0269569304160321e-16
Wilks' lambda,0.7200297554377091,40,1144.0,5.104726786185915,1.4578851111169402e-21
Pillai's trace,0.29330128482713563,40.0,1146.0,4.923588291004439,1.7739992786378967e-20
Hotelling-Lawley trace,0.37031692410455297,40,1039.718978102193,5.2871865831779505,1.9317571029368952e-22
Roy's greatest root,0.31073348950561414,20,573,8.902514474335845,2.3622775570136268e-23
Wilks' lambda,0.7216224834177744,40,1144.0,5.067510570870748,2.4412755226793245e-21
Pillai's trace,0.29492591981161836,40.0,1146.0,4.955578001437524,1.1399556647944825e-20
Hotelling-Lawley trace,0.36283391852308794,40,1039.718978102193,5.180348239756742,8.319448078723388e-22
Roy's greatest root,0.28131639028558364,20,573,8.059714581681972,7.991104351465799e-21
Wilks' lambda,0.74065328206063,40,1144.0,4.63215901588772,9.91299023534301e-19
Pillai's trace,0.27345757967498857,40.0,1146.0,4.537716285136865,3.5991133134408754e-18
Hotelling-Lawley trace,0.3311074994786513,40,1039.718978102193,4.7273754313720335,3.9782388313272405e-19
Roy's greatest root,0.25696562678612483,20,573,7.362065207422476,1.0378597218941897e-18
Wilks' lambda,0.7073030701474399,40,1144.0,5.406603793326268,2.2072378330007235e-23
Pillai's trace,0.3129542117346996,40.0,1146.0,5.3146975787886275,7.845095860461748e-23
Hotelling-Lawley trace,0.3851809209786544,40,1039.718978102193,5.499406764675677,1.0586810984014984e-23
Roy's greatest root,0.2845193082554237,20,573,8.15147818151789,4.225388345918905e-21
Wilks' lambda,0.7223791182808212,40,1144.0,5.049873927172919,3.116575400202788e-21
Pillai's trace,0.2957478987884114,40.0,1146.0,4.971786330358182,9.110337079174048e-21
Hotelling-Lawley trace,0.3592211597526675,40,1039.718978102193,5.128767206172028,1.6827573134938843e-21
Roy's greatest root,0.26426555622552844,20,573,7.57120818586139,2.4036362715854803e-19
Wilks' lambda,0.7214832196521486,40,1144.0,5.070759737267817,2.3338580965718163e-21
Pillai's trace,0.2986042895944907,40.0,1146.0,5.02823231806736,4.1715839112186436e-21
Hotelling-Lawley trace,0.3581916586026903,40,1039.718978102193,5.114068540479964,2.0566888742739294e-21
Roy's greatest root,0.24416005049197193,20,573,6.995185446594995,1.3599634538113005e-17
Wilks' lambda,0.7226791873871772,40,1144.0,5.042887192163066,3.43309585824668e-21
Pillai's trace,0.29566369905426776,40.0,1146.0,4.97012530520201,9.322070756820934e-21
Hotelling-Lawley trace,0.35835808017068255,40,1039.718978102193,5.116444618439587,1.991049197192957e-21
Roy's greatest root,0.2611750474759489,20,573,7.482665110185935,4.463286442288382e-19
Wilks' lambda,0.7615826410236832,40,1144.0,4.172344757202747,5.2693830138483245e-16
Pillai's trace,0.2514477293859093,40.0,1146.0,4.119966882303306,1.0652119895126647e-15
Hotelling-Lawley trace,0.29594554343277835,40,1039.718978102193,4.22535186684398,3.4828078961192857e-16
Roy's greatest root,0.21715619711426126,20,573,6.221525047323585,3.1564968053849492e-15
Wilks' lambda,0.7316805854177922,40,1144.0,4.835303317202555,6.048427226004053e-20
Pillai's trace,0.2839301790329883,40.0,1146.0,4.740249802138724,2.2261503456245564e-19
Hotelling-Lawley trace,0.34538110641152214,40,1039.718978102193,4.931166341688957,2.4905002964497404e-20
Roy's greatest root,0.2648129516513061,20,573,7.586891064809919,2.1542030841758146e-19
Wilks' lambda,0.7291131502796312,40,1144.0,4.894119658218758,2.68575413752688e-20
Pillai's trace,0.2873521159667038,40.0,1146.0,4.806964816993293,8.876343867348185e-20
Hotelling-Lawley trace,0.3489466393199155,40,1039.718978102193,4.9820731097248,1.2447521961700204e-20
Roy's greatest root,0.26312062803459646,20,573,7.538405993191188,3.02284775613051e-19
Wilks' lambda,0.7224199310128009,40,1144.0,5.048923397831253,3.1578611134919188e-21
Pillai's trace,0.2961621066316016,40.0,1146.0,4.979959882345906,8.136378932978428e-21
Hotelling-Lawley trace,0.3585145152068171,40,1039.718978102193,5.118678114049299,1.931258233524e-21
Roy's greatest root,0.2593274180829316,20,573,7.429730528075989,6.46339911839507e-19
Wilks' lambda,0.7277783631378536,40,1144.0,4.92482065336218,1.7574397323708516e-20
Pillai's trace,0.2862941738119641,40.0,1146.0,4.786310435763655,1.1800975663085385e-19
Hotelling-Lawley trace,0.3547084016063706,40,1039.718978102193,5.06433646382364,4.054326047805944e-21
Roy's greatest root,0.28743697775859883,20,573,8.235069412783856,2.3661800582316115e-21
Wilks' lambda,0.7015908653553896,40,1144.0,5.544760449206239,3.2298508636112115e-24
Pillai's trace,0.31795251849305495,40.0,1146.0,5.415625750745735,1.9286818461275208e-23
Hotelling-Lawley trace,0.39747631357045526,40,1039.718978102193,5.674953790789776,9.55963478449617e-25
Roy's greatest root,0.30663181787832683,20,573,8.785001582214063,5.299701813504777e-23
Wilks' lambda,0.7428586620798181,40,1144.0,4.582792952625234,1.952183367963639e-18
Pillai's trace,0.2722582334338215,40.0,1146.0,4.5146783731353475,4.935101622429649e-18
Hotelling-Lawley trace,0.32580146770979906,40,1039.718978102193,4.65161875336973,1.1115391172843483e-18
Roy's greatest root,0.24155836965743052,20,573,6.920647290685384,2.2959371934553258e-17
Wilks' lambda,0.7490047873812237,40,1144.0,4.446368117672088,1.2645543942351306e-17
Pillai's trace,0.2638887521069272,40.0,1146.0,4.354797399670502,4.388635206792204e-17
Hotelling-Lawley trace,0.317890722652268,40,1039.718978102193,4.538673374942168,5.127464170716e-18
Roy's greatest root,0.2486638069200188,20,573,7.124218068258538,5.497122459596383e-18
Wilks' lambda,0.7733145125038667,40,1144.0,3.922801830201755,1.522649814191473e-14
Pillai's trace,0.23781685516173617,40.0,1146.0,3.8664839805905027,3.222411729647445e-14
Hotelling-Lawley trace,0.2787405594298254,40,1039.718978102193,3.979708325695637,9.233508893430527e-15
Roy's greatest root,0.2102907607893358,20,573,6.0248302966144704,1.2643106882807565e-14
Wilks' lambda,0.7361601894818848,40,1144.0,4.7334196033517015,2.4628693076624577e-19
Pillai's trace,0.275966495891018,40.0,1146.0,4.5860130261006065,1.855718101325119e-18
Hotelling-Lawley trace,0.3419271087212285,40,1039.718978102193,4.881852013723509,4.87367785852536e-20
Roy's greatest root,0.28390445719035573,20,573,8.133862698503691,4.774929710446913e-21
