Test,Value,Num DF,Den DF,F Value,Pr > F
Wilks' lambda,0.8679088663141944,18,1166.0,4.7549044759678525,2.3897702203779687e-10
Pillai's trace,0.13530800974965468,18.0,1168.0,4.7085451411432695,3.2789477253718627e-10
Hotelling-Lawley trace,0.14848823721464582,18,967.8958810068611,4.802794520057915,2.0912701419258641e-10
Roy's greatest root,0.1167379014593284,9,584,7.57499271691642,1.5341450212062686e-10
Wilks' lambda,0.8674158025339782,18,1166.0,4.774663844218988,2.0866533731421113e-10
Pillai's trace,0.13588387029106017,18.0,1168.0,4.730045097826347,2.829585077874376e-10
Hotelling-Lawley trace,0.14904561833356617,18,967.8958810068611,4.820822796463841,1.8506965651249024e-10
Roy's greatest root,0.1163512975594821,9,584,7.549906419415283,1.6804032868079025e-10
Wilks' lambda,0.8364181572702137,18,1166.0,6.051745584852049,2.8418654248316957e-14
Pillai's trace,0.1682161614100969,18.0,1168.0,5.958868932623491,5.4523714776395784e-14
Hotelling-Lawley trace,0.1900335647521411,18,967.8958810068611,6.146562047869962,2.049665331265839e-14
Roy's greatest root,0.1540719846357715,9,584,9.997559891921172,2.3783453690648768e-14
Wilks' lambda,0.8637013736001952,18,1166.0,4.924061797666206,7.463732814563055e-11
Pillai's trace,0.13916806833030915,18.0,1168.0,4.852916144159164,1.2164356188971987e-10
Hotelling-Lawley trace,0.15448532160267742,18,967.8958810068611,4.99676789179057,5.598330066677822e-11
Roy's greatest root,0.12866412539440683,9,584,8.348872136703731,9.250540108861775e-12
Wilks' lambda,0.8350480829079652,18,1166.0,6.10982723562845,1.8868060250264947e-14
Pillai's trace,0.16800602191001243,18.0,1168.0,5.9507423161669015,5.773450336913267e-14
Hotelling-Lawley trace,0.19387843117999315,18,967.8958810068611,6.270922763280362,8.648121251356456e-15
Roy's greatest root,0.17270075971129925,9,584,11.206360407933195,3.0976597121984006e-16
Wilks' lambda,0.8672869854842407,18,1166.0,4.779828920957779,2.013940063451778e-10
Pillai's trace,0.13463543208929699,18.0,1168.0,4.683451022732279,3.8939629271019683e-10
Hotelling-Lawley trace,0.1508042886971215,18,967.8958810068611,4.877706308202633,1.2580698114954349e-10
Roy's greatest root,0.1342994768613407,9,584,8.71454383189144,2.4569866030703713e-12
Wilks' lambda,0.8381192920368995,18,1166.0,5.979827560746002,4.717024908199603e-14
Pillai's trace,0.16610113296156048,18.0,1168.0,5.877160488389866,9.689647154600104e-14
Hotelling-Lawley trace,0.18811198413232466,18,967.8958810068611,6.084409266991009,3.1536826187191254e-14
Roy's greatest root,0.15578880178248056,9,584,10.108962248996516,1.5920848680851457e-14
Wilks' lambda,0.8387053592760462,18,1166.0,5.9551013796031125,5.614091954199691e-14
Pillai's trace,0.1652038559308671,18.0,1168.0,5.842553509917409,1.2359101020977817e-13
Hotelling-Lawley trace,0.18765281964204059,18,967.8958810068611,6.069557769396936,3.4955631129457604e-14
Roy's greatest root,0.15818776328983464,9,584,10.264628195695936,9.090319949823404e-15
Wilks' lambda,0.841419770980846,18,1166.0,5.840917438349789,1.2534443096115103e-13
Pillai's trace,0.16173960160269787,18.0,1168.0,5.7092580825223855,3.1514129848061603e-13
Hotelling-Lawley trace,0.18471262715212375,18,967.8958810068611,5.974458382109609,6.754262491830191e-14
Roy's greatest root,0.1614567999378186,9,584,10.476752351520673,4.2390531436833465e-15
Wilks' lambda,0.8648114129394504,18,1166.0,4.879314106659485,1.0159946330835748e-10
Pillai's trace,0.1376271615057011,18.0,1168.0,4.795212540930719,1.8090016812697528e-10
Hotelling-Lawley trace,0.15350168907251988,18,967.8958810068611,4.964952678584406,6.952235159259323e-11
Roy's greatest root,0.13216669210700477,9,584,8.57614979894342,4.057371633878376e-12
Wilks' lambda,0.8232706836314432,18,1166.0,6.615072334914775,5.290918224333163e-16
Pillai's trace,0.18240279903614018,18.0,1168.0,6.511847043669477,1.0961252952291306e-15
Hotelling-Lawley trace,0.2077759321471852,18,967.8958810068611,6.720432049266729,3.7963455169365985e-16
Roy's greatest root,0.16634847738280162,9,584,10.79416786572846,1.3561218181507541e-15
Wilks' lambda,0.8440067144176109,18,1166.0,5.732608600924685,2.681830381561173e-13
Pillai's trace,0.15932581385628994,18.0,1168.0,5.616678448733032,6.030196383118984e-13
Hotelling-Lawley trace,0.1808762355804581,18,967.8958810068611,5.8503717826400665,1.59359197710363e-13
Roy's greatest root,0.15548111392194788,9,584,10.088996725601952,1.7107952053837752e-14
Wilks' lambda,0.8615282591197688,18,1166.0,5.011914215001502,4.0693619721291005e-11
Pillai's trace,0.14172461915563858,18.0,1168.0,4.948864500928648,6.278811613827912e-11
Hotelling-Lawley trace,0.15695232416749502,18,967.8958810068611,5.076562134227075,3.2495922169440616e-11
Roy's greatest root,0.12729010496040563,9,584,8.259713477430765,1.2782799927813836e-11
Wilks' lambda,0.8643294140603415,18,1166.0,4.898733763210647,8.887643043178632e-11
Pillai's trace,0.13783574736924215,18.0,1168.0,4.803018038459355,1.7145202475013822e-10
Hotelling-Lawley trace,0.15446127638177828,18,967.8958810068611,4.995990158433811,5.6280613340101794e-11
Roy's greatest root,0.13604860039395475,9,584,8.828042514452175,1.6286028880480752e-12
Wilks' lambda,0.8448477109314714,18,1166.0,5.697505378836894,3.4305922565799063e-13
Pillai's trace,0.15934956959391913,18.0,1168.0,5.617588405198096,5.99188664124695e-13
Hotelling-Lawley trace,0.17867718239622787,18,967.8958810068611,5.779244259136171,2.6050536043170457e-13
Roy's greatest root,0.14423205730467722,9,584,9.359057940659055,2.3835907717268023e-13
Wilks' lambda,0.8366597929527698,18,1166.0,6.041516710292278,3.054330041340619e-14
Pillai's trace,0.16912331798002297,18.0,1168.0,5.9939723394249835,4.258066809504566e-14
Hotelling-Lawley trace,0.18831680145448512,18,967.8958810068611,6.091034003946188,3.0121534193667445e-14
Roy's greatest root,0.13835865932298716,9,584,8.977939671624943,9.463629360650558e-13
Wilks' lambda,0.8567515999137444,18,1166.0,5.206193523436321,1.0589467841711232e-11
Pillai's trace,0.1456684980623044,18.0,1168.0,5.09739869893759,2.2479840395297434e-11
Hotelling-Lawley trace,0.16437471739111456,18,967.8958810068611,5.316636568194419,6.2900055891129615e-12
Roy's greatest root,0.14487726930360348,9,584,9.400925030367159,2.0488298293640313e-13
Wilks' lambda,0.8682239524225434,18,1166.0,4.742286320089715,2.6058785346974775e-10
Pillai's trace,0.13476055308375268,18.0,1168.0,4.688117962610021,3.7714797791587273e-10
Hotelling-Lawley trace,0.1483390796945911,18,967.8958810068611,4.797970077843622,2.1607713906715562e-10
Roy's greatest root,0.11959681300228328,9,584,7.760504310370381,7.82376591645259e-11
Wilks' lambda,0.8634170427010162,18,1166.0,4.935537570332696,6.895739805602092e-11
Pillai's trace,0.13903424218273364,18.0,1168.0,4.847900857309672,1.2591585376684972e-10
Hotelling-Lawley trace,0.15534980870383525,18,967.8958810068611,5.024729392243294,4.627305872400657e-11
Roy's greatest root,0.13419339621203952,9,584,8.707660376425675,2.5190440756611775e-12
Wilks' lambda,0.8440181614988359,18,1166.0,5.732130447199063,2.6908429789703633e-13
Pillai's trace,0.16019250922151293,18.0,1168.0,5.649892167418392,4.778317683577091e-13
Hotelling-Lawley trace,0.17981978908048002,18,967.8958810068611,5.816201429782456,2.0180852179631046e-13
Roy's greatest root,0.14554217057460797,9,584,9.44406973506345,1.7530207545100923e-13
Wilks' lambda,0.8666641382924906,18,1166.0,4.804818981689783,1.696230892579924e-10
Pillai's trace,0.13600076954654128,18.0,1168.0,4.734411194881255,2.746112391295114e-10
Hotelling-Lawley trace,0.1507746174036077,18,967.8958810068611,4.876746601706252,1.2662952245514688e-10
Roy's greatest root,0.1264592548395585,9,584,8.205800536255795,1.554429629663722e-11
Wilks' lambda,0.838573590496477,18,1166.0,5.9606584464831265,5.398691933675683e-14
Pillai's trace,0.16578973352803916,18.0,1168.0,5.86514632180742,1.054390825262967e-13
Hotelling-Lawley trace,0.1872979154829068,18,967.8958810068611,6.0580785318316765,3.7849666983181045e-14
Roy's greatest root,0.1533721376488092,9,584,9.952147598544952,2.801305708216464e-14
Wilks' lambda,0.8666620821454484,18,1166.0,4.804901523645062,1.695268919116023e-10
Pillai's trace,0.13645221142003033,18.0,1168.0,4.751277342999871,2.4460524445771214e-10
Hotelling-Lawley trace,0.15025882286980924,18,967.8958810068611,4.860063427288725,1.4181539457789947e-10
Roy's greatest root,0.12041731049650278,9,584,7.813745481106403,6.448903683546802e-11
Wilks' lambda,0.8441675032687247,18,1166.0,5.725893213351146,2.8112124883095346e-13
Pillai's trace,0.1605489944343142,18.0,1168.0,5.663562568151826,4.3417473166136343e-13
Hotelling-Lawley trace,0.1790118648764561,18,967.8958810068611,5.790069434329515,2.4173800568752546e-13
Roy's greatest root,0.13874162445646313,9,584,9.002789853619385,8.649389084427463e-13
Wilks' lambda,0.8306942583422527,18,1166.0,6.295352083973343,5.090022387812749e-15
Pillai's trace,0.17371142164010683,18.0,1168.0,6.172048202622303,1.2127240068005264e-14
Hotelling-Lawley trace,0.19850872931813085,18,967.8958810068611,6.420687963145559,3.0555261249366415e-15
Roy's greatest root,0.16669186883516282,9,584,10.81645015552612,1.2519561810812834e-15
Wilks' lambda,0.8449201051208889,18,1166.0,5.694486093191496,3.504000168699986e-13
Pillai's trace,0.15830553156262928,18.0,1168.0,5.577618993871277,7.926819614753457e-13
Hotelling-Lawley trace,0.17972617443381367,18,967.8958810068611,5.813173500294975,2.0607519539644565e-13
Roy's greatest root,0.15511407926097562,9,584,10.065180254267752,1.864053164052971e-14
Wilks' lambda,0.833797783337834,18,1166.0,6.162956149352598,1.296899744458243e-14
Pillai's trace,0.16937403123074812,18.0,1168.0,6.00368009669623,3.9765799144194304e-14
