target,0,0,0,1,1,2,2,total
experimental_characteristics,E_coli,Mammalian,Yeast,Mammalian,Yeast,Mammalian,Yeast,
Therapeutic,309,324,45,156,281,140,58,1313
Antiviral,309,324,45,156,281,140,58,1313
Antimicrobial,309,324,45,156,281,140,58,1313
Anti_gram_pos,125,135,16,101,112,53,40,582
Antibacterial,125,135,16,101,112,53,40,582
Toxic,38,52,3,25,41,12,15,186
Anti_mammalian_cell,38,52,3,25,41,12,15,186
Anticancer,18,22,3,5,16,8,6,78
Anti_gram_neg,20,20,7,7,13,6,2,75
Anti_fungal,18,17,4,5,14,6,1,65
Antiparasitic,13,14,3,3,10,5,1,49
Other,12,9,3,2,10,7,1,44
Anti_methicillin-resistant_s_aureus,5,8,2,3,3,4,2,27
Hemolytic,4,8,0,2,4,2,0,20
Cytotoxic,4,8,0,2,4,2,0,20
Anuran_defense,2,3,0,11,2,1,0,19
Insecticidal,3,3,0,0,4,3,0,13
Anti_candida,1,2,1,2,0,3,0,9
Enzyme_inhibitor,2,0,0,0,2,3,0,7
Anti_marek_s_disease_virus,1,2,0,0,3,1,0,7
Inhibitor,2,0,0,0,2,3,0,7
Molecular_binding,1,1,0,0,2,1,0,5
Spermicide,1,0,0,1,1,2,0,5
Cell_cell_communication,1,0,0,0,1,2,0,4
Antiprotozoal,1,1,0,1,1,0,0,4
Anti_biofilm,0,1,0,1,0,2,0,4
Hormone,1,0,0,0,1,1,0,3
Neuropeptide,1,0,0,0,1,1,0,3
Immunological,1,1,1,0,0,0,0,3
Signal_peptide,1,0,0,0,1,1,0,3
Anti_protist,1,1,0,0,1,0,0,3
Immunomodulatory,1,1,1,0,0,0,0,3
Metabolic,1,0,0,0,1,1,0,3
Anti_endotoxin,0,0,0,0,0,1,0,1
Anti_malarial,0,0,0,1,0,0,0,1
Protease_inhibitor,0,0,0,0,0,1,0,1
Chemotactic,0,0,0,0,0,1,0,1
Neurotoxin,0,0,0,0,0,1,0,1
