Dataset,model,sampling,representation,accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time
Validation,AdaBoost,Original,embedding_protT5_AdaBoost_42_metrics,0.47675803839925973,0.47675803839925973,0.4185851930815234,0.43193285751216076,0.5806609065320842,0.04528178256715395,3.8632006883621215,0.01892776489257808
Validation,AdaBoost,Original,fft_FASG760101_AdaBoost_42_metrics,0.5171293083506824,0.5171293083506824,0.43061978118195754,0.43716462036571413,0.6000293095744974,0.08045464656797192,0.19747428894042965,0.021924853324890102
Validation,AdaBoost,Original,fft_FAUJ880111_AdaBoost_42_metrics,0.5126185519315289,0.5126185519315289,0.36973851491794746,0.419003250756787,0.6028067241521615,0.058859971975416335,0.0776180028915405,0.01905095577239986
Validation,AdaBoost,Original,fft_FAUJ880112_AdaBoost_42_metrics,0.5156141568355308,0.5156141568355308,0.30250402259630266,0.36206550920403824,0.547310943703491,0.006616293361270041,0.07630071640014645,0.01764879226684567
Validation,AdaBoost,Original,fft_GEIM800101_AdaBoost_42_metrics,0.5094668054591718,0.5094668054591718,0.45890892028917724,0.43957835783600663,0.591760333890999,0.07211676100578904,0.19424152374267573,0.01829142570495598
Validation,AdaBoost,Original,fft_GEIM800105_AdaBoost_42_metrics,0.5232303955586398,0.5232303955586398,0.4877923292411873,0.4595505923621393,0.5947433935914804,0.11159395601707808,0.19301638603210444,0.0180543184280395
Validation,AdaBoost,Original,fft_JOND750101_AdaBoost_42_metrics,0.5018968309044645,0.5018968309044645,0.47188854028043964,0.4121496475488958,0.5902098924158083,0.0446667336399819,0.19529728889465328,0.018226718902587848
Validation,AdaBoost,Original,fft_KLEP840101_AdaBoost_42_metrics,0.5117742308582003,0.5117742308582003,0.36494596882613617,0.3930037783079109,0.6022588073368988,0.03937005463291881,0.09872469902038569,0.01788911819458002
Validation,AdaBoost,Original,fft_ROBB760113_AdaBoost_42_metrics,0.4973398103169096,0.4973398103169096,0.42699775994072403,0.41120133839737993,0.5616075293616329,0.028862212369894384,0.18765082359313962,0.01717100143432612
Validation,AdaBoost,Original,fft_ZIMJ680104_AdaBoost_42_metrics,0.511884108258154,0.511884108258154,0.47151108536090236,0.4626708217154042,0.6098991438410958,0.10614051811116083,0.18635771274566645,0.01682558059692378
Validation,AdaBoost,Original,frequency_AdaBoost_42_metrics,0.5149028452463567,0.5149028452463567,0.48420132811755534,0.4504231528685139,0.6163841492181978,0.09601421550061771,0.10666232109069818,0.01861288547515865
Validation,AdaBoost,Original,one_hot_AdaBoost_42_metrics,0.6579863520703215,0.6579863520703215,0.689439999671352,0.6329850777045352,0.8212126226625704,0.4042713536186979,0.30881757736206056,0.03899707794189449
Validation,AdaBoost,Original,pc_FASG760101_AdaBoost_42_metrics,0.6009195003469813,0.6009195003469813,0.6072436135832258,0.5728386327074075,0.7459407493782689,0.2987923944583549,0.096702766418457,0.01833329200744625
Validation,AdaBoost,Original,pc_FAUJ880111_AdaBoost_42_metrics,0.5194598658339117,0.5194598658339117,0.40734387790728227,0.41268428259914697,0.5961591449621574,0.07087973508167078,0.06970355510711665,0.01793496608734126
Validation,AdaBoost,Original,pc_FAUJ880112_AdaBoost_42_metrics,0.5163775156141568,0.5163775156141568,0.26665470733097646,0.35169295316121046,0.5481727159032158,0.0,0.07251725196838374,0.01905541419982906
Validation,AdaBoost,Original,pc_GEIM800101_AdaBoost_42_metrics,0.6069858894286375,0.6069858894286375,0.6052722250674472,0.599870932117869,0.7851640211614578,0.3280351126442464,0.09360184669494624,0.01820905208587642
Validation,AdaBoost,Original,pc_GEIM800105_AdaBoost_42_metrics,0.611531343974092,0.611531343974092,0.6144536631910429,0.5762701807023606,0.7888618370979099,0.3315885648288361,0.09371283054351803,0.01790425777435297
Validation,AdaBoost,Original,pc_JOND750101_AdaBoost_42_metrics,0.5719754799907472,0.5719754799907472,0.5752823613353795,0.5364543832952681,0.7335988088246082,0.23521557450245711,0.09389734268188472,0.01855683326721187
Validation,AdaBoost,Original,pc_KLEP840101_AdaBoost_42_metrics,0.5255262549155679,0.5255262549155679,0.42587555462359195,0.4427207828383735,0.5957021707113939,0.0980718138113694,0.07234611511230465,0.018246960639953562
Validation,AdaBoost,Original,pc_ROBB760113_AdaBoost_42_metrics,0.5614214665741384,0.5614214665741384,0.5344445854514139,0.5254383212952818,0.6966110951461871,0.22749888613868002,0.0903414964675903,0.0175106287002563
Validation,AdaBoost,Over,embedding_protT5_AdaBoost_42_metrics,0.5122959528639042,0.5122959528639042,0.5061690629353699,0.5050100693019396,0.6998426066195997,0.27077319663942423,7.017999696731567,0.02207722663879389
Validation,AdaBoost,Over,fft_FASG760101_AdaBoost_42_metrics,0.4621414082874529,0.4621414082874529,0.4588740133488948,0.45312439621252387,0.6424762349823355,0.19654386564682996,0.310187554359436,0.017825889587402288
Validation,AdaBoost,Over,fft_FAUJ880111_AdaBoost_42_metrics,0.4675311503911909,0.4675311503911909,0.4662253123538074,0.4510200058767578,0.618767222534642,0.2080295296828857,0.08941664695739741,0.0176551818847656
Validation,AdaBoost,Over,fft_FAUJ880112_AdaBoost_42_metrics,0.39576209794262535,0.39576209794262535,0.40591561124411274,0.36678482333021,0.5643632061561984,0.10396740702500289,0.08840153217315667,0.01766912937164302
Validation,AdaBoost,Over,fft_GEIM800101_AdaBoost_42_metrics,0.4661209311310731,0.4661209311310731,0.4661605752839308,0.46118456958447285,0.6588157300770274,0.20121978678803462,0.3149704217910766,0.0187294244766235
Validation,AdaBoost,Over,fft_GEIM800105_AdaBoost_42_metrics,0.4773930261759876,0.4773930261759876,0.46907177028568237,0.46631584293939465,0.6721824018603637,0.21932875290031134,0.3101692914962768,0.0186857938766479
Validation,AdaBoost,Over,fft_JOND750101_AdaBoost_42_metrics,0.4542886119965227,0.4542886119965227,0.4508693728860676,0.44737407581091587,0.6498549236867055,0.1837653755024657,0.31306092739105223,0.0186463832855224
Validation,AdaBoost,Over,fft_KLEP840101_AdaBoost_42_metrics,0.4488747223027142,0.4488747223027142,0.43237528717644585,0.42469914310474477,0.6224169720728665,0.17958144643279372,0.1306728839874267,0.018014287948608352
