Dataset,model,sampling,representation,accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time
Test_independent,AdaBoost,Original,embedding_antiviral_homology_90,0.6211096075778079,0.6211096075778079,0.6121827171782158,0.6158226549202038,0.6360107924352166,0.1799534962780727,,0.1619126796722412
Test_excluded,AdaBoost,Original,embedding_antiviral_homology_90,0.5827922077922078,0.5827922077922078,0.5660978618928001,0.5626283464146004,0.6578139233208247,0.21287331665227335,,0.09858059883117676
Test_independent,AdaBoost,Over,embedding_antiviral_homology_90,0.6265223274695535,0.6265223274695535,0.6962313245253651,0.6515740627016372,0.6651412742679577,0.31664145061052534,,1.167487621307373
Test_excluded,AdaBoost,Over,embedding_antiviral_homology_90,0.551948051948052,0.551948051948052,0.5520048153238521,0.5514631631918383,0.6483509260761624,0.20838274273083687,,0.9681117534637451
Test_independent,AdaBoost,Under,embedding_antiviral_homology_90,0.3085250338294993,0.3085250338294993,0.5910129275689068,0.3755735163297679,0.5610618476370696,0.06916795071883726,,0.41733455657958984
Test_excluded,AdaBoost,Under,embedding_antiviral_homology_90,0.36038961038961037,0.36038961038961037,0.5383285039128923,0.37506306543476015,0.6212441897573459,0.14028622151215345,,0.5282993316650391
Test_independent,GradientBoosting,Original,embedding_antiviral_homology_90,0.7320703653585927,0.7320703653585927,0.7289405317079364,0.7259891969439382,0.816479930676458,0.41975114539814806,,0.0415186882019043
Test_excluded,GradientBoosting,Original,embedding_antiviral_homology_90,0.6168831168831169,0.6168831168831169,0.5880048701298701,0.5621825706840536,0.7219952898395993,0.24271328881762966,,0.03261208534240723
Test_independent,GradientBoosting,Over,embedding_antiviral_homology_90,0.6400541271989174,0.6400541271989174,0.7279619277842614,0.672679360076096,0.7846941191682423,0.3575198696338836,,0.010999917984008789
Test_excluded,GradientBoosting,Over,embedding_antiviral_homology_90,0.5795454545454546,0.5795454545454546,0.6009794266292191,0.5797064582736945,0.7142918955255424,0.2879156701788895,,0.009002208709716797
Test_independent,GradientBoosting,Under,embedding_antiviral_homology_90,0.32882273342354534,0.32882273342354534,0.5097941064098691,0.37994995243186463,0.48809968491683814,-0.016299287032958767,,0.022004127502441406
Test_excluded,GradientBoosting,Under,embedding_antiviral_homology_90,0.4512987012987013,0.4512987012987013,0.5340244609759174,0.47034523325189836,0.6413684227339476,0.16491645092799467,,0.017002344131469727
Test_independent,KNN,Original,embedding_antiviral_homology_90,0.6671177266576455,0.6671177266576455,0.6538565098222812,0.6499007466564293,0.701011024993155,0.25960306362708596,,0.22399210929870605
Test_excluded,KNN,Original,embedding_antiviral_homology_90,0.6022727272727273,0.6022727272727273,0.5808047955342108,0.5545618623728842,0.6988340803149623,0.21293138673437048,,0.08452582359313965
Test_independent,KNN,Over,embedding_antiviral_homology_90,0.7388362652232747,0.7388362652232747,0.7415639953190697,0.7210577437885038,0.7879478327215486,0.42291034013293366,,0.6621804237365723
Test_excluded,KNN,Over,embedding_antiviral_homology_90,0.4902597402597403,0.4902597402597403,0.6227207136298046,0.5148314389601933,0.6918499104530204,0.2689284424027334,,0.42664122581481934
Test_independent,KNN,Under,embedding_antiviral_homology_90,0.4140730717185386,0.4140730717185386,0.5388702194074696,0.46013566448183596,0.5329229006851964,0.02675502312160053,,0.06052064895629883
Test_excluded,KNN,Under,embedding_antiviral_homology_90,0.5064935064935064,0.5064935064935064,0.5142641735580951,0.4977605243931699,0.636235509444336,0.1586222263408843,,0.05152583122253418
Test_independent,LGBM,Original,embedding_antiviral_homology_90,0.7266576454668471,0.7266576454668471,0.7170382983707086,0.7114936686025946,0.7952687941769888,0.38887521811340264,,0.02500319480895996
Test_excluded,LGBM,Original,embedding_antiviral_homology_90,0.6022727272727273,0.6022727272727273,0.6375681998349909,0.5247671631569937,0.7151205398103827,0.191347159628791,,0.019009113311767578
Test_independent,LGBM,Under,embedding_antiviral_homology_90,0.35182679296346414,0.35182679296346414,0.5192876814971431,0.4015673449974529,0.504316644731322,0.0030319821611254974,,0.034531593322753906
Test_excluded,LGBM,Under,embedding_antiviral_homology_90,0.48214285714285715,0.48214285714285715,0.5476155064455777,0.4944627406761658,0.6555091080407415,0.19452891441879422,,0.03101181983947754
Test_independent,LogisticRegression,Original,embedding_antiviral_homology_90,0.7009472259810555,0.7009472259810555,0.6798076860959518,0.6757006683436537,0.7330854190670579,0.30951644519394533,,0.011002302169799805
Test_excluded,LogisticRegression,Original,embedding_antiviral_homology_90,0.6038961038961039,0.6038961038961039,0.6248953617591938,0.5239439326797283,0.7342984040162025,0.199865541528225,,0.00899958610534668
Test_independent,LogisticRegression,Over,embedding_antiviral_homology_90,0.5872801082543978,0.5872801082543978,0.7062488383570241,0.632433371714835,0.7251458087989637,0.2942405485240901,,0.0070002079010009766
Test_excluded,LogisticRegression,Over,embedding_antiviral_homology_90,0.5746753246753247,0.5746753246753247,0.6098935754688982,0.5824890075192098,0.7230197076962096,0.2995162247218771,,0.006998300552368164
Test_independent,LogisticRegression,Under,embedding_antiviral_homology_90,0.38430311231393777,0.38430311231393777,0.6069323357661022,0.45252984312957056,0.6067431903828907,0.10454656178189313,,0.00850987434387207
Test_excluded,LogisticRegression,Under,embedding_antiviral_homology_90,0.4837662337662338,0.4837662337662338,0.5681307034569292,0.4930968080545247,0.6779765385142689,0.2096428791520954,,0.005998373031616211
Test_independent,RandomForest,Original,embedding_antiviral_homology_90,0.7456021650879567,0.7456021650879567,0.7371348350807382,0.7354214911260303,0.8148304041804506,0.4382877733575179,,0.21803903579711914
Test_excluded,RandomForest,Original,embedding_antiviral_homology_90,0.6087662337662337,0.6087662337662337,0.6465659340659341,0.52052943467115,0.7377931316829345,0.21541419856684396,,0.17853093147277832
Test_independent,RandomForest,Over,embedding_antiviral_homology_90,0.638700947225981,0.638700947225981,0.7256474193925521,0.670740216574273,0.7587086890204569,0.35429255067251053,,0.5007085800170898
Test_excluded,RandomForest,Over,embedding_antiviral_homology_90,0.5827922077922078,0.5827922077922078,0.6278612443292012,0.5914913641685366,0.7127194144879856,0.32589826125860755,,0.4891855716705322
Test_independent,RandomForest,Under,embedding_antiviral_homology_90,0.32205683355886333,0.32205683355886333,0.5239901713720715,0.3792988499170426,0.5259582823365423,0.00072551931475394,,0.04750847816467285
Test_excluded,RandomForest,Under,embedding_antiviral_homology_90,0.4577922077922078,0.4577922077922078,0.572259670566369,0.47764683223688664,0.650928449346394,0.20688396635723177,,0.03603839874267578
Test_independent,SVM,Original,embedding_antiviral_homology_90,0.7050067658998647,0.7050067658998647,0.6933288427905316,0.6686236686510433,0.7310994604610777,0.3071696711984006,,0.5011124610900879
Test_excluded,SVM,Original,embedding_antiviral_homology_90,0.6022727272727273,0.6022727272727273,0.6549088723219739,0.5112440520835353,0.7032565535818905,0.1935278835366424,,0.5202617645263672
Test_independent,SVM,Over,embedding_antiviral_homology_90,0.6062246278755075,0.6062246278755075,0.7217044251354781,0.6485652663394734,0.6985477687368694,0.3248781084332949,,1.067033290863037
Test_excluded,SVM,Over,embedding_antiviral_homology_90,0.6152597402597403,0.6152597402597403,0.6389179225327659,0.6161577078701329,0.7081019230127883,0.3518646531973237,,0.9045658111572266
Test_independent,SVM,Under,embedding_antiviral_homology_90,0.36129905277401897,0.36129905277401897,0.6176367147360055,0.4315511410479004,0.534607998597909,0.10406514692149925,,0.266603946685791
Test_excluded,SVM,Under,embedding_antiviral_homology_90,0.48214285714285715,0.48214285714285715,0.6030243939259451,0.5031756043432667,0.5900301446294447,0.24322906779960124,,0.21403932571411133
Test_independent,XGBoost,Original,embedding_antiviral_homology_90,0.7090663058186739,0.7090663058186739,0.6787879396870676,0.6733168107447701,0.7693199601643164,0.31731016176737964,,0.30750465393066406
Test_excluded,XGBoost,Original,embedding_antiviral_homology_90,0.5892857142857143,0.5892857142857143,0.5388480283205322,0.5013075520608542,0.6827599462123015,0.15807988612302706,,0.23215508460998535
Test_independent,XGBoost,Over,embedding_antiviral_homology_90,0.6075778078484438,0.6075778078484438,0.7203033916185201,0.6488898455542429,0.7496101210996562,0.3246459619342998,,0.19802618026733398
